timestamp,author_name,membership,text
-1:59,天邪鬼,メンバー（2 年）,べぇりんがるWIN!
-1:58,青木智恵子,非メンバー,べぇりんがるWIN
-1:51,サヤ,非メンバー,大会を楽しむことは忘れずに
-1:49,きーにゃ,メンバー（2 年）,がんばって！！
-1:49,Taisei,非メンバー,べぇりんがるWIN!!
-1:44,ユズキゆず,非メンバー,べぇりんがるWIN !
-1:43,うたよ,メンバー（1 年）,がんばえー！
-1:41,PenJ 666ちゃんねる,非メンバー,٩(ˊᗜˋ*)و
-1:39,1313khaos,メンバー（2 か月）,Win:_ちーもじアキリウム::_ちーもじサイリウム::_ちーもじアキリウム::_ちーもじサイリウム:
-1:38,ののの,非メンバー,オリンパスのランドマーク争いが本番にまでもつれ込んだな…どうなるかすっげぇ楽しみ！
-1:36,ありんこ,非メンバー,べぇりんがるWIN！！！！
-1:32,はなも,メンバー（2 か月）,応援してる！
-1:29,taku noze,非メンバー,5分遅延らしいです
-1:27,異踏冥,メンバー（1 か月）,べぇりんがるWIN！
-1:26,ロッド,メンバー（1 か月）,こんばんちー！喉調子悪いのに放送ありがとー
-1:16,a i,メンバー（2 か月）,べぇりんがるWIN！
-1:11,D H,非メンバー,今回の渋いサムネがいいね
-1:10,ロッド,メンバー（1 か月）,べぇりんがるwin
-1:07,よっしぃ,非メンバー,頑張れちーちゃん😆👍応援してるよ✌️オリンポスいけたら優勝だね⸜(*॑꒳॑* )⸝
-1:06,myon,非メンバー,べぇりんがるWIN！
-1:04,むらさん,新規メンバー,頑張れーーー
-1:02,しょこ,メンバー（1 か月）,べぇりんがるWIN！
-1:00,黒々糖,メンバー（2 か月）,やるざやるぜやるぜ
-0:59,naoちゃん FPS,非メンバー,べぇりんがるWIN
-0:53,ひよこ,新規メンバー,べぇりんがるしか勝たん！がんばれ！！
-0:46,hina,メンバー（2 か月）,べぇりんがるWIN！！！！
-0:45,しのぶー,メンバー（2 か月）,ファイトーー！！！！
-0:44,しゅう,非メンバー,べぇりんがるWIN!WIN!WIN!
-0:41,高田,メンバー（2 か月）,べぇりんがるWIN
-0:41,わたぼう,メンバー（2 か月）,こんばんちー
-0:39,シュンぱーふぇくと美少女,メンバー（2 か月）,ぶちかましてくれ
-0:38,ありんこ,非メンバー,サムネかっこいい....
-0:33,おかか,メンバー（2 か月）,べぇりんがるWIN!
-0:31,エイドリアンD蔵,非メンバー,うおーー！！
-0:30,Kyuubi,メンバー（6 か月）,ちーちゃん頑張れ！
-0:24,シミ、その向こう側,非メンバー,べぇりんがるwin！
-0:22,白飯,メンバー（2 年）,くる！
-0:19,naoちゃん FPS,非メンバー,勝てる勝てる絶対勝てる！
-0:19,cape,メンバー（1 年）,ふぁいとーー！
-0:18,まいまい,非メンバー,べぇりんがるwin!!
-0:09,ののの,非メンバー,べぇりんがるの恐ろしさ見せつけたれぇ！
-0:07,ウツミ1,メンバー（6 か月）,べぇりんがるWIN！
-0:03,Kyuubi,メンバー（6 か月）,こい！
-0:02,かなお,メンバー（2 か月）,べぇりんがるWIN！:_ちーもじちゃんぽんうま:
-0:01,若様,メンバー（1 年）,やったれやったれええええ！！！
-0:00,chiguri,メンバー（1 か月）,べぇりんがるWIN!!
0:13,多田野ぶんばぼん,新規メンバー,べぇりんがるWIN！
0:17,羊野瀬,非メンバー,WEだけで勝ち確にしてこう
0:20,おむつ丸丸,新規メンバー,こんばんちー！！
0:21,シュンぱーふぇくと美少女,メンバー（2 か月）,きた
0:22,ありんこ,非メンバー,きたぁ
0:23,みる子,メンバー（2 か月）,:_ちーもじちーちゃんすき:
0:25,はと,メンバー（2 か月）,きちゃー！
0:25,naoちゃん FPS,非メンバー,きちゃーー
0:26,なのなの,非メンバー,きちゃ
0:26,Taisei,非メンバー,きちゃ！！！
0:26,Mk Makky,メンバー（1 年）,きちゃ！
0:26,ランコ,メンバー（1 年）,きちゃああ！！
0:27,a i,メンバー（2 か月）,きた！
0:27,cape,メンバー（1 年）,きた！
0:27,Exar Kun,メンバー（2 か月）,こんばんちー！
0:29,ラシアザ,非メンバー,楽しんでやってこー！！！
0:29,黒狐,非メンバー,狙うは1位かましたれ
0:29,師岡,メンバー（2 年）,こんばんちーー！
0:29,ノロク,メンバー（1 年）,こんばんちー！
0:29,ユキチゃん!,新規メンバー,べぇりんがるWIN！
0:32,シュンぱーふぇくと美少女,メンバー（2 か月）,こんばんちー！
0:33,ryoukan,メンバー（1 年）,きちゃ
0:33,nyan 01,非メンバー,きちゃ！
0:33,ねこ大好き,非メンバー,こんばんち～
0:33,Sitoru,非メンバー,こんばんちー
0:35,superego,非メンバー,ふぁいとー
0:35,らせ,メンバー（2 か月）,きちゃ
0:36,白飯,メンバー（2 年）,かわいい
0:36,天邪鬼,メンバー（2 年）,こんばんちー！
0:36,ユウキチヒロスキー,メンバー（6 か月）,ちーとよし！(語弊)
0:36,Evilwolf,非メンバー,Time to cheat bois!!!!
0:37,ディープジンパクト,非メンバー,こんばんちー！
0:37,a i,メンバー（2 か月）,こんばんちー！！
0:37,PenJ 666ちゃんねる,非メンバー,急に楽天モバイルの広告はいってビビったわ
0:39,やまびこコクシ,非メンバー,来たぁぁ！！！ こんばんち～！！！
0:39,紺,メンバー（2 年）,きちゃ
0:39,twuそうめん,非メンバー,きちゃ！
0:40,しのぶー,メンバー（2 か月）,かわいい
0:43,ゆまる,メンバー（2 か月）,鼻詰まってるなあ
0:45,ふぁしん,非メンバー,こんばんちー！
0:45,とらくしい,メンバー（2 か月）,こんばんちー！
0:45,chaychu,非メンバー,Hello chii-chan~! Goodluck later!!!
0:45,nikaku,メンバー（2 か月）,きちゃーー
0:45,若様,メンバー（1 年）,よせてきたかｗｗ
0:45,choco_hopper,メンバー（6 か月）,こんばんちー！
0:46,師岡,メンバー（2 年）,おはなずびずびでかわいい
0:46,kenzo,メンバー（6 か月）,きちゃー！
0:47,タナtana,非メンバー,ラグ5分？
0:47,チャヤンバ,非メンバー,こんばんちー
0:47,るか,非メンバー,5分後のちーちゃんやっほー！！！
0:48,the lie,非メンバー,konnchaaaaaaaaaaaaaaaaaaaaaa
0:49,ムーラ,メンバー（1 か月）,きたぁ
