timestamp,author_name,membership,text
-0:43,Lenz,非メンバー,どきどき
-0:38,くまくら ばん,メンバー（1 か月）,楽しみ！
-0:38,最音-さいね,メンバー（1 か月）,まにあった
-0:37,狩葉結記,非メンバー,待機
-0:37,曲芸紙George,非メンバー,わくわく
-0:37,グラファイト,メンバー（1 か月）,わくわく
-0:37,たむらゆい,非メンバー,待機
-0:35,つらや,メンバー（1 か月）,:_ima::_kita:
-0:34,しらたま,メンバー（1 か月）,:_pii::_pii::_pii:
-0:33,冬慈-とうじ,メンバー（1 か月）,クソデカ待機音声くるぞ
-0:33,ミンチェ,新規メンバー,緊張してきた
-0:33,ヤマコウ,メンバー（1 か月）,ドキドキする…
-0:31,あすかぁ。,非メンバー,どきどき
-0:27,りと,メンバー（1 か月）,この時を待ってた
-0:27,こんぱろ,メンバー（1 か月）,そうだ、換えの鼓膜用意しなきゃ
-0:26,どこか誰かのおいなりさん,メンバー（1 か月）,わくわく
-0:24,えのきえのっきー,新規メンバー,:_kita::_kouji::_pii::_ぬぬぬ::_pii:
-0:22,まぎ,メンバー（1 か月）,鼓膜いかがっすかー
-0:21,めありー,非メンバー,どきどき
-0:20,Gintiyo Sakura,メンバー（1 か月）,:_pii::_pii::_pii:
-0:18,くまくま,非メンバー,ドキドキ
-0:15,グソクムシ,非メンバー,わくどき
-0:14,逆月ゆめたか,メンバー（1 か月）,:_pii::_ぬぬぬ:
-0:14,アカリーヌ,メンバー（1 か月）,:_pii::_pii:…
-0:14,斜向かいのトロロ,メンバー（1 か月）,:_ima::_kita:
-0:13,ショコラあいす,非メンバー,わくわく
-0:13,りり,非メンバー,みんな鼓膜守ってね
-0:13,あらびき,メンバー（1 か月）,:_pii::_pii::_pii:
-0:12,成来鴨,メンバー（1 か月）,ドキドキ
-0:10,えぬ_びるでぃんぐ,非メンバー,心臓用意しとこ
-0:09,こっしー,非メンバー,わくわく
-0:08,あるあじふ,非メンバー,ワクワク
-0:07,フォレストキャット,新規メンバー,どきどき
