timestamp,author_name,membership,text
-23:32,mikan oisii,メンバー（1 年）,:_たいき:
-23:23,レイヤ,メンバー（1 か月）,:_たいき::_贈り物:
-21:05,すっぴ～,メンバー（2 か月）,たいき～
-19:05,ゆう,メンバー（2 か月）,:_たいき::_えあー:
-12:54,むらっち,メンバー（6 か月）,:_たいき::_えあー:
-11:02,Raica Cusui,メンバー（6 か月）,:_たいき::_えあー:
-9:38,〜カズ,メンバー（6 か月）,:_たいき::_えあー:
-8:58,リリィ・夜見推し,メンバー（6 か月）,:_たいき::_えあー:
-8:32,てつ,メンバー（2 か月）,:_たいき::_えあー:
-8:28,試験用モルモット,メンバー（1 年）,:_たいき::_えあー:
-8:11,あかさた,メンバー（1 年）,:_たいき::_えあー:
-7:42,わいわい,メンバー（1 年）,ぇあぇあしてきた
-4:52,ゆぇすか,メンバー（1 年）,:_たいき::_えあー:
-4:12,八代明日華,メンバー（2 か月）,:_たいき::_えあー:
-4:06,紫煙,メンバー（6 か月）,:_たいき::_ねーー:
-4:04,つけ麺つけ麺僕つけ麺,メンバー（1 年）,:_たいき::_ねーー:
-3:50,リコ,メンバー（1 年）,:_えあー::_えあー:してきた
-3:45,バソールト,メンバー（2 か月）,:_たいき:
-3:06,むらっち,メンバー（6 か月）,:_よるみ::_よるみ:してきた:_ねーー:
-3:01,ぐぅたら,新規メンバー,:_たいき:
-2:57,サイモンJr,メンバー（6 か月）,:_たいき:間に合った
-2:47,あぬびす,メンバー（2 か月）,:_たいき::_えあー:
-2:45,はぎれぎ,非メンバー,ぇぁ～
-2:19,くまだ,新規メンバー,:_たいき:
-2:11,sekkei,メンバー（6 か月）,:_たいき:
-1:58,f f,メンバー（1 か月）,:_たいき::_ねーー:
-1:10,Sasha,メンバー（6 か月）,:_たいき::_ねーー::_えあー:
-1:07,シケポン,メンバー（1 年）,:_よるみ::_よるみ:ポンポンしてきた
-0:58,八代明日華,メンバー（2 か月）,こん……おは……
-0:55,試験用モルモット,メンバー（1 年）,こん……おは……
-0:54,シケポン,メンバー（1 年）,こん…おは…
-0:47,るーがるー,メンバー（1 年）,こん…おは…
-0:46,サイモンJr,メンバー（6 か月）,:_よるみ::_よるみ:
-0:45,リコ,メンバー（1 年）,こん…おは…
-0:41,スリーピー,メンバー（6 か月）,:_えあー:
-0:39,Raica Cusui,メンバー（6 か月）,:_よるみ::_よるみ:
-0:32,リアル,非メンバー,こん
-0:27,あんこ蕎麦,非メンバー,こん…おは…
-0:25,yagura,非メンバー,こん…おは…
-0:22,カノン,メンバー（1 年）,こん…おは…
-0:18,ゆぇすか,メンバー（1 年）,こん…おは…
-0:16,NOBITA KUNSAN,メンバー（6 か月）,こん…おは…
-0:16,れいくん,非メンバー,こん…おは…
-0:12,a lot of peanuts,非メンバー,こん…おは…
-0:09,むらっち,メンバー（6 か月）,こん…おは…
-0:06,シンフォニック,メンバー（6 か月）,こん…おは…
-0:05,偲音,メンバー（6 か月）,こん...おは...
-0:02,Sein Frau,メンバー（6 か月）,こん…おは…
-0:01,きうい,非メンバー,こん…おは…
-0:00,リアル,非メンバー,おは
0:06,悠雨,メンバー（6 か月）,こん……おは……
0:07,すっぴ～,メンバー（2 か月）,こん…おは…
0:16,citrus しとらす,非メンバー,きちゃ
0:20,るーがるー,メンバー（1 年）,きちゃ
0:20,シケポン,メンバー（1 年）,神OP助かる
0:20,リコ,メンバー（1 年）,:_かみいい:OPたすかる
0:21,シンフォニック,メンバー（6 か月）,神OPたすかる
0:23,サイモンJr,メンバー（6 か月）,こん…おは…
0:25,zero_pika,非メンバー,きちゃ
0:26,三日月くらげ,メンバー（1 年）,神O P助かる
0:27,てつ,メンバー（2 か月）,OPたすかる
0:28,NOBITA KUNSAN,メンバー（6 か月）,:_かみいい:OP助かる
0:33,よし,メンバー（1 年）,:_かみいい:OP助かる！
0:33,ゆう,メンバー（2 か月）,:_かみいい:OPたすかる
0:34,あいす。,メンバー（2 か月）,こん:_れーな:
0:35,Sein Frau,メンバー（6 か月）,:_かみいい:OP助かる
0:35,マクラ,メンバー（6 か月）,:_かみいい:OP助かる
0:35,むらっち,メンバー（6 か月）,:_かみいい:OP助かる
0:36,偲音,メンバー（6 か月）,:_かみいい:OPたすかる
0:37,すっぴ～,メンバー（2 か月）,神OPたすかる～
0:39,つけ麺つけ麺僕つけ麺,メンバー（1 年）,神OP助かる
0:40,試験用モルモット,メンバー（1 年）,:_かみいい:OPたすかる
0:41,RyuDe,メンバー（1 年）,こんれーなーおはかせー
0:43,f f,メンバー（1 か月）,:_かみいい:OPたすかる
0:44,れいくん,非メンバー,OP助かる
0:44,Amatsu,メンバー（6 か月）,kon rena _ ohakaze
0:46,スリーピー,メンバー（6 か月）,こん:_れーな:
0:46,えーすけ,メンバー（1 年）,こん:_れーな:おはかせー
0:50,悠雨,メンバー（6 か月）,:_かみいい:OPたすかる
0:51,XERO-ゼロ-,メンバー（6 か月）,ツイート:_ないす:
0:54,Two One,メンバー（6 か月）,:_かみいい:OP助かる
0:54,Sein Frau,メンバー（6 か月）,ついえら
0:57,茉莉.,非メンバー,きちゃ
1:04,ぐぅたら,新規メンバー,:_かみいい:OPたすかる
1:05,矢鴨,非メンバー,こんれーなー
1:11,HaLSY,メンバー（1 年）,こん:_れーな:おはかせー
1:13,高撫ばたこ,メンバー（6 か月）,かわいい助かる
1:15,Lierra,メンバー（1 年）,:_れーな::_れーな::_れーな:
1:18,くーさく,非メンバー,こんれーなーおはかせー
1:18,レイヤ,メンバー（1 か月）,こん:_れーな:です
1:20,チキータ,メンバー（1 年）,こん:_れーな:おはかせー
1:21,盛り塩,非メンバー,ぇあ～
