timestamp,author_name,membership,text
-7:13,sigsaki,メンバー（3 か月）,:_おっけー:
-7:03,わいわい,メンバー（1 年）,Tシャツめっちゃ買っとくか...
-6:48,ギラ,メンバー（1 年）,なるほど
-6:39,シケポン,メンバー（1 年）,コップもう1個買おうかなぁ
-6:25,匿名くん,メンバー（2 か月）,初めてグッズ買うぞー！
-5:37,ワイス,非メンバー,グッズ買うか悩むな
-5:32,夜見れな/yorumi rena【にじさんじ所属】,確認済み,誕生日に自分の描いたイラストグッズ販売できないと思って秋にだしたけど
-5:17,夜見れな/yorumi rena【にじさんじ所属】,確認済み,自分の誕生日にも出せそうだから
-5:09,夜見れな/yorumi rena【にじさんじ所属】,確認済み,マグカップ増えるかもねー
-5:07,シケポン,メンバー（1 年）,お！
-5:03,つけ麺つけ麺僕つけ麺,メンバー（1 年）,おお
-5:00,つちのこ,メンバー（1 か月）,やったぜ
-4:58,NOBITA KUNSAN,メンバー（6 か月）,やったああ
-4:58,かざま。,メンバー（2 か月）,おお！
-4:56,えふまそ,メンバー（6 か月）,オー！楽しみ！！
-4:55,シケポン,メンバー（1 年 4 か月）,やった〜！！
-4:54,Kameo,メンバー（5 か月）,おお
-4:53,てつ,メンバー（2 か月）,やったー
-4:47,リコ,メンバー（1 年）,おお！
-4:40,ぐぅたら,新規メンバー,おおー
-4:36,夜見れな/yorumi rena【にじさんじ所属】,確認済み,マグカップ悩んでる人は見て決めてもイイかも
-4:36,仮想みたろう,メンバー（6 か月）,やったー:_かみいい:
-4:33,キツネどんぶり定食,メンバー（1 年）,すごい情報がサラッとでてきた！？
-4:32,わいわい,メンバー（1 年 4 か月）,もしかして神？
-4:29,ルリィ,メンバー（2 か月）,助かる
-4:22,夜見れな/yorumi rena【にじさんじ所属】,確認済み,グッズ買ってくれてありがとうね
-4:11,あいくら,メンバー（1 年）,:_かみいい:
-4:04,シケポン,メンバー（1 年）,めっちゃたすかる
-3:46,えふまそ,メンバー（6 か月）,グッズ:_かみいい:
-3:39,うに,非メンバー,楽しみすぎる情報ありがとうございます！！
-3:24,ワイス,非メンバー,グッズ見てみるよ ありがたい情報も助かる
-3:20,kimi,非メンバー,こんれーな
-2:56,うに,非メンバー,休憩時間もう終わっちゃうけど、マリカ頑張ってもろて……！！！応援してます！
-2:51,シケポン,メンバー（1 年）,いっぱいグッズ出してくれてれなちゃんには感謝しかないなぁ〜:_かみいい:
-2:36,夜見れな/yorumi rena【にじさんじ所属】,確認済み,休憩中に遊びに来てくれてありがとうね
-2:34,わいわい,メンバー（1 年）,嬉しいのでトートバッグも買います
-2:31,かびとる,メンバー（1 年 4 か月）,マグカップ増えるの！？やったァ！
-1:52,てつ,メンバー（2 か月）,絶対買うね情報ありがとう
-1:47,タカ&,メンバー（6 か月）,今き:_たいき:。グッズだと！？楽しみ～
-1:37,悠雨,メンバー（6 か月）,マグカップ買うー！今から楽しみ！
-1:36,レイヤ,メンバー（1 か月）,マグカップの「:_おにく:←はと」好き
-1:23,夜見れな/yorumi rena【にじさんじ所属】,確認済み,かびとるさんありがとおおお
-1:21,ギラ,メンバー（1 年 4 か月）,夜見のカップコレクションが出来そうw
-1:05,リコ,メンバー（1 年 3 か月）,はと図鑑すき
-0:54,告天子こち,非メンバー,はとって何だ…？
-0:41,仮想みたろう,メンバー（6 か月）,:_贈り物:
-0:32,悠雨,メンバー（6 か月）,部屋が夜見さんグッズに埋め尽くされていく喜び
-0:28,しょう,メンバー（1 年）,□□□:_贈り物:
-0:05,かびとる,メンバー（1 年）,ハトです。よろしくおねがいします
0:05,リコ,メンバー（1 年）,:_よるみ::_よるみ:
0:09,リコ,メンバー（1 年）,こん…
0:13,rim。,メンバー（2 か月）,きちゃ
0:15,シンフォニック,メンバー（6 か月）,神OPたすかる
0:17,タカ&,メンバー（6 か月）,こん...
