timestamp,author_name,membership,text
-3:51,にゃお - freia,メンバー（6 か月）,鳩の燻製……
-3:49,シンフォニック,メンバー（6 か月）,燻製…？
-3:49,すっぴ～,メンバー（2 か月）,煙あったかい・・
-3:44,としまるVTube大好き,非メンバー,桜チップ使って）
-3:42,リコ,メンバー（1 年 3 か月）,:_おにく:
-3:30,よし,メンバー（1 年）,:_贈り物::_贈り物::_贈り物:ｹﾎｹﾎ
-3:29,Ryo Tsushima,メンバー（2 か月）,くんせい:_おにく:
-3:29,かびとる,メンバー（1 年 4 か月）,燻製美味しいね
-3:21,レイヤ,メンバー（1 か月）,俺、香ばしい匂いするな…
-3:13,切姫夜架,メンバー（6 か月）,燻製………□:_おにく:
-3:06,てつ,メンバー（2 か月）,:_おにく:
-3:03,リコ,メンバー（1 年）,ジャーキーになるか…
-2:55,にゃお - freia,メンバー（6 か月）,:_贈り物:🔥
-2:48,今野博臣,非メンバー,チップの煙温かいﾅﾘｨ…
-2:48,わいわい,メンバー（1 年 4 か月）,結局レイスなのかバンガロールなのか
-2:44,よし,メンバー（1 年 2 か月）,:_おにく::_贈り物::_贈り物:ｹﾎｯ
-2:40,かびとる,メンバー（1 年）,燻製器とか憧れるよね
-2:33,ギラ,メンバー（1 年 4 か月）,ソーセージが食べたくなるね
-2:33,シケポン,メンバー（1 年 4 か月）,今日のコメ欄は香ばしいな
-2:31,悠雨,メンバー（6 か月）,俺たちはすもーくちきん…
-2:17,としまるVTube大好き,非メンバー,憧れて買うもの大抵買ったら満足して使わない説
-2:14,メノゥにゃんとむ,非メンバー,旨そうな匂いがする
-2:08,夜見れな/yorumi rena【にじさんじ所属】,確認済み,スモークチキンかー
-2:05,にゃお - freia,メンバー（6 か月）,むしろスモークピジョン
-2:04,よし,メンバー（1 年）,:_おにく::_おにく::_贈り物:ﾓｳｽｸﾞｸﾘｽﾏｽﾀﾞﾖ
-1:55,NOBITA KUNSAN,メンバー（7 か月）,:_贈り物:！？
-1:52,鈴木太郎,非メンバー,ﾀﾍﾞﾅｲﾃﾞ
-1:47,すっぴ～,メンバー（3 か月）,燻製卵もあり～
-1:46,ギラ,メンバー（1 年）,:_贈り物::_贈り物::_よるみさんん::_よるみさんん:
-1:46,夜見れな/yorumi rena【にじさんじ所属】,確認済み,皮かたいから あんまり・・・
-1:42,sigsaki,メンバー（3 か月）,:_贈り物::_おにく:
-1:41,シケポン,メンバー（1 年 4 か月）,:_贈り物::_おにく:
-1:35,シンフォニック,メンバー（6 か月）,((:_贈り物:))
-1:32,にゃお - freia,メンバー（6 か月）,ﾀﾍﾞﾗﾚﾙｰ
-1:31,メノゥにゃんとむ,非メンバー,タイ！？
-1:26,リコ,メンバー（1 年）,:_贈り物::_おにく:
-1:18,よし,メンバー（1 年 2 か月）,:_おにく::_おにく::_おにく:おいしくたべてね
-1:07,おむすびくまたん,メンバー（1 か月）,□
-1:06,Ryo Tsushima,メンバー（2 か月）,タイりょうりおいしい
-1:03,かびとる,メンバー（1 年）,スモークサーモンは？
-0:56,ギラ,メンバー（1 年 4 か月）,焼き鳥の皮も嫌い？
-0:50,わいわい,メンバー（1 年 4 か月）,じゃあビーフジャーキーで
-0:48,悠雨,メンバー（8 か月）,固くなるからﾀﾍﾞﾅｲﾃﾞﾈ
-0:44,七色翼,新規メンバー,原材料は鳩?
-0:43,リコ,メンバー（1 年）,スモークチーズはいかが？
