timestamp,author_name,membership,text
-6:48,みなせ,メンバー（2 か月）,チャンピオン取れるよー頑張ってね！
-6:44,スタウト,非メンバー,了解！
-6:34,せもぽぬめα,メンバー（2 か月）,間に合った～大会頑張って！！:_たいき:
-6:08,シケポン,メンバー（1 年）,しぃぇあ〜るなんよ がんばれー！
-5:58,偲音,メンバー（6 か月）,:_おっけー::_たいき:
-5:46,ハチ#凛fam,非メンバー,五分後の夜見がんばれ～～
-5:28,えーすけ,メンバー（1 年）,夜見がんばれ～
-5:23,nn fu,非メンバー,がんばれ夜見さん
-5:17,サワリハス,メンバー（1 年）,5分後にこん:_れーな:
-5:13,f f,メンバー（2 か月）,がんばれ夜見
-5:05,いーと,新規メンバー,:_おっけー::_たいき:
-4:47,音無羽夜,メンバー（1 年）,夜見頑張れ～:_ねーー:
-4:38,みやこ_,非メンバー,こんれーなー
-4:26,マクラ,メンバー（6 か月）,こん:_れーな:（5分後予約）
-4:20,PMXユキムラ,メンバー（6 か月）,仕事で観れないけど、応援してる:_ねーー:
-4:19,シケポン,メンバー（1 年）,5分後のれなちゃんこん:_れーな:
-4:09,リコ,メンバー（1 年）,がんばれ〜
-3:52,杏とろ,メンバー（2 か月）,がんば:_えあー:
-3:48,RyuDe,メンバー（1 年）,がんばれ～
-3:46,ムジナ,メンバー（1 年）,がんばー
-3:42,keytale,非メンバー,ぇあ〜
-3:40,めおトリ,メンバー（2 か月）,がんばれ〜
-3:39,ぽみゃーゆ,非メンバー,夜見頑張れー！
-3:30,ぐぅたら,新規メンバー,こん:_れーな:がんばれ:_えあー:
-3:25,あひこ。,メンバー（6 か月）,がんば:_えあー:
-3:24,sigsaki,メンバー（2 か月）,がんばえー
-3:18,ザーラZ,非メンバー,がんばれーなー
-3:15,わいわい,メンバー（1 年）,五等分の夜見
-3:07,たまはす,メンバー（1 年）,こん:_れーな:がんば:_れーな:
-2:57,サワリハス,メンバー（1 年）,しすこさんPCどうなったんだろ
-2:45,リリィ・夜見推し,メンバー（6 か月）,五分後の夜見がんばれー
-2:40,ToW,メンバー（2 か月）,こん:_れーな:
-2:35,リコ,メンバー（1 年）,こん:_れーな:
-2:30,シケポン,メンバー（1 年）,ついえら〜
-2:17,迷画,メンバー（1 年）,ついえらー
-2:11,トマト侍,非メンバー,がんばれ！！
-1:57,緋翼,非メンバー,こんれーなー！ 大会がんばって！
-1:39,七羽,メンバー（2 か月）,こん:_れーな:
-1:19,S_RUFRE[ルフレ],メンバー（2 か月）,こん:_れーな:
-1:14,めるめれ,メンバー（1 か月）,:_れーな:
-0:31,杏とろ,メンバー（2 か月）,こん:_れーな:
-0:28,karaageリベイク,非メンバー,こんれーなー
-0:26,シケポン,メンバー（1 年）,そろそろ5分か…
-0:24,三日月くらげ,メンバー（1 年）,未来の夜見ちゃん頑張って〜
-0:21,おすし,メンバー（1 か月）,こん:_れーな:とうとう本番！応援してる！:_贈り物:
-0:06,ゆらリン,新規メンバー,こん:_れーな:
0:07,シフル-Sifrs,非メンバー,よるみがんばれ～！！
0:09,RyuDe,メンバー（1 年）,こんれーなー
0:17,クロエ,新規メンバー,こん:_れーな:
0:17,シケポン,メンバー（1 年）,こん:_れーな:
0:21,NOBITA KUNSAN,メンバー（6 か月）,:_かみいい:OP助かる
0:24,緋翼,非メンバー,きちゃー！
0:25,宮村,メンバー（2 か月）,こん:_れーな:
0:25,るーがるー,メンバー（1 年）,こん:_れーな:
0:27,ぐぅたら,新規メンバー,:_かみいい:OPたすかる
0:27,かずぺそ,非メンバー,こんれーなー！がんばれ！
0:27,えーすけ,メンバー（1 年）,こん:_れーな:
0:30,tona chan,メンバー（1 年）,:_かみいい:OP助かる
0:30,KK,非メンバー,こんれーなー
0:31,辿榎,新規メンバー,こん:_れーな:応援してます
0:31,てつ,メンバー（2 か月）,:_かみいい:OPたすかる
0:31,シケポン,メンバー（1 年）,神OP助かる
0:35,f f,メンバー（2 か月）,:_かみいい:OPたすかる
0:36,めおトリ,メンバー（2 か月）,こん:_れーな:
0:37,偲音,メンバー（6 か月）,神OPたすかる
0:40,ぐぅたら,新規メンバー,こん:_れーな:
0:43,かびとる,メンバー（1 年）,:_かみいい:OPたすかる～！
0:43,ごえもん,非メンバー,しぃぇあ優勝おめでとう！（素振り）
0:44,リコ,メンバー（1 年）,:_かみいい:OPたすかる
0:45,NOBITA KUNSAN,メンバー（6 か月）,こん:_れーな:
0:47,はれ,メンバー（6 か月）,こん:_れーな:
0:49,きょうからいちにちめ,メンバー（2 か月）,こんれーなー頑張って！！
0:49,ぎるがめっしゅ,非メンバー,こんれーなー
0:50,mikan oisii,メンバー（1 年）,こん:_れーな:(5分前)
0:51,tona chan,メンバー（1 年）,こん:_れーな:
0:53,きうい,非メンバー,こんれーなー
0:53,ソルティレージュ,非メンバー,こんれーなー
0:55,RyuDe,メンバー（1 年）,きちゃ～
0:57,あひこ。,メンバー（6 か月）,こんれーなー
0:59,みなせ,メンバー（2 か月）,こん:_れーな:
1:01,Fumio,非メンバー,こんれーなー
1:01,ムジナ,メンバー（1 年）,こんれーなー
1:01,キツネどんぶり定食,メンバー（1 年）,こん:_れーな:
1:06,三日月くらげ,メンバー（1 年）,こん:_れーな:
1:07,やぎも,非メンバー,こんれーなー
1:09,あいくら,メンバー（1 年）,こんれーな
1:09,mog mog,非メンバー,初手切断草
1:12,たまはす,メンバー（1 年）,こん:_れーな:
1:12,なけなしのひなげし,非メンバー,こんれーなー！
1:14,ヤマアラ-C,メンバー（2 か月）,こんれーなー
1:14,RyuDe,メンバー（1 年）,声もきちゃ
1:15,カズマ・エクシア,メンバー（1 年）,こんれーなー
1:15,らぷとん,メンバー（1 年）,こん:_れーな:
1:15,じょでぃ,メンバー（2 か月）,こんれーなー
1:15,桜良,メンバー（2 か月）,こん:_れーな:
1:15,sigsaki,メンバー（2 か月）,こんれーなー
1:16,わいわい,メンバー（1 年）,こん5分後〜
1:18,リコ,メンバー（1 年）,こん:_れーな:
1:18,きょうからいちにちめ,メンバー（2 か月）,こんれーな！！
1:18,マクラ,メンバー（6 か月）,こん:_れーな:
1:21,カワウソロジー,メンバー（2 か月）,こん:_れーな:
1:21,リタK,非メンバー,こんれーなー
1:26,内臓原蒔き子,非メンバー,こんれ＾な
1:27,kimi,非メンバー,こんれーな
1:27,クロエ,新規メンバー,こんれーなー
1:27,アップルマジック,非メンバー,こんれーなー
1:28,リリィ・夜見推し,メンバー（6 か月）,こんれーなー
1:29,えふまそ,メンバー（6 か月）,こん:_れーな:
1:30,あーころじー,非メンバー,こんにちわ
1:31,蒼華,メンバー（2 か月）,こん:_れーな:
1:31,きょうからいちにちめ,メンバー（2 か月）,おはしーなー
1:33,花火,メンバー（2 か月）,こん:_れーな:
1:33,オデ,新規メンバー,こんれーなー
1:41,いーと,新規メンバー,5分後に届け
1:43,tomomi,非メンバー,こんれーなー٩(๑❛ᴗ❛๑)۶
1:44,迷画,メンバー（1 年）,5分前の夜見さんこんにちは
1:45,偲音,メンバー（6 か月）,5分前の夜見さんこん:_れーな:
1:45,サワリハス,メンバー（1 年）,こんがらがる
1:48,スタウト,非メンバー,こんれーなー
1:49,きょうからいちにちめ,メンバー（2 か月）,江ノシスコ！
1:49,ありす,メンバー（6 か月）,こんれーなー！
1:50,mikan oisii,メンバー（1 年）,宝くじの番号教えて
1:51,KK,非メンバー,５分前の夜見こんれーな
1:51,RyuDe,メンバー（1 年）,左上の残ってて草
1:53,sigsaki,メンバー（2 か月）,５分前の夜見こんれーなー
1:53,ごえもん,非メンバー,過去の夜見もかわいいな
1:59,Fox in The Box,非メンバー,こんれーなーがんばれー
2:04,ヤマアラ-C,メンバー（2 か月）,がんばってね
2:12,リコ,メンバー（1 年）,5分前の夜見さんこん:_れーな:
2:15,たまはす,メンバー（1 年）,5分前の夜見さんこん:_れーな:がんば:_れーな:
2:22,RyuDe,メンバー（1 年）,やだ！
2:22,ソルティレージュ,非メンバー,しぃぇあ～るなんよWIN
2:22,しかかな,非メンバー,こんれーなーがんばってね！
2:24,シケポン,メンバー（1 年）,5分前のれなちゃんこん:_れーな:
