timestamp,author_name,membership,text
-8:09,おわんこ,メンバー（2 か月）,□
-8:08,tona chan,メンバー（1 年）,□
-8:06,てつ,メンバー（2 か月）,□
-8:02,えふまそ,メンバー（6 か月）,:_たいき:□
-7:58,クロエ,新規メンバー,□
-7:56,ぐぅたら,新規メンバー,□
-7:56,らぷとん,メンバー（1 年）,□
-6:48,ばっしー,メンバー（1 か月）,:_たいき:□
-6:44,よし,メンバー（1 年）,:_んんん::_たいき::_ねーー:□
-6:40,サワリハス,メンバー（1 年）,:_たいき:□
-6:34,かびとる,メンバー（1 年）,□
-6:26,とわっち,メンバー（1 か月）,:_たいき:□
-6:04,リコ,メンバー（1 年）,:_ガチャ::_たいき:□
-6:00,しろくま,メンバー（2 か月）,寝て起きたら夜見の配信が始まる...！
-6:00,mikan oisii,メンバー（1 年）,:_たいき:□
-4:55,よし,メンバー（1 年）,ぴーぷーしてきたな…
-4:51,sigsaki,メンバー（2 か月）,:_たいき:□
-3:47,ギラ,メンバー（1 年）,夜見おはよー
-3:25,シンフォニック,メンバー（6 か月）,たいきってなんだ…？
-3:11,リコ,メンバー（1 年）,ぴーぷー
-3:04,鈴木太郎,非メンバー,ぴぷぴぷ
-2:43,ぐぅたら,新規メンバー,ぴーぷー
-2:41,Kameo,メンバー（6 か月）,:_たいき::_えあー:□
-2:19,ばっしー,メンバー（1 か月）,ぴーぷー
-2:12,K TE,メンバー（6 か月）,:_たいき:□
-2:11,みり・。・v,メンバー（1 年）,:_たいき:
-2:05,エムディ,非メンバー,ぴぷってきた…
-2:05,Theゆとり,メンバー（6 か月）,ぴーぷー
-2:04,K TE,メンバー（6 か月）,:_おっきいはーと::_おっきいはーと::_おっきいはーと::_おっきいはーと::_おっきいはーと::_おっきいはーと::_おっきいはーと::_おっきいはーと:
-1:52,Theゆとり,メンバー（6 か月）,:_たいき:
-1:45,Kameo,メンバー（6 か月）,ぴぷぴぷ
-1:43,Amatsu,メンバー（6 か月）,:_たいき::_えあー:
-1:35,鈴木太郎,非メンバー,こんぴーぷー
-1:13,エムディ,非メンバー,ぴぷるのもあと2回か…
-1:06,善品,メンバー（2 か月）,:_たいき::_すごい:
-0:56,ねこさん1号,非メンバー,こんれーなー
-0:40,シケポン,メンバー（1 年）,:_よるみ::_よるみ:ぴーぷーしてきた
