timestamp,author_name,membership,text
-0:35,11 02,非メンバー,ついえら
-0:35,ゼロイチ,非メンバー,待機!
-0:34,しのみやのの,メンバー（4 か月）,ついえら
-0:33,れちなーる*,非メンバー,皆音量下げとこうな
-0:33,はるか,メンバー（2 か月）,待機！ついえら！！
-0:33,枕布団,非メンバー,待機
-0:32,ティー,メンバー（2 か月）,ついえら
-0:32,商売したい死神,非メンバー,ついえら！
-0:32,花鹿【カジカ】,メンバー（1 か月）,ついえら！
-0:32,穂爲,メンバー（4 か月）,待機！ついえら！
-0:32,雨竜,非メンバー,ついえら！
-0:32,りん,メンバー（2 か月）,ついえら！
-0:31,水面 [みなも],非メンバー,ついえら！
-0:31,おーず,メンバー（2 か月）,待機！！ついえら！！
-0:30,しぐれ,メンバー（2 か月）,ついえら！
-0:29,ゆあ,非メンバー,たいき！
-0:28,青花-あおばな-,メンバー（6 か月）,カウントダウンに備えて音量調節しような
-0:28,Ena_,非メンバー,待機❕
-0:28,朱織-akaori-,メンバー（2 か月）,ついえら
-0:27,なーな。,非メンバー,ついえら！待機！
-0:26,真白ゆっこ,メンバー（6 か月）,ついえら待機！
-0:25,うにまろ,メンバー（2 か月）,ついえら！
-0:25,眼鏡,非メンバー,間に合った...！
-0:24,鶏皮ぽん酢,メンバー（4 か月）,ついえら！
-0:22,えんじ。,新規メンバー,ついえら！
-0:22,豚汁,非メンバー,待機
-0:22,Verre,非メンバー,ついえら
-0:22,花縫,メンバー（1 年）,ついえら
-0:22,クノイチ,非メンバー,ついえら！
-0:22,miren,非メンバー,待機！ついえら！
-0:21,リンゴの星,非メンバー,ついえら！
-0:21,うえ,非メンバー,ついえら！
-0:21,秋知,メンバー（8 か月）,待機〜
-0:21,雲燄,非メンバー,待機！
-0:21,おらんだ15,メンバー（1 年 3 か月）,待機！
-0:19,ikano osashimi,メンバー（1 年）,わくわく待機
-0:17,藤原はにわ,非メンバー,ついえら
-0:15,白桃,非メンバー,ついえら！
-0:15,たまき,メンバー（2 か月）,ついえら！
-0:14,月奈,メンバー（9 か月）,待機
-0:13,ねむる海星,メンバー（3 か月）,ついえら
-0:12,。しずあ。,非メンバー,ついえら！
-0:12,たろ・w・,メンバー（7 か月）,ついえら！待機
-0:11,舞マイ,非メンバー,待機！
