timestamp,author_name,membership,text
-1:25,ななん。,メンバー（6 か月）,ついえら〜:_pen:
-1:25,藺音_,メンバー（2 か月）,ついえら！
-1:25,月奈,メンバー（6 か月）,待機
-1:24,辛口本醸造やゆよ,メンバー（2 か月）,待機！ついえら！
-1:22,ここゆめちゃん,メンバー（2 か月）,待機！！！
-1:22,紗菜,非メンバー,待機!
-1:19,なの,非メンバー,ついえらたいき
-1:18,Ardbeg,メンバー（2 か月）,待機
-1:17,えんじ。,新規メンバー,待機！ついえら！
-1:16,瑞城_mizuki,メンバー（2 か月）,ついえら！
-1:12,りん,メンバー（2 か月）,ついえら！
-1:11,ありんこ,メンバー（2 か月）,待機
-1:08,生肉,メンバー（6 か月）,楽しみ:_pen:
-1:08,しちくろくじゅう,メンバー（2 か月）,ついえら
-1:07,蜂,非メンバー,待機！
-1:06,つゆ原,メンバー（2 か月）,ついえら！待機！
-1:02,あなた,メンバー（2 か月）,:_pen::_pen:待機:_pen::_pen:
-1:01,ミントチョコ,メンバー（1 か月）,ついえら！！
-1:00,トマトム,メンバー（6 か月）,:_pen::_pen::_pen:
-0:58,ソーダ,メンバー（6 か月）,ついえら！
-0:58,なるなるなるね,非メンバー,待機！
-0:55,chaP,非メンバー,ついえら！
-0:54,凛画,新規メンバー,待機
-0:52,alkyl瑠璃鶲,メンバー（2 か月）,たいき！
-0:49,赤屋,メンバー（2 か月）,待機！
-0:47,風鈴,メンバー（2 か月）,ついえら
-0:47,機音GEAR#星くずたぬンボ,メンバー（2 か月）,:_pen::_pen::_pen:
-0:45,うにまろ,メンバー（2 か月）,ついえら！
-0:43,しぐれ,メンバー（2 か月）,ついえら！
-0:42,リッキー,メンバー（1 か月）,待機！
-0:41,いずな。,非メンバー,ついえら待機！
-0:38,あかみ。,メンバー（2 か月）,ついえら！待機！
-0:38,ふゆ,新規メンバー,待機！
-0:37,彼方168,非メンバー,ついえら!!待機〜
-0:34,おおお,非メンバー,待機
-0:34,雪食み,メンバー（2 か月）,ついえら！
-0:32,なみる,メンバー（2 か月）,ついえら！
-0:32,風早ぷに,非メンバー,待機！
-0:32,珈琲牛乳,非メンバー,楽しみ待機！
-0:32,青花-あおばな-,メンバー（6 か月）,:_pen::_pen::_pen:
-0:31,れい,メンバー（2 か月）,ついえら！待機！
-0:29,みづき,非メンバー,たいき
-0:21,しろーれ,非メンバー,待機！
-0:19,おらんだ15,メンバー（1 年）,待機〜:_pen::_pen:
-0:15,かずさ,メンバー（1 年）,:_pen:
-0:12,アマモゴンズイ,メンバー（2 か月）,待機！
-0:10,舞マイ,非メンバー,待機！
-0:05,悠人。,非メンバー,待機！！
-0:05,水面 [みなも],非メンバー,ついえら！
-0:02,心の残高,メンバー（2 か月）,待機
2:04,カーネリアン,メンバー（2 か月）,待機！
2:06,丸ノ内,非メンバー,待機
2:08,燕子花,メンバー（2 か月）,待機
2:10,Saaya,メンバー（6 か月）,待機
2:11,たまき,メンバー（2 か月）,待機！
2:12,あまとう,非メンバー,待機
2:13,祐,メンバー（6 か月）,待機！
2:13,蒼空,非メンバー,待機！！！
2:15,ru ru,メンバー（2 か月）,たいき
2:17,。しずあ。,非メンバー,間に合ったー！
2:18,ミントチョコ,メンバー（1 か月）,:_pen::_pen::_pen::_pen::_pen::_pen:
2:18,潤,新規メンバー,待機！
2:20,nana mimi,非メンバー,親キター！
2:21,miren,非メンバー,待機
2:23,ルル,メンバー（6 か月）,親きちゃ！待機〜！
2:27,みづき,非メンバー,かうんとだうん
2:27,ねむる海星,メンバー（2 か月）,親のおかげで間に合った
2:28,トマトム,メンバー（6 か月）,親きちゃ
2:29,水面 [みなも],非メンバー,きちゃ！
2:31,あかみ。,メンバー（2 か月）,親きちゃ
2:32,れい,メンバー（2 か月）,きちゃ！
2:33,ikano osashimi,メンバー（1 年）,わくわく
2:33,E 5,非メンバー,きちゃ！
2:33,青花-あおばな-,メンバー（6 か月）,親カウントダウンきちゃ
2:34,ゆずねこ,メンバー（2 か月）,きちゃ！
2:34,レイカーライル,非メンバー,きちゃ！
2:34,あいみに,非メンバー,親だ
2:34,あなた,メンバー（2 か月）,親カウントダウンきちゃ
2:35,風早ぷに,非メンバー,きちゃー！
2:35,菜月 なつき,非メンバー,きちや
2:36,藺音_,メンバー（2 か月）,カウントダウンきちゃ
2:36,月奈,メンバー（6 か月）,親きちゃ
2:37,しぐれ,メンバー（2 か月）,親きちゃ！
2:38,ナダハル,非メンバー,きちゃ！
2:38,ななん。,メンバー（6 か月）,親きちゃ〜
2:38,KingleXYZ The Dragon,非メンバー,きちゃあ
2:39,ねりけし,メンバー（1 年）,きちゃ
2:39,豆太郎,メンバー（6 か月）,きちゃ
2:39,すかい。,非メンバー,きちゃ！
