timestamp,author_name,membership,text
-50:36,白桃,メンバー（5 か月）,用事があるからアーカイブで見ます！特訓頑張って！！
-50:12,くすんだ漆黒,非メンバー,長尾みたいなことはやめてもろて
-48:58,バルカーノ,メンバー（6 か月）,:_amyaJii:
-47:53,出雲,非メンバー,Bチーム雀卓すぎたもんね......
-46:19,すーたろう,メンバー（5 か月）,:_amyaJii:
-44:50,ToMas,非メンバー,片手麻雀片手マリカの時代きたな
-42:57,ふじむら,非メンバー,片手爆弾解除の次は片手麻雀か…
-41:11,かずぺそ,メンバー（1 年 1 か月）,マリカだ！
-40:31,カジキマグロ,非メンバー,マリオカートしながらデレステする変態なら見たことある
-40:16,tokura,メンバー（10 か月）,:_amyaJii:
-37:43,麦,メンバー（3 か月）,:_amyaJii:
-35:42,Sheep991,メンバー（1 か月）,:_amyaJii:
-34:23,バルカーノ,メンバー（8 か月）,伸びたねえ
-33:27,ユウ,メンバー（1 年 1 か月）,こころまち
-33:23,狼,メンバー（6 か月）,:_amyaJii:
-33:15,くすんだ漆黒,非メンバー,こころまち
-33:12,ゆの,メンバー（11 か月）,30分了解！
-27:45,そうめり,メンバー（2 か月）,:_amyaJii:
-26:12,四葉,新規メンバー,:_amyaJii:
-25:29,カイト,新規メンバー,:_amyaJii:
-24:49,ヤサネ,新規メンバー,こころまち
-23:20,ケーヅ,メンバー（11 か月）,仕事だからアーカイブでみるね 頑張って
-23:03,あおいこうちゃ,メンバー（6 か月）,30分りょ！
-23:02,しもふゆ,非メンバー,こころまち
-22:43,しもふゆ,非メンバー,ってことは今日2回行動！？やっちゃー！
-22:29,りゅー,メンバー（1 年）,:_amyaJii:
-20:51,NOBITA KUNSAN,メンバー（11 か月）,がんばえ〜
-18:26,油脂,メンバー（1 年）,:_amyaJii:
-18:19,油脂,メンバー（1 年）,案件と合わせて二回行動たすかる
-18:02,へんたいおうじ,メンバー（5 か月）,:_amyaJii:
-17:52,立ᄑ,非メンバー,伝説の麻ーリオカート
-16:51,油脂,メンバー（1 年 1 か月）,麻リオは危ない
-12:07,ななめなめろう,非メンバー,にじさんじ片手間リカやりすぎで草
