timestamp,author_name,membership,text
-3:31,ラジオルゼカ,メンバー（1 年）,あまみゃ！頑張って！
-3:28,おぷとん,メンバー（2 か月）,あまみゃファイトー！
-3:26,麦,メンバー（2 か月）,:_amyaPika::_amyaPika2::_amyaPika::_amyaKokoro::_amyaPika::_amyaPika2::_amyaPika:
-3:19,板橋タイヤ,メンバー（2 か月）,ファイトやで～！！！！
-3:18,rim。,メンバー（2 か月）,すくすく育ったあまみゃならいける
-3:18,柿食う客,非メンバー,あまみゃ魔境だけどがんばだよ～
-3:03,一般男性,非メンバー,あみゃみゃ頑張って
-2:59,リン / ling,メンバー（2 か月）,ふぁいとー！
-2:48,からあげのてんぷら,非メンバー,サムネすごいセンスいいね
-2:48,nt deep,非メンバー,あみゃみゃがんばれ
-2:41,アメとムチムチボディ,メンバー（2 か月）,いけるよ
-2:40,ティンダロスの猟犬,非メンバー,頑張って下さい！
-2:35,しもふゆ,非メンバー,がんば！！！！！！
-2:30,あんのうさぎ,非メンバー,あまみゃふぁいと！
-2:28,DAPI s,非メンバー,周り強い人ばっかだけどあみゃならいける！
-2:19,油脂,メンバー（1 年）,:_amyaJii:
-2:18,ゆたゆた,非メンバー,あまみゃファイト！
-2:06,油脂,メンバー（1 年）,勝ち抜けてくれると信じてる
-2:00,SUiso,非メンバー,あみゃファイト！
-1:53,Astellon,メンバー（6 か月）,すくすく育つんだぞ！
-1:47,夏。,非メンバー,あまみゃ応援してるで〜
-1:46,びょんみん,メンバー（2 か月）,あまみゃファイト！
-1:46,アカリ,メンバー（6 か月）,:_amyaJii::_amyaJii::_amyaJii:
-1:44,あざか,非メンバー,潰し合いの中抜けきればチャンスは絶対にある
-1:43,みやみや,メンバー（1 年）,みゃいと～
-1:41,なりはる,非メンバー,すくすく育ったよな！
-1:39,レベッカ,非メンバー,ファイト〜！
-1:37,こみん,非メンバー,あみゃみゃがんばえ〜！！！
-1:35,かっぱくん,メンバー（1 年）,:_amyaAaa::_amyaMaa::_amyaMya::_amyaKoo::_amyaRoo::_amyaKoo::_amyaRoo:
-1:32,近衛治太,非メンバー,すくすく育ったところ見せてけ～
-1:25,あらや,メンバー（1 年）,あまみゃしか勝たん！
-1:19,アメとムチムチボディ,メンバー（2 か月）,がんばがんば
-1:15,さたん,非メンバー,師匠勝ったしあまみゃも見せつけてほしいねぇ
-1:05,ULOC,非メンバー,Bリーグは猛者だらけだけど、あまみゃもその猛者の一人だからな。
-1:05,ももも,メンバー（6 か月）,:_amyaMya::_amyaPika::_amyaPika:
-1:01,これっと,非メンバー,みゃみゃかんばれ！！！！
-0:54,かべ,新規メンバー,すくすく育った力を魅せるとき…！
-0:49,紅茶,メンバー（2 か月）,あまみゃがんばれー！！:_amyaPika::_amyaPika2::_amyaPika:
-0:37,かなで,新規メンバー,:_amyaOhamya:頑張れ
-0:29,Ungrave,非メンバー,みゃがんばえ！！！
-0:28,ふじむら,メンバー（2 か月）,予選4タテは伊達じゃない！
-0:26,SUiso,非メンバー,すくすく育ったあまみゃの力を見せつけろ！！
-0:25,lu Dudu,非メンバー,頑張れ！！！！
-0:20,ナミショウ,非メンバー,あまみゃの走力なら余裕よ、あま虐さえ無ければ
-0:18,レグ,メンバー（6 か月）,あまみゃがんばれ～
-0:13,むささび,メンバー（1 か月）,かんばれ:_amyaPika::_amyaPika:
-0:11,トミー07,非メンバー,頑張れ～❗️
-0:05,*いかふらい,非メンバー,あまみゃがんば！
0:10,ken,非メンバー,がんばれ
0:12,りゅー,メンバー（1 年）,:_amyaOhamya::_amyaMya:
0:16,NOBITA KUNSAN,メンバー（6 か月）,:_amyaOhamya:
0:22,ふじむら,メンバー（2 か月）,:_amyaOhamya:
0:25,かっぱくん,メンバー（1 年）,:_amyaOhamya:
0:25,近衛治太,非メンバー,おはみゃ
0:25,Ungrave,非メンバー,みゃがんばえ！！！
0:26,フィアchannel,非メンバー,きちゃああ
0:26,もふもふ団長,メンバー（2 か月）,:_amyaSin:
0:26,皆無,メンバー（1 年）,:_amyaOhamya::_amyaKokoro:
0:26,NOBITA KUNSAN,メンバー（6 か月）,:_amyaSin:
0:27,アカリ,メンバー（6 か月）,:_amyaOhamya::_amyaOhamya:
0:31,Sheep991,メンバー（1 か月）,:_amyaOhamya:
0:31,かなで,新規メンバー,:_amyaOhamya::_amyaHeart:
0:32,赤いイカ,メンバー（1 年）,:_amyaOhamya:
0:32,ショウ,メンバー（1 年）,:_amyaOhamya:
0:34,わしたか,非メンバー,あみゃみゃ頑張ってね
0:35,DAPI s,非メンバー,おはみゃー！
0:35,そーた,非メンバー,頑張れ
0:36,宇佐見慧音,非メンバー,おはみゃ
0:36,アメとムチムチボディ,メンバー（2 か月）,:_amyaOhamya::_amyaOhamya::_amyaOhamya:
0:37,Gakiichiガキイチ,非メンバー,かわいい
0:38,アラン,メンバー（2 か月）,:_amyaOhamya:
0:39,風子々,メンバー（6 か月）,:_amyaOhamya::_amyaOhamya:
0:40,かべ,新規メンバー,:_amyaOhamya::_amyaOhamya:
0:43,アラジン,非メンバー,おはみゃ〜
0:43,Greyscale,非メンバー,Good luck:yougotthis:
0:44,ark0125,非メンバー,おはみゃ
0:46,たくみ,メンバー（2 か月）,:_amyaOhamya:
0:46,ちぇるみ,メンバー（1 年）,:_amyaOhamya:
0:46,ユニバァァァス,非メンバー,おはみゃ
0:46,ままま,メンバー（2 か月）,:_amyaOhamya:
0:51,天使,非メンバー,リラックスしていけ！勝てるぞ！
0:52,さっつん,非メンバー,おはみゃー
0:52,はつけ,メンバー（6 か月）,:_amyaOhamya:あまみゃ頑張れ！
0:53,闇の仕草,非メンバー,かわいい！がんばれ！
0:58,森中まりん,非メンバー,あまみゃ、がんばっ！
0:58,さくらいむ,メンバー（2 か月）,:_amyaOhamya:
0:59,麦,メンバー（2 か月）,:_amyaOhamya:
1:02,v好きなオタクの接着剤,メンバー（2 か月）,:_amyaOhamya:
1:03,you,非メンバー,ふわはかったよ
1:06,むささび,メンバー（1 か月）,OKよ
1:07,DonKiti5121,非メンバー,音量、OKです
1:12,たくとく,メンバー（6 か月）,スタジオからこんにちは？
1:12,Yuu,メンバー（1 年）,あみゃみゃ頑張れ～
1:12,こじはる,メンバー（2 か月）,:_amyaOhamya:
