timestamp,author_name,membership,text
-2:33,からお,非メンバー,こころまち
-2:32,ヴァイス,非メンバー,こころまち
-2:29,なの,メンバー（2 か月）,:_amyaPika::_amyaPika::_amyaPika2::_amyaPika2:
-2:29,ズイ,非メンバー,こころまち
-2:20,ぶどう,メンバー（2 か月）,:_amyaPika::_amyaPika::_amyaPika:
-2:08,真藍さい,メンバー（1 年）,待機
-2:06,ヴァイス,非メンバー,今年スノハレ10周年なんだよね……
-2:04,ThePositive Guy,非メンバー,こころまち
-1:55,よもぎ草もち,メンバー（2 か月）,こころまち
-1:52,Carl カール,非メンバー,こころまち
-1:47,Hikaru,メンバー（1 年）,スノハレ、冬曲で1番好きだなぁ
-1:36,かすてら。,メンバー（2 か月）,:_amyaKokoro:
-1:33,tyoro10,非メンバー,最高
-1:32,ねぼくじ,メンバー（1 年）,:_amyaPika::_amyaPika2::_amyaPika::_amyaPika2::_amyaPika:
-1:30,陰キャ,非メンバー,こころまち
-1:26,するとしようか、王の話を,非メンバー,待機
-1:20,麦,メンバー（2 か月）,こころまち
-1:20,藤太郎,非メンバー,もう10年ですか…
-1:18,Shou kiti,非メンバー,たきたきた行き
-1:15,太陽,非メンバー,10年前の曲ってま…
-1:09,kbf kbf,非メンバー,スノハレが10周年ということはスノハレ10周年ってことか
-1:07,かずぺそ,メンバー（1 年）,りりくらまち
-1:07,星の民,非メンバー,間に合ったようね
-0:59,班長キーマ,メンバー（1 年）,:_amyaKoro2::_amyaKoro2::_amyaKoro2::_amyaKoro2:
-0:57,ケーヅ,メンバー（6 か月）,:_amyaPika2::_amyaPika::_amyaKoo::_amyaKoo::_amyaRoo::_amyaMati::_amyaPika::_amyaPika2:
-0:54,バルカーノ,メンバー（6 か月）,りりくらってなんだ・・・？
-0:50,Hikaru,メンバー（1 年）,ざわざわ…
-0:50,Shou kiti,非メンバー,くるぞー
-0:46,ゆーすけ？,非メンバー,こころまち
-0:42,しもふゆ,非メンバー,こころまち
-0:39,ダックスフント,非メンバー,しぃしぃ～❄
-0:38,カワウソロジー,非メンバー,こんれ〜な〜
-0:36,Hikaru,メンバー（1 年）,あまみゃああああああ:_amyaPika::_amyaPika::_amyaPika2::_amyaPika::_amyaPika2:
-0:33,太陽,非メンバー,こころまち
-0:32,taketo RONA,非メンバー,リリークラウンってなんだ
-0:31,ねこどん,メンバー（1 年）,こころまち
-0:31,kbf kbf,非メンバー,こんれーなー
-0:31,うたた寝の詠,メンバー（1 年）,こころまち
-0:30,Mightydeadlyman,非メンバー,こころまち
-0:29,ヴァイス,非メンバー,神曲降臨まであと少し🤏
-0:23,たくとく,メンバー（6 か月）,カバーしてくれるの凄い嬉しいな
-0:20,ヘィヴンダックス,非メンバー,アイドルの波動を感じる
-0:20,Yuuki,非メンバー,りりくらしてきた
-0:19,Ryo,非メンバー,こころまち
-0:16,Shou kiti,非メンバー,ドクッン
-0:10,NOBITA KUNSAN,メンバー（6 か月）,こころまち
-0:07,バルカーノ,メンバー（6 か月）,カウントダウン・・来るぞ・・・
-0:02,wotorika,メンバー（6 か月）,:_amyaMya:
-0:02,Hikaru,メンバー（1 年）,オレンジになるとこ誰が歌うのかな。
-0:00,きょうからいちにちめ,非メンバー,こころまち
2:03,かべ,新規メンバー,こころまち
2:05,明野和馬,メンバー（2 か月）,:_amyaMya:
2:05,ぐぅ,メンバー（2 か月）,こころまち
2:05,NKP 64,非メンバー,Exciting
2:06,こや,非メンバー,くるぞー！
2:06,hayashibarazero,非メンバー,待機
2:07,狼,メンバー（6 か月）,こころまち
2:08,さか,メンバー（1 年）,:_amyaPika2::_amyaKokoro::_amyaPika:
2:09,めんとす,非メンバー,もしかしてアイドルグループなの？
2:10,むささび,メンバー（1 か月）,みゃ
2:10,kbf kbf,非メンバー,うっさ！
2:13,ここ,メンバー（1 か月）,きちゃ
2:15,杏とろ,非メンバー,こころまち
2:16,Hikaru,メンバー（1 年）,きちゃ！！！！
2:16,かたなし。,非メンバー,こころまち
2:17,ダックスフント,非メンバー,きちゃ
2:18,にゃんてっく,メンバー（1 年）,:_amyaMya:
2:19,ふるか,メンバー（2 か月）,きちゃ
2:19,さちくろ,非メンバー,これほどのクリスマスプレゼントがもらえるとは…
2:19,ぷりっつPretz,非メンバー,きちゃ
2:20,Sheep991,メンバー（1 か月）,きちゃ
2:20,Eclipse狂花,非メンバー,きちゃ
2:20,nova twintail,メンバー（6 か月）,きちゃ
2:20,しんつぺえ,非メンバー,親の顔より見た
2:21,ななばた,非メンバー,きちゃ
2:21,うたた寝の詠,メンバー（1 年）,きちゃ
2:22,油脂,メンバー（1 年）,きちゃ
2:22,フィジカルハイポーション,非メンバー,うっさ
2:23,するとしようか、王の話を,非メンバー,うるさ
2:23,白桃,メンバー（2 か月）,あまみゃの歌だいすき
2:23,tyoro10,非メンバー,きちゃあ
2:24,Shou kiti,非メンバー,きたー
2:24,かそく,非メンバー,きちゃ
2:25,近衛治太,非メンバー,きちゃ
2:25,ちずまる,非メンバー,きちゃ
2:26,電脳,メンバー（6 か月）,:_amyaPika::_amyaPika2::_amyaKoo::_amyaKoo::_amyaRoo::_amyaMati::_amyaPika2::_amyaPika:
2:27,さくぱん,メンバー（6 か月）,きちゃ
2:27,ぽみゃーゆ,非メンバー,きちゃ！
2:27,隼ζ〈ジュン ゼータ〉,非メンバー,親のカウントダウンよりも聞いたカウントダウン
2:29,アラン,メンバー（2 か月）,きちゃ
2:32,Hikaru,メンバー（1 年）,くそでかBGM
2:32,ありす,非メンバー,親カウントダウン
2:33,しもふゆ,非メンバー,親のカウントダウン
