timestamp,author_name,membership,text
-8:15,kewinち-,非メンバー,waiting~
-8:07,ソラウ,メンバー（6 か月）,:_yurayura:
-2:48,毛玉,メンバー（6 か月）,:_yurayura::_yurayura::_yurayura:
-0:42,あす,メンバー（6 か月）,待鬼:_yurayura:
-0:01,十波ユーリ,メンバー（2 か月）,:_yurayura:
0:15,ゆとりろにとりる,メンバー（6 か月）,きちゃ！
0:40,十波ユーリ,メンバー（2 か月）,きちゃ
1:32,ColorCow,非メンバー,きちゃー
2:23,あす,メンバー（6 か月）,こんにゃらら〜！
2:26,毛玉,メンバー（6 か月）,こんにゃらら〜
2:32,ソラウ,メンバー（6 か月）,おはにゃら〜
2:32,Wenlin,メンバー（2 か月）,こんにゃらら〜
2:35,やみい/朝日奈樒,非メンバー,おはにゃらら〜
2:41,冨田孝寛「とみだたかひろ」,非メンバー,おはにゃらー！
2:48,GOTO DARS,非メンバー,こんにゃらら〜
3:00,平石ロキ,非メンバー,こんにゃらら〜
3:07,あす,メンバー（6 か月）,待ってる間にガチャピンさんに挨拶してくる
3:18,しらかみの化身,非メンバー,朝早いですねー！
3:25,ナトリウム,非メンバー,ガチャピンさんは今日も冷たかったです
3:48,十波ユーリ,メンバー（2 か月）,こんにゃらら〜
3:59,咲耶,非メンバー,ガチャピンさんSSR何もくれへん…
4:15,ソリスト,非メンバー,にゃらかおはよ
4:22,毛玉,メンバー（6 か月）,ガチャピンさんジャンケンさせてくれない
4:34,飛鳥,メンバー（6 か月）,こんにゃらら～
4:40,十波ユーリ,メンバー（2 か月）,おやすみなさい
4:47,ミッドユーラック,非メンバー,こんにゃらー、ガチャピンには勝てなかったよ・・
4:47,いざよい,メンバー（6 か月）,おはにゃらー
4:57,はりねずみ,メンバー（2 か月）,こんにゃら～
4:57,天神,非メンバー,こんにゃららこれから寝るところなので導入に効きます
4:59,伊地知稔麿,非メンバー,おはにゃらー
5:19,伊地知稔麿,非メンバー,配信助かる！
5:37,おこめくらふと,メンバー（2 か月）,こんにゃら〜
5:37,猫之毛真,非メンバー,おはにゃら～😪
5:50,十波ユーリ,メンバー（2 か月）,あ
5:55,ビスケット,非メンバー,おはにゃらー！10連しか当たらなかったです………
6:02,いいがかり兄さん,非メンバー,こんにゃらー
6:41,Noise. 。z Z,非メンバー,壁
6:43,ソラウ,メンバー（6 か月）,右の方が早いですね
6:43,NA KlR,非メンバー,あっち
7:08,ねねっち,非メンバー,なるほど～
7:12,マトリョーシカ,非メンバー,狡猾だねぇ
7:16,十波ユーリ,メンバー（2 か月）,意識たかいのつよつよ
7:21,ソラウ,メンバー（6 か月）,みんなが選ぶコース全部走れるようになれば最強よ
7:44,スローロリス,メンバー（6 か月）,長尾だけは不気味
7:51,天神,非メンバー,長尾くんは大体どのコースもショトカ詰めてる
7:58,ZoreN,非メンバー,おはようございます～
8:30,こが,メンバー（6 か月）,おはにゃら～
8:58,ソラウ,メンバー（6 か月）,壁ぶつかった所はin付きたいならJAしないほうがいいです
9:42,morioka_aya,非メンバー,おはにゃら～
9:46,海鼠,非メンバー,『あなたのためのNISC』…
10:14,もやし,非メンバー,ゴメンね今から寝ます…練習頑張って！
11:18,ねねっち,非メンバー,おぉ
11:24,おこめくらふと,メンバー（2 か月）,おー
11:26,あぐすけ,メンバー（6 か月）,おはにゃらー
12:00,ソラウ,メンバー（6 か月）,綺麗にいけたねぇ
12:29,ねねっち,非メンバー,今のでコツ掴んだねえ
12:50,りま,非メンバー,誉めたらダート噛む
12:50,Bred Thorough,非メンバー,おやすみ
13:18,NA KlR,非メンバー,ゴール前のショトカは？🙄
13:28,伊地知稔麿,非メンバー,膨らみすぎてガートに入っちゃうのあるある。
14:07,海鼠,非メンバー,草
14:49,Milly,非メンバー,上ルートはグライダー右端から、グライダー開いたら2秒ほどスティックは触らなず、その後左下入力です
14:51,たぁ,非メンバー,グライダー板の右側から若干右方向に行けば上ルート行けます
14:51,伊地知稔麿,非メンバー,分かる
14:59,ねねっち,非メンバー,キレそうw
15:24,りま,非メンバー,最後のショトカ練習しな絶対通れん
15:56,あす,メンバー（6 か月）,垂直になってる道だから右側から出ると実質高い地点から射出されてるってことか
16:10,NA KlR,非メンバー,骨の間😪😴
16:43,chやんちゃん,非メンバー,おはよー
17:00,NA KlR,非メンバー,(・ω・(ヾ)YES
17:13,throwithme _,非メンバー,おはようございます
18:10,ソラウ,メンバー（6 か月）,ショトカは最後にinつくだけかな
18:18,あぐすけ,メンバー（6 か月）,あそこ滑らないでイン攻めできるかのイメージ
19:03,海鼠,非メンバー,フルスロットル獄卒さすが
19:07,マゼンタ,非メンバー,ブレーキが効かない女
19:07,りま,非メンバー,200じゃない限り大丈夫だよ
19:11,夢谷翔,非メンバー,分岐点のところの前は紫まで貯めない方が安定して速くなりますよ
19:15,NA KlR,非メンバー,無理して上行こうとすると降りた時に膨らむから、あんまり🙄
19:38,十波ユーリ,メンバー（2 か月）,かわいい
20:04,十波ユーリ,メンバー（2 か月）,ないすー
20:16,宝刀獅子王,非メンバー,マリカ―でブレーキ使った事無い
21:38,マゼンタ,非メンバー,200ccはブレーキ必須ゾ
21:41,夢谷翔,非メンバー,紫まで貯めると加速し過ぎて安定しにくくなると思います
21:52,あびす,非メンバー,おはにゃら〜
22:32,たぁ,非メンバー,グライダー中のスティック操作は左入力だけでいいです
