timestamp,author_name,membership,text
-1:51:03,あやまいぶき,メンバー（1 か月）,サムネかわいすぎるんだよな…
-1:42:02,アカリーヌ,メンバー（1 か月）,💞
-1:39:00,MultiSK5,非メンバー,かわいい
-1:26:06,鵜鷺[うさぎ],非メンバー,かわいい
-56:21,B̤̮R̤̮A̤̮D̤̮ a.k.a. バード,メンバー（4 か月）,楽しみ:_もももサイリウム:
-39:52,モッチーズ,非メンバー,是…んら…？
-23:40,あかあか,メンバー（1 年）,サムネかわいい
-15:11,おいかわ2983,メンバー（10 か月）,待機
-15:08,micrott,メンバー（3 か月）,丁度いい時間でたすかる
-10:28,たらりら,非メンバー,ももももももももも
-7:13,むーん,メンバー（6 か月）,ついえら〜！
-7:07,moongate,メンバー（1 年 9 か月）,:_もももももも::_もももももも::_もももももも::_もももももも::_もももももも::_もももももも::_もももももも:
-7:02,かりかり,メンバー（2 か月）,20時からたすかる
-6:40,micrott,メンバー（3 か月）,ま:_もももももも:なく
-6:11,Honey Yuki,メンバー（6 か月）,:_もももえらい:
-3:51,切[せつ],非メンバー,もももももももももももも
-3:32,アカリーヌ,メンバー（1 か月）,:_もももえらい:
-3:17,暮伊 葉kurei you,メンバー（1 年）,:_もももももも::_もももももも::_もももももも::_もももももも::_もももももも::_もももももも:
-1:06,domitori,メンバー（6 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
-1:04,あーさ,非メンバー,ももももももも
-0:39,むーん,メンバー（8 か月）,:_もももサイリウム:ペンラ振る準備は出来てるよ:_もももサイリウム:
0:24,きのこご飯,メンバー（1 年 9 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももももも::_もももももも::_もももサイリウム::_もももサイリウム::_もももサイリウム:
0:44,ぞでぃお,メンバー（1 か月）,も！
0:44,あるてな,非メンバー,間に合った！
0:48,ガンダールヴ,メンバー（1 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももももも::_もももももも::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
0:49,MEL Lab Ch. メルベル,モデレーター,もももももももももももも
0:54,あとらんてぃす,メンバー（1 か月）,:_もももももも::_もももサイリウム::_もももももも::_もももサイリウム::_もももももも:
0:55,どみー,メンバー（3 か月）,:_もももももも::_もももももも::_もももちらり:
0:55,わせん,非メンバー,も？
0:57,けい,メンバー（1 か月）,:_もももももも::_もももももも::_もももももも:
1:01,隠遁学生,メンバー（6 か月）,こんばんは！
1:22,きんぴーら,メンバー（8 か月）,聴かせていただく
1:23,はげりんご,新規メンバー,:_もももももも::_もももももも::_もももももも:
1:26,33K S,非メンバー,ももももももももも
1:31,やみい/朝日奈樒,非メンバー,ももももももも
1:34,くかたさ,非メンバー,ももももももも
1:38,くろとと,メンバー（2 か月）,もももももも
1:39,風邪湘南,非メンバー,サムネ可愛い
2:02,ただのゲーム好き,非メンバー,ももももももももももも
2:21,アカリーヌ,メンバー（1 か月）,もももももも
2:21,Sorasuke,非メンバー,拝聴しに参った
2:36,kk ff,非メンバー,ももももももももも
2:45,おいかわ2983,メンバー（10 か月）,ver. inpoたすかる
3:01,むーん,メンバー（8 か月）,こんばんは〜
3:05,・ ガーネット・,非メンバー,サムネよっっっっ！！！
3:07,むーん,メンバー（6 か月）,からくりピエロ？！
3:11,暮伊 葉kurei you,メンバー（1 年）,いや草
3:15,きんぴーら,メンバー（8 か月）,いきなりじゃん
3:15,かりかり,メンバー（3 か月）,かわいい
3:18,アカリーヌ,メンバー（2 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
3:21,ただのゲーム好き,非メンバー,かわいい
3:21,decrescendo 。,メンバー（1 か月）,草
3:24,micrott,メンバー（3 か月）,第一章
3:25,Honey Yuki,メンバー（6 か月）,最初っからクライマックス
3:26,YF HU,非メンバー,おおおおおおお
3:26,抹茶ソーダ,非メンバー,かわいい
3:27,むーん,メンバー（8 か月）,最高....
3:27,ガンダールヴ,メンバー（1 か月）,エモい
3:28,みなと,非メンバー,うお
3:28,きのこご飯,メンバー（1 年 9 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
3:31,むーん,メンバー（8 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
3:35,アマヤ,メンバー（1 か月）,月面ライブだった
3:37,decrescendo 。,メンバー（1 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
3:40,moongate,メンバー（1 年 9 か月）,やったぜ！
3:41,どみー,メンバー（2 か月）,素晴らしきライブセット
3:44,micrott,メンバー（2 か月）,急に歌うよー
3:49,ガンダールヴ,メンバー（1 か月）,:_もももサイリウム:
4:01,えんじぇるくん,非メンバー,月から配信してる？
4:02,Sorasuke,非メンバー,急に入るライブすこ
4:05,Honey Yuki,メンバー（6 か月）,:_もももサイリウム::_もももサイリウム::_もももサイリウム::_もももサイリウム:
