video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
3mKVNebF3Sc,【安土桃視点】＃マリカにじさんじ杯　Aグループ,2020-12-26,2725,0h 45m 25s,1311,253,0.48110091743119265,207,10,4,14,9,9,0
qa0QqKSHpY8,【安土桃視点】＃マリカにじさんじ杯　Aグループ,2020-12-26,10212,2h 50m 12s,2728,505,0.2671367019193106,460,12,3,16,8,6,0
SfYhR5THJKg,【視聴者参加型マリカ】ひさびさにみんなと！【安土桃/Momo Azuchi】,2020-12-25,5271,1h 27m 51s,430,92,0.08157844811231266,76,3,1,6,3,3,0
0RcmZ2KFSOM,【マリカ８DX】クリスマスだしな【安土桃/Momo Azuchi】,2020-12-25,21644,6h 0m 44s,2094,279,0.09674736647569765,252,10,4,6,4,3,0
6pmJ2nfr8BQ,【マリカ８DX】レート6000めざして！【安土桃/Momo Azuchi】,2020-12-24,8739,2h 25m 39s,1039,188,0.1188923217759469,160,7,4,9,4,4,0
Glp50s_Zr5Y,【安土桃視点】＃マリカにじさんじ杯　Fグループ予選,2020-12-19,1731,0h 28m 51s,1299,348,0.7504332755632582,297,7,8,18,10,8,0
b8EVONZ_Qkc,桃鉄、再び。【にじさんじ/コラボ】,2020-12-18,6712,1h 51m 52s,9496,1383,1.4147794994040523,1349,4,9,10,5,6,0
KLMWa8LZCBg,【#7】甲殻熊猫【安土桃と緑仙のラジオ】,2020-12-17,2045,0h 34m 5s,614,100,0.3002444987775061,78,4,3,5,5,5,0
jWgIBq4WShw,【マリカ８DX】4000【安土桃/Momo Azuchi】,2020-12-17,11684,3h 14m 44s,1046,163,0.08952413557001027,143,5,6,5,3,1,0
Xcmxo49C8fg,【歌枠】ボカロしばり【安土桃/Momo Azuchi】,2020-12-14,15546,4h 19m 6s,597,151,0.03840216132767271,115,2,12,4,14,4,0
uuMTJGi94Vg,【マリカ８DX】めざせ3000！！！！！！！！！！！！！！！【安土桃/Momo Azuchi】,2020-12-11,20504,5h 41m 44s,2140,204,0.10436987904799064,176,1,11,1,11,4,0
8PlvGhznpmc,【マリカ８DX】1700超えた！お昼食べたら後半も頑張るぞ～！【安土桃/Momo Azuchi】,2020-12-10,7301,2h 1m 41s,696,124,0.09532940693055746,108,1,4,1,9,1,0
HVYdA-Ofsi8,【マリカ８DX】マリカ初心者、レート2000行くまで！配信を！やめない！【安土桃/Momo Azuchi】,2020-12-10,6174,1h 42m 54s,472,112,0.07644962747003563,96,1,4,1,9,1,0
FPADWv3ENmM,【シャニマス】運命の出会いガチャ引くど～！【安土桃/Momo Azuchi】,2020-12-09,2625,0h 43m 45s,646,125,0.2460952380952381,111,0,4,1,6,3,0
EkPlRtKHDPk,絵をかきます。【安土桃/Momo Azuchi】,2020-12-08,14215,3h 56m 55s,968,138,0.06809708054871615,112,1,9,1,10,5,0
Ej630tlrXqQ,【マイクラ】おばけやしき作ろう！【安土桃/にじさんじ】,2020-12-07,8268,2h 17m 48s,343,62,0.041485244315433,47,1,3,2,5,4,0
AgNXCUKJI6E,【LoL】ハジメ！LoLおしえて！【安土桃/にじさんじ】,2020-12-06,8239,2h 17m 19s,873,141,0.10595946109964802,124,1,5,1,6,4,0
XqYLdT1golw,【シャニマス】はじめまして！これからよろしくね！【安土桃/Momo Azuchi】,2020-12-06,3362,0h 56m 2s,1497,192,0.4452706722189173,167,2,9,2,9,3,0
9Syrn1WOE0Y,【視聴者参加型マリカ８】かかってきな！【安土桃/Momo Azuchi】,2020-12-06,3741,1h 2m 21s,340,65,0.090884790163058,51,2,4,1,5,2,0
juP-vS6thA0,【マリオカート８】★★★【安土桃/Momo Azuchi】,2020-12-06,3557,0h 59m 17s,355,55,0.09980320494798987,37,0,7,2,8,1,0
uALSTBKTNZg,【ポケモンシールド＃3】 英語がいまだに全然わからない件【安土桃/Momo Azuchi】,2020-12-05,5850,1h 37m 30s,913,119,0.15606837606837606,107,0,3,0,9,0,0
iV_BFB-ODJo,#１【二周目・SEKIRO】新たな夜明け【安土桃】,2020-12-05,8854,2h 27m 34s,1246,105,0.14072735486785634,89,2,6,1,5,2,0
EHW6xp72yvI,【マリオカート８】たまご【安土桃/Momo Azuchi】,2020-12-04,3856,1h 4m 16s,381,75,0.09880705394190871,64,0,5,0,5,1,0
xoI7O8R6NSE,#22【SEKIRO】怨嗟の鬼【安土桃】,2020-12-04,17184,4h 46m 24s,1173,133,0.06826117318435754,118,1,5,1,6,2,0
D4sr87IuTY0,#21【SEKIRO】怨嗟の鬼【安土桃】,2020-12-02,12763,3h 32m 43s,1784,140,0.139779048812975,118,1,8,1,10,2,0
wYQ7XTLVnTQ,【マリオカート８】星3つ【安土桃/Momo Azuchi】,2020-12-02,6613,1h 50m 13s,587,79,0.08876455466505369,64,0,3,1,9,2,0
vwrMjV-aHi8,【12月海面会議】隊長、再び【安土桃】,2020-12-01,4943,1h 22m 23s,769,120,0.1555735383370423,91,1,8,2,10,8,0
97j9gtZCdww,【ポケモンシールド＃2】 I played for two hours and finally got my partner【安土桃/Momo Azuchi】,2020-12-01,3974,1h 6m 14s,637,97,0.1602918973326623,86,1,1,2,7,0,0
