timestamp,author_name,membership,text
-32:20,蒼蔚aoi,メンバー（1 年 7 か月）,どきどき
-28:14,Эカエル好き!,メンバー（11 か月）,:_mugi:
-28:10,PONポン,非メンバー,ドキドキだねぇ
-25:30,ダブルゼータ,メンバー（11 か月）,これは期待待機
-25:00,みゃーこ,非メンバー,やった😭
-6:59,アハトアハト,メンバー（9 か月）,待機
-4:00,生き別れたポテトフライ,メンバー（1 か月）,嬉しい
-2:49,和花-カズハ-,メンバー（4 か月）,待機
-1:52,Melan,メンバー（1 年 8 か月）,:_mugi::_mugi::_mugi:
-1:49,wakiyaku,メンバー（1 年 8 か月）,:_mugi::_mugi::_mugi:
-1:39,えいの,メンバー（1 年 8 か月）,:_mugi::_mugi:
-1:39,ねい,メンバー（1 年 8 か月）,:_mugi::_mugi::_mugi:
-1:21,きのこ,メンバー（1 年 8 か月）,:_mugi::_mugi::_mugi:
-1:06,msi_99,メンバー（1 か月）,:_mugi::_mugi::_mugi:
-0:34,UYU:うゆ,メンバー（1 年 6 か月）,:_mugi::_mugi::_mugi:
-0:23,和花-カズハ-,メンバー（4 か月）,:_mugi::_mugi:
0:04,虚旧式,非メンバー,わくわく
0:04,ピロウ,メンバー（6 か月）,爆音カウントダウンくん
0:08,ダブルゼータ,メンバー（11 か月）,カウントダウンくん
0:12,シオシオ,メンバー（1 年 8 か月）,むぎ～～
0:15,時雨彼方,メンバー（1 年 2 か月）,まさかのプレミア
0:20,ただのゲーム好き,非メンバー,きちゃ
0:32,bi bibi,メンバー（1 年 8 か月）,( ˘ω˘)ｽﾔｧ
0:34,こんマイノリティ,非メンバー,始まりました羊数え
0:39,ちゃんたか,非メンバー,Yay the stream started
0:47,ロリ巨乳主義ヌーマ,非メンバー,きちゃ
0:48,わだち,非メンバー,うぉお…
0:50,msi_99,メンバー（1 か月）,あ〜すき
0:50,はるさめぇ,メンバー（1 か月）,きちゃ
0:54,ぴょんきちぴょん,非メンバー,🐏🐏🐏🐑🐏🐏🐏
0:57,もちぐみ,非メンバー,おやすみなさい
0:59,とある久遠,非メンバー,( ˇωˇ ) zzZZZZ
1:03,ぜぶる,メンバー（1 年 8 か月）,ｽﾔｧ
1:14,ゆーれく,メンバー（1 年 6 か月）,おやすみなさい
1:17,ねい,メンバー（1 年 8 か月）,Zzz
1:19,日守咲夜 ひなもり さくや,メンバー（1 年 7 か月）,これは即寝れる
1:26,ミニスター,メンバー（1 か月）,おやすみなさい
1:33,wakiyaku,メンバー（1 年 8 か月）,( ˘ω˘)ｽﾔｧ
1:37,ロリ巨乳主義ヌーマ,非メンバー,寝る前に助かる
1:40,クコの実Kuko,非メンバー,💤
1:40,255_にここ,メンバー（1 年 2 か月）,:_nemui:
1:45,しつ,非メンバー,おやすみなさい
2:03,えいの,メンバー（1 年 8 か月）,おやすみなさい😴
2:04,フナジュー,メンバー（1 年 8 か月）,ﾎﾟﾔｧ…
2:08,柚奈,メンバー（1 年 7 か月）,にじゅっぴき 言い方かわいくてだいすき
2:21,和花-カズハ-,メンバー（4 か月）,おやすみなさい…
2:33,魂暁/こあ,メンバー（1 年 3 か月）,( ˘ω˘)ｽﾔｧ
2:35,ダブルゼータ,メンバー（11 か月）,ぼやしみ〜
2:38,Natsu,非メンバー,すき
2:46,フェレお,新規メンバー,:_mugineko::_mugineko::_mugineko:
3:04,和花-カズハ-,メンバー（4 か月）,:_zou:
3:11,らいかヒロ,メンバー（1 年 3 か月）,ぽやしみ…
3:20,家長むぎ【にじさんじ所属】,確認済み,おやすみ〜
3:26,素直シュール,非メンバー,( ˘ω˘)ｽﾔｧ…
3:28,フェレお,新規メンバー,100匹目までは可愛くて悶えてしまうので寝れない、しかし300匹目くらいで急に落ちる
3:28,おくゆく,メンバー（1 年 8 か月）,( ˘ω˘ )ｽﾔ…
3:30,さば味噌缶,メンバー（4 か月）,( ˘ω˘ )ｽﾔｧ…
3:31,シオシオ,メンバー（1 年 8 か月）,おやすみなさい
3:31,えだまめ,メンバー（1 年 1 か月）,おやすみ～
3:31,時雨彼方,メンバー（1 年 2 か月）,:_mugineko::_mugineko::_mugineko:
3:34,ロリ巨乳主義ヌーマ,非メンバー,おやす～
3:34,bi bibi,メンバー（1 年 8 か月）,:_nemui:
3:38,メンバー用メンバーさん,メンバー（6 か月）,おやすみなさい
3:39,クコの実Kuko,非メンバー,おやすみ〜
3:41,ぴょんきちぴょん,非メンバー,おやすみ～
3:44,和花-カズハ-,メンバー（4 か月）,おやすみ〜
3:46,スザン門,メンバー（1 年 8 か月）,おやすみー
3:49,ラル,非メンバー,おやすみなさい
3:50,wakiyaku,メンバー（1 年 8 か月）,おやす…
3:50,ゔ ゙ ゙ ゙ ゙ ゙,メンバー（1 年 4 か月）,おやすみー
3:54,柚奈,メンバー（1 年 7 か月）,おやしみ
3:54,kuro mira,メンバー（1 か月）,🛌
3:54,はるさめぇ,メンバー（1 か月）,おやすみ....
3:58,さば味噌缶,メンバー（4 か月）,おやすみ〜
4:01,哀染,メンバー（1 年 8 か月）,ぽや
4:31,UYU:うゆ,メンバー（1 年 6 か月）,おやすみ～
4:36,Moon's sea,新規メンバー,unprotected sleep time
4:59,モリヤマダ,メンバー（1 か月）,おやすみ〜
5:12,じぇきぇ,メンバー（1 年 5 か月）,おやすみ〜
5:14,イスカ,非メンバー,おやすみ
5:14,Mizinko,非メンバー,おやすみー
5:39,殿真,メンバー（1 年 8 か月）,おやすみー
5:41,ムラサキ,非メンバー,おやすみ〜
5:52,255_にここ,メンバー（1 年 2 か月）,おやすみなさい
6:14,サメこ,メンバー（1 年 1 か月）,おやすみ〜
6:40,チョスキー,非メンバー,おやすみー
6:46,魂暁/こあ,メンバー（1 年 3 か月）,おやすみ～
6:46,つうろ,メンバー（1 年 4 か月）,これでもう寝れる。。
7:43,ぴょんきちぴょん,非メンバー,(。-ω-)zzz
7:49,はるさめぇ,メンバー（1 か月）,zzz
7:51,ぜぶる,メンバー（1 年 8 か月）,Zzz
8:38,胡散,非メンバー,これでもうねれちゃうな 最後まで聞ける日遠そう
8:42,255_にここ,メンバー（1 年 2 か月）,zzzzz
8:47,さぬきち,メンバー（1 か月）,Zzz...:_mugineko:
9:14,msi_99,メンバー（1 か月）,zzy
9:33,ぴょんきちぴょん,非メンバー,Zzz…
9:51,UYU:うゆ,メンバー（1 年 6 か月）,！？
9:51,魂暁/こあ,メンバー（1 年 3 か月）,Zzz...
10:00,エドレル,非メンバー,??
10:05,魂暁/こあ,メンバー（1 年 3 か月）,!?
10:06,モルティリオ,メンバー（1 年 8 か月）,100匹超えた！
