timestamp,author_name,membership,text
-2:58,後藤,メンバー（1 か月）,:_mugi::_mugi::_nobasi::_nobasi::_suki::_nobasi::_nobasi:
-2:28,sink,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_mugi::_suki:
-2:07,msi_99,メンバー（2 か月）,:_sairiumu1::_sairiumu1::_sairiumu1:
-2:04,Geo Comet,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_mugi:
-1:58,とるお,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-1:55,家長むぎ【にじさんじ所属】,確認済み,おおお...
-1:48,aki mai,メンバー（6 か月）,:_sairiumu1::_mugi::_sairiumu1::_mugi::_sairiumu1:
-1:47,哀染,メンバー（1 年）,もうすぐですね
-1:47,くさなぎ,メンバー（1 年）,:_mugi::_mugi::_suki::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-1:44,ふるす,メンバー（6 か月）,:_sairiumu1::_sairiumu2::_sairiumu3::_sairiumu1::_sairiumu2::_sairiumu3::_sairiumu1::_sairiumu2::_sairiumu3:
-1:43,シオシオ,メンバー（1 年）,:_sairiumu1::_sairiumu1:
-1:36,ちくわ。,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-1:36,ごまねこ,非メンバー,おおお！！！
-1:33,とるお,メンバー（1 年）,:_mugi::_nobasi::_sairiumu1:
-1:32,ことかわひなた,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu3::_sairiumu3::_sairiumu3:
-1:31,魂暁/こあ,メンバー（1 年）,:_sairiumu1::_sairiumu2::_sairiumu3::_sairiumu3::_sairiumu2::_sairiumu1:
-1:28,きのこ,メンバー（1 年）,:_mugi::_nobasi::_sairiumu1::_sairiumu1::_sairiumu1:
-1:27,はやなすび,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-1:27,後藤,メンバー（1 か月）,うおおおおお:_sairiumu2::_sairiumu1::_sairiumu3::_sairiumu1::_sairiumu2::_sairiumu1:
-1:26,ねい,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-1:26,麦と猫,メンバー（2 か月）,さあこい
-1:26,あーもんでぃ,メンバー（1 年）,:_mugi::_mugi::_mugi:
-1:25,十手,非メンバー,待機
-1:24,Ybis Umuth,非メンバー,たのしみ
-1:23,スザン門,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-1:20,imopara,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-1:18,あーもんでぃ,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-1:18,獅子皮鼠,非メンバー,待機
-1:16,シュライン,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-1:12,ぬえふくろう,メンバー（1 年）,:_mugi::_mugi::_mugi:
-1:10,Zhechen Tu,非メンバー,おおおおおお
-1:06,ほわりん,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-0:56,さぬきち,メンバー（2 か月）,:_sairiumu1::_sairiumu2::_sairiumu3:
-0:49,やまひつじ,メンバー（6 か月）,:_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1::_sairiumu1:
-0:48,fu mi,メンバー（1 か月）,:_mugi::_mugi::_suki:
-0:47,Mint Twight,メンバー（1 年）,:_mugi::_mugi::_mugi:
-0:43,Mint Twight,メンバー（1 年）,:_sairiumu1::_sairiumu2::_sairiumu3:
-0:40,ハル,メンバー（1 年）,:_sairiumu1::_sairiumu2::_sairiumu3:
-0:39,ゔ ゙ ゙ ゙ ゙ ゙,メンバー（1 年）,むぎむぎむぎ
-0:33,雪華堕,メンバー（2 か月）,:_sairiumu1::_sairiumu2::_sairiumu3:
-0:26,チャムチャム,メンバー（1 年）,むぎむぎむぎ…
-0:21,ぼるしち,メンバー（1 年）,:_sairiumu1::_sairiumu1::_sairiumu1:
-0:18,獅子皮鼠,非メンバー,むぎむぎむぎ
-0:15,まゆり゚,メンバー（1 年）,:_mugi::_suki::_sairiumu1::_sairiumu1::_sairiumu1:
-0:11,UYU:うゆ,メンバー（1 年）,:_mugi::_mugi::_mugi:
-0:10,siden21,メンバー（1 年）,待機:_sairiumu1:...
-0:10,さんてん,非メンバー,むぎむぎむぎ
-0:07,wakiyaku,メンバー（1 年）,:_mugi::_mugi::_mugi:
-0:04,じぇきぇ,メンバー（1 年）,:_sairiumu1::_sairiumu3::_sairiumu2:
-0:02,雪華堕,メンバー（2 か月）,:_mugi::_mugi::_mugi:
2:04,imopara,メンバー（1 年）,:_mugi::_mugi::_mugi:
2:09,NaNo,メンバー（6 か月）,:_mugi::_mugi::_mugi::_suki::_mugi::_mugi:
