timestamp,author_name,membership,text
-5:55,くれないのぼたん,メンバー（6 か月）,カル待機:_ミニやま:
-5:51,ハル,メンバー（6 か月）,カル待機:_ミニやま:
-5:49,ほーむ,メンバー（6 か月）,カル待機:_ミニやま:
-5:41,テケテケ1号機,メンバー（6 か月）,カル待機:_ミニやま:
-5:39,U太郎,メンバー（6 か月）,カル待機:_ミニやま:
-5:39,中村大吾,メンバー（6 か月）,カル待機
-5:28,るろうに,メンバー（6 か月）,カル待機:_ミニやま:
-5:24,色彩,メンバー（6 か月）,カル待機:_ミニやま:
-5:23,羽田ゲル,メンバー（6 か月）,カル待機:_ミニやま:
-5:22,アマヤ,メンバー（6 か月）,カル待機:_ミニやま:
-5:21,よず,メンバー（6 か月）,カル待機:_ミニやま:
-5:16,ふぁんふぁん,非メンバー,俺にもスタンプがあれば…
-5:15,ウグイス,メンバー（6 か月）,カル待機:_ミニやま:
-5:04,極楽ペンギン福太郎,非メンバー,カル待機
-5:04,庵沢,メンバー（2 か月）,カル待機:_ミニやま:
-5:02,かたなゆうかじ,メンバー（6 か月）,カル待機:_ミニやま:
-4:58,いろはす もも,メンバー（6 か月）,カル待機:_ミニやま:
-4:57,銀行ATM,メンバー（1 か月）,カル待機:_ミニやま:
-4:57,み,メンバー（6 か月）,カル待機:_ミニやま:
-4:38,しろり,メンバー（6 か月）,カル待機:_ミニやま:
-4:29,みやさん,メンバー（6 か月）,カル待機:_ミニやま:
-4:25,赤いイカ,メンバー（6 か月）,カル待機:_ミニやま:
-4:24,K-dolph DJ,非メンバー,カル待機
-3:45,鏡んちのとーや,メンバー（2 か月）,カル待機:_ミニやま:
-3:33,窓枠,メンバー（1 か月）,カル待機
-3:19,やすきち,メンバー（6 か月）,カル待機:_ミニやま:
-3:03,かるぱちよ,メンバー（6 か月）,カル待機:_ミニやま:
-2:53,上田.,メンバー（2 か月）,カル待機
-2:24,オルマン,メンバー（6 か月）,かる待機！
-2:06,迷犬[めいけん]しゃもじ,メンバー（6 か月）,カル待機:_ミニやま:
-2:06,はるにゃんこ,メンバー（6 か月）,カル待機
-2:01,鍋r,メンバー（2 か月）,カル待機:_ミニやま:
-1:57,ポンデグレープ,メンバー（2 か月）,カル待機:_ミニやま:
-1:50,やかんっす,非メンバー,初見です。嘘です。
-1:47,beta,メンバー（6 か月）,カル待機:_ミニやま:
-1:17,なみき,メンバー（1 か月）,カル待機:_ミニやま:
-1:14,ロキ,非メンバー,カル待機！
-1:04,ベルコタ,メンバー（2 か月）,カル待機:_ミニやま:
-0:49,Hokuto,メンバー（6 か月）,カル待機
-0:29,獣っ娘大好き,新規メンバー,カル待機:_ミニやま:
-0:26,えふえふ,メンバー（6 か月）,カル待機:_ミニやま:
-0:25,サクラギカズマ,非メンバー,こんカルタ～
-0:10,ユイミア,メンバー（6 か月）,カル待機:_ミニやま:
-0:07,のんびり鴉天狗,メンバー（6 か月）,カル待機:_ミニやま:
0:09,c g,非メンバー,カル待機
0:16,テケテケ1号機,メンバー（6 か月）,きちゃ
0:19,かるぱちよ,メンバー（6 か月）,きちゃ
0:19,ちれん,メンバー（6 か月）,きたわね
0:20,すこやか太郎,非メンバー,きちゃ
0:26,波羅レイル,メンバー（6 か月）,きちゃ
0:26,かるぱちよ,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:31,るろうに,メンバー（6 か月）,きちゃ
0:31,よず,メンバー（6 か月）,ついえら
0:31,K-dolph DJ,非メンバー,ついえら
0:32,色彩,メンバー（6 か月）,きちゃ
0:34,わたり,新規メンバー,きちゃ〜
0:34,ユイミア,メンバー（6 か月）,ついえら
0:34,やすきち,メンバー（6 か月）,ついえら
0:37,登坂KING,非メンバー,きちゃ
0:37,えふえふ,メンバー（6 か月）,きちゃ
0:38,みやさん,メンバー（6 か月）,きちゃ！
0:49,kazuki,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:49,やすきち,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:49,ほーむ,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:50,上田.,メンバー（2 か月）,:_こんかるた::_ミニやま:
0:50,こんぺいまる,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:50,いろはす もも,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:50,しろり,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:50,ムラモ,非メンバー,こんかるた～
0:51,左手ライトハンド,非メンバー,こんかるた〜
0:51,よず,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:51,ハル,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:52,ちれん,メンバー（6 か月）,こんかーるた
0:55,赤いイカ,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:55,ディレ,非メンバー,こわい
0:55,迷犬[めいけん]しゃもじ,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:55,中村大吾,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:55,全てを焼き尽くす黒い焼き鳥,メンバー（2 か月）,:_こんかるた::_ミニやま:
0:55,ロキ,非メンバー,きちゃ！
0:56,beta,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:56,むらしゅん,メンバー（6 か月）,:_こんかるた::_ミニやま:
0:57,とーち,メンバー（2 か月）,:_こんかるた::_ミニやま:
0:57,もあい,メンバー（2 か月）,:_こんかるた::_ミニやま:
0:58,かるぱちよ,メンバー（6 か月）,やっほー
1:00,KIM NIKI,メンバー（1 か月）,:_こんかるた::_ミニやま:
1:00,サクラギカズマ,非メンバー,こんカルタ～
1:01,すしお,メンバー（6 か月）,こんかるたー
1:01,アマヤ,メンバー（6 か月）,:_こんかるた::_ミニやま:
1:03,はぎのDX,メンバー（2 か月）,:_こんかるた::_ミニやま:
1:03,色彩,メンバー（6 か月）,かわいい
1:04,すこやか太郎,非メンバー,こんかるたー
1:04,水流のロック,非メンバー,こんかるた～
1:04,takuya Andore,非メンバー,こんかるた〜
1:07,トミーーー,非メンバー,こんかるた〜
1:07,でいぶれーく,メンバー（6 か月）,:_こんかるた::_ミニやま:
1:08,kurenai,非メンバー,こんかるた～
