timestamp,author_name,membership,text
-12:48,ウグイス,メンバー（6 か月）,カル待機:_ミニやま:
-12:30,ぶどう弾,メンバー（6 か月）,カル待機:_ミニやま:
-12:08,中村大吾,メンバー（6 か月）,カル待機
-10:24,ちれん,メンバー（6 か月）,カル待機
-10:01,れくさー,非メンバー,カル待機
-8:33,えふえふ,メンバー（6 か月）,カル待機:_ミニやま:
-7:24,いぬ大福,メンバー（6 か月）,カル待機:_ミニやま:
-5:51,リンソリス,新規メンバー,カル待機:_ミニやま:
-5:24,beta,メンバー（6 か月）,カル待機:_ミニやま:
-5:24,そらなん。,メンバー（6 か月）,カル待機:_ミニやま:
-5:10,しろり,メンバー（6 か月）,カル待機:_ミニやま:
-5:06,U太郎,メンバー（6 か月）,カル待機:_ミニやま:
-4:51,ハル,メンバー（6 か月）,カル待機:_ミニやま:
-4:32,み,メンバー（6 か月）,カル待機:_ミニやま:
-4:07,方向音痴,メンバー（2 か月）,カル待機:_ミニやま:
-3:27,羽田ゲル,メンバー（6 か月）,カル待機:_ミニやま:
-3:20,上田.,メンバー（2 か月）,カル待機:_ミニやま:
-2:54,チョコ狸,非メンバー,カル待機
-2:34,なんこつ,新規メンバー,:_こんかるた::_ミニやま:
-2:17,はぎのDX,メンバー（4 か月）,カル待機:_こんかるた:
-1:43,しぐれ,新規メンバー,カル待機:_ミニやま:
-1:27,未明はず,非メンバー,カル待機
-1:20,わかめ炒飯,メンバー（6 か月）,カル待機:_ミニやま:
-1:15,黒電話BOX,メンバー（5 か月）,カル待機
-1:13,だん,メンバー（3 か月）,カル待機:_ミニやま:
-1:02,sino,メンバー（6 か月）,カル待機:_ミニやま:
-0:56,阿含22【あごん】,メンバー（6 か月）,カル待機:_ミニやま:
-0:48,ハル,メンバー（6 か月）,ついえら！
-0:48,色彩,メンバー（6 か月）,ついえら
-0:47,かたなゆうかじ,メンバー（6 か月）,ついえら
-0:45,ユイミア,メンバー（6 か月）,ついえら
-0:45,えふえふ,メンバー（6 か月）,ついえら
-0:44,ほーむ,メンバー（6 か月）,ついえら！
-0:44,beta,メンバー（6 か月）,ついえら
-0:43,ちれん,メンバー（6 か月）,えらい
-0:42,やすきち,メンバー（6 か月）,ついえら
-0:41,ささみ,メンバー（6 か月）,ついえら
-0:40,赤いイカ,メンバー（6 か月）,ついえら
-0:39,缶こーひー,メンバー（1 か月）,ついえら
-0:39,庵沢,メンバー（4 か月）,ついえら
-0:38,sino,メンバー（6 か月）,ついえら
-0:37,よず,メンバー（6 か月）,ついえら
-0:36,はぎのDX,メンバー（4 か月）,ついえら
-0:32,しろり,メンバー（6 か月）,ついえら
-0:30,まさき,非メンバー,初見です
-0:27,雨雷〈ユイレイ〉,メンバー（2 か月）,ついえら
-0:27,羽田ゲル,メンバー（6 か月）,ついえら
-0:22,マーティン,メンバー（3 か月）,ついえら
-0:16,以實瑪利{イシュマエル},非メンバー,ついえら
-0:10,はにわ,メンバー（2 か月）,カル待機:_ミニやま:
0:09,しろり,メンバー（6 か月）,きちゃ
0:11,ほーむ,メンバー（6 か月）,きちゃ
