timestamp,author_name,membership,text
-4:33,Velvet,メンバー（1 か月）,待ち月✋
-4:28,仙崎櫻,メンバー（1 か月）,待ち月✋🏻
-4:15,*時ノ宮 ありす,非メンバー,待ち月✋
-4:13,むの,非メンバー,待ち月✋
-4:07,ほなっとぅ,メンバー（2 か月）,待ち月✋
-4:04,海栗,メンバー（2 か月）,待ち月✋
-3:59,冬籠,メンバー（2 か月）,待ち月✋
-3:49,のの,新規メンバー,待ち月✋
-3:47,ままーん,メンバー（2 か月）,待ち月✋
-3:37,。ホトミ,非メンバー,待ち月✋
-3:35,hannah,メンバー（1 か月）,待ち月✋
-3:29,mo,新規メンバー,待ち月✋
-3:27,かき,非メンバー,まちづき✋
-3:26,シリウス,メンバー（1 か月）,待ち月✋
-3:24,れちゃん,メンバー（2 か月）,待ち月✋
-3:13,sen sen,メンバー（2 か月）,待ち月✋
-3:05,ㅤあずき,新規メンバー,:_mati::_zuki:
-2:48,サロク,非メンバー,待ち月✋
-2:45,ゆーり,非メンバー,待ち月✋
-2:38,筍権蔵,メンバー（2 か月）,待ち月✋
-2:34,オオトリ,メンバー（2 か月）,待ち月✋
-2:22,紗代-さよ-,メンバー（2 か月）,待ち月✋
-2:14,あんみつみつ,非メンバー,待ち月✋
-2:13,さんまおじさん,非メンバー,待ち月
-1:46,まめまる,メンバー（2 か月）,待ち月✋
-1:46,ほたちゃ,非メンバー,待ち月✋
-1:34,黄瑯_コウロウ,メンバー（2 か月）,待ち月✋
-1:34,もぐ,メンバー（2 か月）,待ち月✋
-1:27,あぅる,非メンバー,待ち月✋
-1:18,Kiku 808,非メンバー,待ち月✋
-1:18,田中ぱすた,非メンバー,待ち月✋
-1:12,ねるねるねるねさん,メンバー（2 か月）,待ち月✋
-1:04,亜弥/あや,メンバー（2 か月）,待ち月✋
-1:01,dei,新規メンバー,:_mati::_zuki:
-0:56,ぬぬね子,メンバー（2 か月）,待ち月✋
-0:50,みたらしだんご,非メンバー,待ち月✋
-0:47,すみか,メンバー（1 か月）,待ち月✋
-0:46,トリ,非メンバー,待ち月✋
-0:42,ヒデン,新規メンバー,待ち月✋
-0:40,霧中小町,非メンバー,待ち月✋
-0:34,かりんちゃン!,メンバー（1 か月）,待ち月✋
-0:26,凪山ゅあ。,メンバー（2 か月）,待ち月✋
-0:09,スロースターター,非メンバー,待ち月✋
-0:08,りんあい,非メンバー,待ち月✋
-0:06,3十[さと],メンバー（2 か月）,待ち月✋
-0:05,莉月-りつ-,メンバー（2 か月）,待ち月✋
0:03,*なつ*,新規メンバー,待ち月✋
0:07,みあちゃん.,メンバー（1 か月）,きちゃ
0:10,さやいんげん,メンバー（2 か月）,待ち月✋
0:10,紫月-Shizuki,非メンバー,待ち月✋
0:12,9匹のお猫さま:乖李,メンバー（2 か月）,きちゃ！
0:13,高瀬きゆ,メンバー（2 か月）,きちゃ
0:16,lynnlynn,メンバー（2 か月）,きちゃ
0:18,縁下椿,メンバー（2 か月）,きちゃ
0:18,。ホトミ,非メンバー,きちゃ！
0:18,Kirumi,非メンバー,きちゃ！
0:18,やよい,非メンバー,きちゃ
0:21,かりんちゃン!,メンバー（1 か月）,きちゃ
0:21,ほたちゃ,非メンバー,きちゃ！
0:21,じゅじゅ,非メンバー,きちゃ～
0:23,海野あすぱら,メンバー（2 か月）,きちゃ
0:23,トリ,非メンバー,きちゃ！
0:24,莉月-りつ-,メンバー（2 か月）,きちゃ
0:25,筍権蔵,メンバー（2 か月）,きちゃ
0:31,みゅ,非メンバー,きちゃ！
0:31,との,非メンバー,きちゃ
0:32,ばびこ,メンバー（2 か月）,きちゃ
0:33,Isabella,メンバー（2 か月）,きちゃ！
0:34,ヒデン,新規メンバー,きちゃ！
0:34,たかまるたけし,非メンバー,きちゃ
0:34,紗代-さよ-,メンバー（2 か月）,きちゃ！
0:37,alice,非メンバー,きちゃ
0:37,ゆーの,メンバー（1 か月）,きちゃ
0:37,*時ノ宮 ありす,非メンバー,きちゃ
0:38,楽毒,メンバー（2 か月）,きちゃ～
0:40,さやいんげん,メンバー（2 か月）,きちゃ
0:40,廃音蘭,非メンバー,きちゃ
0:43,ぬぬね子,メンバー（2 か月）,きちゃ
0:50,りんあい,非メンバー,きちゃゃ
0:52,なぴおか,メンバー（2 か月）,きちゃ
1:04,莉麗,非メンバー,きちゃ！
1:09,*螢-ほたる-*,メンバー（2 か月）,きちゃ！
1:17,黒澤フカミ,メンバー（2 か月）,きちゃ！
1:17,猫兎_Byoto,非メンバー,きちゃ！
1:19,24 34,非メンバー,きちゃ
1:21,菱田,非メンバー,きちゃ！
1:25,しょ〜†,新規メンバー,きちゃ
1:31,冬由*ふゆ*,非メンバー,きちゃ！
1:43,かきや,非メンバー,きちゃ！
1:58,Ririranーリリラン,新規メンバー,きちゃ～
1:58,青葉リンコ,非メンバー,きちゃ！
1:58,かき,非メンバー,きちゃ！！
2:01,あ・,非メンバー,きちゃー！
2:03,はなだ,非メンバー,きちゃ！
2:14,_こゆび,非メンバー,きちゃ
2:19,Akhdani Adli,非メンバー,きちゃ！
2:30,Yu Hana,非メンバー,きちゃ！
2:43,芽尾_Meo_,非メンバー,きちゃ！
2:49,さんまおじさん,非メンバー,きちゃー！
2:50,9匹のお猫さま:乖李,メンバー（2 か月）,ごきげんづき〜✋
2:50,シリウス,メンバー（1 か月）,ごきげんづき〜✋
2:51,naan,非メンバー,hiiii
2:52,むの,非メンバー,ごきげんづき〜✋
2:52,やよい,非メンバー,ごきげんづき〜✋
2:55,鈴木くん,非メンバー,ごきげんづき〜✋
2:56,相生葵 -aioi aoi-,メンバー（2 か月）,ごきげんづき～✋
2:56,高瀬きゆ,メンバー（2 か月）,ごきげんづき～✋
3:00,トリ,非メンバー,ごきげんづき～✋
3:00,sen sen,メンバー（2 か月）,ごきげんづき～✋
3:00,ゆ ま,非メンバー,ごきげんづき～✋
3:03,*なつ*,新規メンバー,ごきげんづき〜✋
3:03,じゅじゅ,非メンバー,ごきげんつき！
3:04,ㅤあずき,新規メンバー,ごきげんづき〜！始まったのに出かけなきゃ行けないからアーカイブ追いかけるね😢😢
3:09,salt coffee,メンバー（1 か月）,:_gokigen::_zuki:
3:09,つぼみ,非メンバー,ごきげんづき〜
3:11,_こゆび,非メンバー,ごきげんづき〜🖐
3:11,あっと,非メンバー,ごきげんづき〜✋
3:11,cl.リガ,非メンバー,ごきげんづき〜✋
3:13,なっつ,非メンバー,ごきげんづき〜✋
3:13,しょ〜†,新規メンバー,ごきげんづき〜✋
3:15,イラか,非メンバー,ごきげんづき〜✋
3:15,Isabella,メンバー（2 か月）,ごきげんづき〜✋
3:19,みーあ,非メンバー,ごきげんづき〜✋
3:19,あ・,非メンバー,ごきげんづき〜✋
3:21,みかんたると,メンバー（2 か月）,ごきげんづき〜✋
3:25,ぽめ,非メンバー,ごきげんづき～✋
3:25,青葉リンコ,非メンバー,ごきげんづき～✋
3:28,しゅいろ,非メンバー,ごきげんづき～
3:28,ああめる,非メンバー,まにあっ
3:32,りんあい,非メンバー,ごげんき
3:35,あるへぇ,非メンバー,ごきげんづき〜
3:37,Mirei .F,メンバー（2 か月）,ごきげんづき〜✋
3:39,冬由*ふゆ*,非メンバー,ごきげんづき～
3:43,楽毒,メンバー（2 か月）,振り返りでもするんかと思った
3:49,amaura. k,非メンバー,ごきげんづき〜〜〜
3:51,jaitisak,非メンバー,年末に仕事に攻められる！？
3:51,リナぽ*たまねぎ,非メンバー,ごきげんづき〜✋
3:52,蜜柑蜜,非メンバー,ごきげんづき〜✋
3:52,まやちゃん,メンバー（2 か月）,今日で仕事納め！
3:52,*螢-ほたる-*,メンバー（2 か月）,今日バイトだけど納めてきたよ〜!
3:53,CHW,非メンバー,ごきげんづき〜✋
3:57,さんまおじさん,非メンバー,食品工場動いてますねぇ....！
4:02,まめまる,メンバー（2 か月）,納めてきた！
4:08,?,非メンバー,ごきげんづき〜✋
4:08,ままーん,メンバー（2 か月）,お疲れ様でした～
4:09,あんまき,メンバー（1 か月）,ごきげんづき〜✋
4:09,あおぞら,非メンバー,お疲れ様でした〜
4:11,こまざわちゃん,新規メンバー,ごきげんづき～✋
4:17,莉月-りつ-,メンバー（2 か月）,明日仕事納め
4:18,猫兎_Byoto,非メンバー,学校は終わりだねぇ
4:23,との,非メンバー,お疲れ様でした〜
4:23,mo,新規メンバー,ごきげんづき～✋
4:28,かりんちゃン!,メンバー（1 か月）,おつかれさまだね
4:30,やよい,非メンバー,お仕事疲れるねぇ
4:34,じゅじゅ,非メンバー,同士だ…お疲れ様です～
4:34,Kiku 808,非メンバー,ごきげんづき
4:35,みるくまんじゅう,非メンバー,ごきげんづき〜✋
4:36,rico rico,メンバー（2 か月）,ごきげんづき～✋
4:39,さんまおじさん,非メンバー,お疲れ様です！
4:39,まやちゃん,メンバー（2 か月）,お疲れ様
4:39,リナぽ*たまねぎ,非メンバー,お疲れ様でした〜
4:41,ろく,メンバー（1 か月）,お疲れ様です
4:44,sen sen,メンバー（2 か月）,お疲れ様
4:46,奏翔-kanato-,メンバー（2 か月）,お疲れ様〜
4:48,ゆる,非メンバー,お疲れ様でした〜
4:49,あっと,非メンバー,お疲れ様です
4:51,莉麗,非メンバー,お疲れ様でした～
4:51,紫月-Shizuki,非メンバー,おつかれさまでした〜
4:51,高瀬きゆ,メンバー（2 か月）,納めてないのか～お疲れさまです
4:51,黒澤フカミ,メンバー（2 か月）,弦月もお疲れ様です
4:54,w,非メンバー,ごきげんづき!✋
4:57,9匹のお猫さま:乖李,メンバー（2 か月）,お仕事がんばー
4:57,憂遊*uyu,非メンバー,ごきげんづき〜✋
5:05,やよい,非メンバー,終わってんのね
5:06,りんあい,非メンバー,おつかれー
5:07,Kiku 808,非メンバー,ごきげんづき〜✋
5:07,高瀬きゆ,メンバー（2 か月）,なるほどね
5:09,海野あすぱら,メンバー（2 か月）,お疲れ様ー！
5:09,猫兎_Byoto,非メンバー,お疲れ様〜
5:09,じゅじゅ,非メンバー,偉い…
5:17,カオ,メンバー（1 か月）,:_gokigen::_zuki:~🤚
5:18,ねむいzZ,非メンバー,ごきげんづき！良いお年を～！
5:19,然·,メンバー（2 か月）,お疲れ様〜
5:20,ぺぺあ〜,新規メンバー,先延ばしちゃうタイプだな…えらい
5:22,ゆる,非メンバー,偉すぎて…
5:25,カオ,メンバー（1 か月）,お疲れ様！！
5:25,。いおり,新規メンバー,ごきげんづき〜✋
5:28,ユリ,メンバー（2 か月）,お疲れ様~
5:29,やよい,非メンバー,大掃除した？
5:29,みさみさ,非メンバー,雑談たすかる
5:30,との,非メンバー,前倒しできるのえらい
5:34,じゅじゅ,非メンバー,ぐだってこうぜ～
5:43,阿部慎之助,非メンバー,魔もよう出とる
5:46,寝不足kinoco,非メンバー,ごきげんづき〜✋
5:51,YUUKA 715,非メンバー,ごきげんづき
5:55,バブミdeオギャリタイ,非メンバー,ごきけんづき
5:56,との,非メンバー,大掃除もう終わった？
5:59,推しが可愛すぎる,非メンバー,ごきげんづき～✋
5:59,涼音,非メンバー,ご〜き✋
5:59,ムスカ,非メンバー,ごきげんづき～✋
6:03,さく,メンバー（1 か月）,:_gokigen::_zuki:
6:03,そら,非メンバー,新衣装気に入ってるんですね
6:03,シリウス,メンバー（1 か月）,年末感ないんだよなぁ
6:06,ぼあ,非メンバー,ごきげんづき！
6:13,お寿司,非メンバー,ごきげんづき〜！リアタイで見れそうにないので、アーカイブで拝見させていただきます！
6:13,高村月,非メンバー,ごきげんづき〜！
