timestamp,author_name,membership,text
-3:19,蒼島。,メンバー（2 か月）,待ち月✋
-3:17,夕霧,非メンバー,待ち月
-3:15,とうか,メンバー（2 か月）,待ち月✋
-3:13,。まめ,非メンバー,待ち月✋
-3:12,冬籠,メンバー（2 か月）,待ち月✋
-3:04,いすゞ,非メンバー,待ち月✋
-3:00,みのむっち,メンバー（2 か月）,待ち月✋全力で楽しんで〜！！
-2:58,八木やぎ,非メンバー,待ち月✋
-2:55,るね。,非メンバー,待ち月✋
-2:54,りん,非メンバー,待ち月✋
-2:48,咲綺 saaya,メンバー（2 か月）,待ち月✋
-2:47,紫暁[しきょう],メンバー（2 か月）,待ち月✋
-2:33,秋本瞳,非メンバー,待ち月✋
-2:32,99 mei,メンバー（2 か月）,待ち月✋
-2:28,。ホトミ,非メンバー,待ち月✋全力で楽しんでくれ〜！！
-2:26,いちじく檸檬[れもん],メンバー（2 か月）,待ち月✋
-2:21,雪玥,メンバー（1 か月）,待ち月✋
-2:15,かがみせり,非メンバー,待ち月✋
-2:11,アイスすず,非メンバー,待ち月✋
-2:05,ひそひそ,メンバー（2 か月）,待ち月🖐
-2:03,なぴおか,メンバー（2 か月）,待ち月✋
-1:58,みなと,非メンバー,待ち月✋
-1:56,ぱぴ子,新規メンバー,待ち月✋
-1:56,ぺんぎゅん,新規メンバー,待ち月✋
-1:56,ねるねるねるねさん,メンバー（2 か月）,待ち月✋
-1:54,前髪のすぴか。,新規メンバー,待ち月✋
-1:50,みーちゃん。,メンバー（2 か月）,待ち月✋
-1:40,こたろ,非メンバー,待ち月✋
-1:35,ふぇの,メンバー（1 か月）,待ち月✋
-1:34,ほなっとぅ,メンバー（2 か月）,待ち月✋
-1:33,うぷぁ。,非メンバー,待ち月✋
-1:26,_Kai _,非メンバー,待ち月✋
-1:23,依.,新規メンバー,待ち月✋
-1:17,Jasmine茉莉,非メンバー,待ち月✋
-1:16,黒澤フカミ,メンバー（2 か月）,待つ月✋
-1:05,おあげ,非メンバー,待ち月✋
-1:04,ぬぬね子,メンバー（2 か月）,待ち月✋
-1:02,神代縁,非メンバー,待ち月✋
-1:00,yenne,非メンバー,待ち月
-1:00,たにし,メンバー（2 か月）,待ち月✋
-0:59,みゃーこ,非メンバー,待ち月✋
-0:31,あぁ,非メンバー,待ち月✋
-0:29,ももせあずき,新規メンバー,:_mati::_zuki:
-0:27,爪子Claw,メンバー（2 か月）,待ち月✋
-0:24,あこ,非メンバー,待ち月✋
-0:20,縁下椿,メンバー（2 か月）,待ち月✋
-0:17,・とーか,非メンバー,待ち月✋
-0:15,ぽめ,非メンバー,待ち月✋がんばれ～！
0:05,ゑ奈,メンバー（2 か月）,待ち月✋
0:08,Lalalus,新規メンバー,:_mati::_zuki:がんばれー
0:20,ももせあずき,新規メンバー,きちゃ
0:20,依.,新規メンバー,きちゃ
0:20,蒼眼の狐,メンバー（2 か月）,きちゃ
0:21,。ホトミ,非メンバー,きちや
0:21,ティラノ,メンバー（2 か月）,きちゃ
0:23,カオ,メンバー（1 か月）,:_gokigen::_zuki:🤚
0:26,サラダバー,非メンバー,ごきげんづき
0:26,Boro,非メンバー,きちゃ
0:26,ムスカ,非メンバー,ごきげんづき～✋
0:26,home,メンバー（2 か月）,ごきげんづき～✋
0:27,秋桜,メンバー（2 か月）,ごきげんづき〜✋
0:27,アイスすず,非メンバー,ごきげんづき～✋
0:28,まめまる,メンバー（2 か月）,きちゃ
0:28,ぱん子。,メンバー（2 か月）,ごきげんづき〜✋
0:31,greywaters,メンバー（2 か月）,きちゃ
