timestamp,author_name,membership,text
-2:11,はちや,メンバー（3 か月）,待ち月✋
-2:06,諭吉しか勝たん,非メンバー,待ち月✋
-2:02,ヒデン,新規メンバー,ソワソワする
-1:57,Mirei .F,メンバー（4 か月）,謎の緊張感
-1:53,月城あめり,非メンバー,待ち月✋
-1:52,伊零,新規メンバー,:_mati::_zuki:
-1:49,はいほし,新規メンバー,待ち月✋
-1:47,remi,非メンバー,✋
-1:44,Natural Potato,非メンバー,✋
-1:41,玉ねぎねぎ,非メンバー,待ち月✋
-1:39,あかね,メンバー（1 か月）,待ち月✋
-1:38,みらい,非メンバー,発表何かな？
-1:33,あおぞら,非メンバー,待ち月✋
-1:31,點讀機「てんどき,メンバー（3 か月）,待ち月✋
-1:28,ゆずちょこ豆腐,非メンバー,待ち月✋
-1:28,おやつの3時,非メンバー,待ち月✋
-1:27,エムニキ,非メンバー,待ち月✋
-1:26,朝霞詠夢,新規メンバー,待ち月
-1:25,月森ソラ,非メンバー,待ち月✋
-1:24,いぶさきさん,非メンバー,✋
-1:23,みるも,新規メンバー,待ち月🤚
-1:18,さやいんげん,メンバー（4 か月）,待ち月✋
-1:17,Natural Potato,非メンバー,✋
-1:14,カンキノ果那,非メンバー,い
-1:09,Aki,非メンバー,待ち月✋
-1:08,ふぇの,新規メンバー,待ち月🤚
-1:06,もののふのもふ,非メンバー,待ち🌙
-1:06,きなこ。,非メンバー,待ち月✋
-1:06,お茶区,非メンバー,待ち月✋
-0:56,tuki 3,非メンバー,待ち月✋
-0:56,Goddess of the new world,非メンバー,✋
-0:54,ちさ,メンバー（4 か月）,待ち🌙*ﾟ
-0:51,あんみつみつ,非メンバー,待ち月✋
-0:47,ぺんぎゅん,新規メンバー,待ち月✋
-0:46,風音,非メンバー,待ち月✋
-0:44,にゃんず,メンバー（4 か月）,待ち月✋
-0:42,*時ノ宮 ありす,非メンバー,待ち月✋
-0:42,Kuma,メンバー（4 か月）,​待ち月✋
-0:37,名無し,メンバー（4 か月）,✋
-0:35,ねこから生まれたらび太郎,メンバー（4 か月）,待ち月
-0:32,おれんじ,非メンバー,待ち月✋
-0:31,Klon,メンバー（4 か月）,待ち:_zuki:
-0:30,黄瑯_コウロウ,メンバー（3 か月）,待ち月✋
-0:29,ぬこたンご。,非メンバー,待ち月✋
-0:24,salt coffee,新規メンバー,ドキドキ
-0:23,つぼみ,非メンバー,待ち月
-0:20,緑茶,メンバー（4 か月）,待ち月✋
-0:15,傘を探しているひみづ,メンバー（1 か月）,待ち月
-0:07,シエル,非メンバー,待ち月
-0:05,アイスすず,非メンバー,待ち月✋
0:06,T.T,非メンバー,浮世の演武20万再生いったな！
0:13,ヒデン,新規メンバー,甲斐田もよお見とる
0:13,爪子Claw,メンバー（4 か月）,待ち月✋
0:14,るぁ。,非メンバー,待ち月✋
0:15,爬虫類,非メンバー,甲斐田もよう見とる
0:15,猫山ゆうつき,非メンバー,せやねー
0:16,きあ,メンバー（4 か月）,甲斐田もよう見とる
0:16,紫暁[しきょう],メンバー（4 か月）,甲斐田もようみとる
0:16,いすゞ,非メンバー,甲斐田だ！
0:16,那由汰_,非メンバー,はるくんこんばんは
0:17,あびゃあびゃあ,非メンバー,ようみとる
0:17,まぁ。,非メンバー,甲斐田もようみとる
0:17,ごんごん,非メンバー,ドキドキしちゃう
0:19,月城あめり,非メンバー,甲斐田もよう見とる
0:19,れちゃん,メンバー（4 か月）,きちゃ
0:19,陽空-よぞら-,新規メンバー,あっ甲斐田くんだ
0:19,繭,メンバー（4 か月）,きちゃ！
0:20,もっち.,非メンバー,甲斐田おるう
0:20,まやちゃん,メンバー（4 か月）,きちゃ
0:20,ささめゆき,非メンバー,甲斐田もよう見とる
