timestamp,author_name,membership,text
-1:16,雪華,非メンバー,待機
-1:15,マンタch,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-1:15,りりかる,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-1:13,だーつー,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ::_ギバラおはな:
-1:12,makii xx,非メンバー,待機
-1:08,Maki,メンバー（1 年）,待機
-1:08,ナコト,メンバー（1 年）,:_ギバラギギギ::_ギバラバババ::_ギバララララ::_ギバラかわいい::_ギバラぞぞぞ:
-1:05,ナマモノ,メンバー（6 か月）,:_ギバラわれ我::_ギバラギギギ::_ギバラバババ::_ギバララララ::_ギバラぞぞぞ::_ギバラえられな1:
-1:05,ふるぐぐ,メンバー（1 年）,:_ギバラわれ我::_ギバラバババ::_ギバララララ::_ギバラギギギ::_ギバラあああ::_ギバララララ::_ギバラぞぞぞ:
-1:03,36 14,非メンバー,:buffering::buffering::buffering:
-1:02,RICCIA[リシア],メンバー（1 年）,:_ギバラわれ我::_ギバラぞぞぞ:
-1:00,いち:,非メンバー,待機
-1:00,ゆのみ,新規メンバー,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:56,tukapen,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ::_ギバラシャンプー:
-0:54,36 14,非メンバー,:virtualhug::virtualhug::virtualhug:
-0:50,MO RYU,非メンバー,待機
-0:50,夕凪,メンバー（1 年）,:_ギバラシャンプー:
-0:48,クレープボーロ,非メンバー,待機ぞ
-0:47,まるたそ,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:46,えいちえす,メンバー（1 年）,わくわく
-0:42,tukapen,メンバー（6 か月）,:_ギバラわれ我::_ギバラかわいい::_ギバラぞぞぞ:
-0:39,森森もっさん,メンバー（1 年）,:_ギバラわれ我::_ギバラあああ::_ギバラばばば::_ギバラばばば::_ギバラぞぞぞ:
-0:38,うーちゃん,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:37,えっすん,メンバー（1 年）,今日も頑張れ~
-0:37,さくら,非メンバー,待機
-0:33,大きな鹿,新規メンバー,:_ギバラギギギ::_ギバラバババ::_ギバラギギギ::_ギバラバババ:してきた
-0:31,猫屋敷える,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:26,Wirbelwind,メンバー（6 か月）,ごきげんよう:_ギバラぞぞぞ:
-0:26,織部晶,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:24,うーちゃん,メンバー（2 か月）,:_ギバラギギギ::_ギバラバババ::_ギバラギギギ::_ギバラバババ:してきた
-0:24,A A,非メンバー,最近江良ちゃん配信多くて幸せだな
-0:18,リア,新規メンバー,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:17,ぐみ,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:17,ヨシエル,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:16,ナマモノ,メンバー（6 か月）,:_ギバラわれ我::_ギバラバババ::_ギバラバババ::_ギバラあああ::_ギバラぞぞぞ:
-0:15,サマーなめこ,非メンバー,そろそろかな
-0:14,ぶいらびC,メンバー（1 年）,:_ギバラはーと:
-0:13,雄斧くみん,新規メンバー,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:13,はるたす,メンバー（1 年）,親Bの幻聴がする…
-0:11,森森もっさん,メンバー（1 年）,:_ギバラギギギ::_ギバラバババ::_ギバラギギギ::_ギバラバババ::_ギバラギギギ::_ギバラバババ::_ギバラしゅげぇ顔:
-0:09,Ketaけた,メンバー（1 年）,わくわく
-0:08,Jeongeum Lee,非メンバー,ギバギバしてきた
-0:07,36 14,非メンバー,:buffering::buffering::buffering:
-0:07,RI YU,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:06,myuno,非メンバー,久々のエラちゃんライブ参戦
-0:06,ジャポニカ学習帳レベルMAX,非メンバー,もーそろぉ！
-0:03,しおみず,メンバー（1 年）,:_ギバラバババ::_ギバラギギギ:クロス
-0:02,ろーたす,非メンバー,待機～
-0:02,蛇屋,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
0:11,ひき茶,メンバー（1 年）,:_ギバラこんえら:
0:13,イブキ,メンバー（1 年）,こんえら～
0:13,りさしく,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
0:13,えっすん,メンバー（1 年）,こんえら〜
0:14,ゆうご,メンバー（6 か月）,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
0:14,タピオカ協会理事長,非メンバー,きちゃ
0:14,すぱーきんぐ,メンバー（6 か月）,きちゃ！！
0:17,ぐぴぐぴもぷもぷ,メンバー（6 か月）,ちゃお～
0:17,つきこもり,メンバー（6 か月）,なんて？
0:18,冥府まりも,メンバー（1 年）,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
0:18,永遠の独り身,非メンバー,ホラーが苦手と言うとのはステータスである
0:19,あくあ,メンバー（1 年）,こんえらー
0:20,一人ちくわ祭り,メンバー（6 か月）,今日は何回しぬ？
0:20,tukapen,メンバー（6 か月）,なんて？？
0:22,すぱーきんぐ,メンバー（6 か月）,こんえら～
0:22,re holic,メンバー（1 年）,こんえら～
0:22,shigure luna,メンバー（1 年）,こんえら～
0:23,カーメン,メンバー（6 か月）,こんえら～
0:23,もみ爺,メンバー（1 年）,きちゃ
0:24,プクーちゃん,メンバー（1 年）,こんえら～
0:24,ごりら,メンバー（1 年）,やるぞおおおおおお
0:25,DDN,メンバー（6 か月）,来たわね
0:25,ヨシエル,メンバー（2 か月）,こんえら〜
0:25,麻,メンバー（1 年）,どうだろうね
0:27,クロハ,メンバー（1 年）,こんえら～
0:27,才石,メンバー（1 年）,:_ギバラこんえら:
0:27,マヌケ,メンバー（6 か月）,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
0:27,こしあん,メンバー（1 年）,１時間半ぐらいじゃね
0:27,くらはん,メンバー（2 か月）,こんえらー
0:28,Ketaけた,メンバー（1 年）,こんえら～～
0:28,まぐね,メンバー（1 年）,こんえら〜
0:28,lily doll,メンバー（2 か月）,こんえらー
0:28,えいちえす,メンバー（1 年）,一時間くらいかな？
0:29,ぶるーまうんてん,メンバー（6 か月）,こんえら～
0:29,トワ,メンバー（6 か月）,こんえらー
0:29,伊丙ラヂヲ,メンバー（1 年）,:_ギバラこんえら::_ギバラこんえら:
0:33,はらまき,メンバー（1 年）,こんばんわ〜！
0:33,緋鉈-ひなた-,メンバー（1 年）,昨日と同じくらいかな？
0:33,広畝圭,メンバー（2 か月）,エクストラ初見だからわからんわね
0:34,ひとりちゃん,新規メンバー,こんえら〜～〜🧡🧡🧡🧡
0:37,なかしぃ,メンバー（1 年）,こんえら～
0:37,はるたす,メンバー（1 年）,それはそうだけども
0:37,Minto 5,メンバー（2 か月）,こんえら〜
0:38,夏雪海天-Natsuyuki Misora-,非メンバー,こんえらー
0:39,地理,メンバー（1 年）,こんえら～
0:39,綺羅国夜郎,メンバー（6 か月）,今日中に終わるやろ、しらんけど
0:39,のみるさ,非メンバー,こんえら～
0:40,サバナナ,非メンバー,もう半分くらいじゃない
0:40,まぐね,メンバー（1 年）,江良ちゃんのひらめき次第だよ
0:40,は〜る,メンバー（1 年）,江良ちゃんの冴え次第！
0:43,そこらの民衆,メンバー（1 年）,1時間ちょっとぐらい？
0:43,りさ,非メンバー,こんえらー
0:44,ぐぴぐぴもぷもぷ,メンバー（6 か月）,江良ちゃんのひらめき次第
0:44,Sudo,非メンバー,こんえら～
0:44,ごりら,メンバー（1 年）,1時間で楽勝そう
0:46,春雨,メンバー（1 年）,がんばって
0:46,/おうる,メンバー（1 年）,それはそうね
0:49,じーれん,メンバー（2 か月）,こんえら〜
0:49,森森もっさん,メンバー（1 年）,予想3時間
0:49,tukapen,メンバー（6 か月）,江良ちゃん頭いいから大丈夫でしょ
0:49,ロックロック,非メンバー,メンバーしかいなくて草
0:49,star funny,非メンバー,こんえら〜
0:49,なぁーな,非メンバー,こんえら～
0:50,おそら,非メンバー,その時はその時
0:50,Maki,メンバー（1 年）,江良ちゃんなら結構早いんじゃない？
0:50,あああいいい,メンバー（1 年）,30分でいける！・・・・・・・・・知らんけど
0:51,鵜の森,メンバー（6 か月）,こんえら！
0:51,まつ,メンバー（1 年）,江良ちゃんなら行けるべ
0:53,ゼン,メンバー（1 年）,難易度はこっから上がるからね
0:55,一一,非メンバー,最近配信しすぎじゃない？
0:55,らずり,メンバー（1 年）,いうて本編からして3時間はかからなさそう
0:55,モノクロくらげ,非メンバー,こんえら！
0:55,小さいコップ,新規メンバー,こんえら〜
0:55,ねんざエース,メンバー（1 年）,前回みたいに謎解きで詰まると長くなりそう
0:55,うさぎ,非メンバー,こんえらー
