timestamp,author_name,membership,text
-4:26,たいやき,非メンバー,待機
-4:16,karaage lemon,非メンバー,ギバラ生きてた
-4:09,東雲運命,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-4:04,tukapen,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-4:03,じこ,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-3:53,outhouse inferno,非メンバー,uuueeeeeeeegh
-3:46,ゆおた,非メンバー,一ヶ月後にはナイスバデー！！
-3:46,Maki,メンバー（1 年）,待機
-3:38,りーむ,非メンバー,待機
-3:35,牛タン,非メンバー,足ツボリングフィットかな？
-3:28,ShiMeiWo,非メンバー,この数カ月のブランクに一体何が…胆石の手術？！
-3:05,キラりゅー,新規メンバー,:_ギバラばばば::_ギバラばばば:
-2:39,Rain Circle,非メンバー,御伽原氏、正月太りのジンクスを打ち破れるか
-2:38,ことりん,非メンバー,wkwk
-2:33,Maki,メンバー（1 年）,:_ギバラあああ::_ギバラばばば::_ギバラばばば::_ギバラばばば::_ギバラばばば::_ギバラわれ我::_ギバラバババ::_ギバララララ::_ギバラバババ::_ギバララララ::_ギバラぞぞぞ:
-2:20,散々,メンバー（1 年）,:_ギバラあああ::_ギバラバババ::_ギバララララ::_ギバラバババ::_ギバララララ::_ギバラバババ::_ギバララララ::_ギバラぞぞぞ:
-2:15,ごちうま,メンバー（1 年）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-2:14,えっすん,メンバー（1 年）,待機:_ギバラぞぞぞ:
-2:04,えいちえす,メンバー（1 年）,:_ギバラるんっ::_ギバラるんっ::_ギバラぞぞぞ::_ギバラわれ我::_ギバラるんっ::_ギバラるんっ::_ギバラぞぞぞ:
-1:59,じゃんがら,非メンバー,みんな可愛いい
-1:51,こげら,メンバー（1 年）,:_ギバラるんっ::_ギバラるんっ:
-1:48,ばっしー,メンバー（2 か月）,:_ギバラわれ我::_ギバラばばば::_ギバラばばば::_ギバラあああ::_ギバラぞぞぞ:
-1:45,nica e,非メンバー,めずらしギバラが配信してる
-1:32,traube,メンバー（2 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-1:24,神崎,非メンバー,半裸待機
-1:22,樹形図,非メンバー,ここ数日通常配信多いんですね。ありがとう！
-1:10,山吹芽依,メンバー（1 年）,:_ギバラわれ我::_ギバラぞぞぞ:
-1:00,はこいち,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-1:00,ShiMeiWo,非メンバー,ギバっちはリングに棄てられてから病んでたからな
-0:55,1943 Leforle:,非メンバー,待機
-0:54,ハル,非メンバー,エラい！！
-0:54,DDN,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:51,はらまき,メンバー（1 年）,たのしみ！
-0:45,湊慎一,非メンバー,年末ヒマなのかな？
-0:45,すぱーきんぐ,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:44,なんじゃこんじゃ山田,非メンバー,江良い！
-0:40,コトコットン,非メンバー,最近メン限以外でも配信してくれて本当に嬉しい
-0:35,らずり,メンバー（1 年）,:_ギバラはーと::_ギバラはーと::_ギバラはーと:
-0:29,ゆのみ,新規メンバー,:_ギバラわれ我:待機:_ギバラぞぞぞ:
-0:28,ゅぅゃょゎぃ,メンバー（1 年）,:_ギバラるんっ::_ギバラばばば::_ギバラバババ::_ギバララララ::_ギバラバババ::_ギバララララ:
-0:27,めぐ,メンバー（1 年）,:_ギバラるんっ::_ギバラるんっ:
-0:24,じジじジおすbot,メンバー（6 か月）,待機
-0:22,コンティロマネ/イルミナたんふぁんくら部部長,メンバー（2 か月）,:_ギバラやった::_ギバラやった::_ギバラやった::_ギバラやった:
-0:18,そこらの民衆,メンバー（1 年）,RFA助かる
-0:15,Lumen Caelestis,メンバー（1 年）,:_ギバラはーと::_ギバラはーと::_ギバラはーと:
-0:12,散々,メンバー（1 年）,:_ギバラるんっ::_ギバラばばば::_ギバラかわいい::_ギバラぞぞぞ:
-0:10,ナコト,メンバー（1 年）,御伽原のメン限はいいぞ
-0:09,キラりゅー,新規メンバー,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
-0:05,ナガ,メンバー（1 年）,:_ギバラやった:
0:07,紳士.,メンバー（1 年）,これを聴きながら昼寝します
0:08,わかにゃ,非メンバー,待機ぞ！！
0:08,tukapen,メンバー（6 か月）,:_ギバラるんっ::_ギバラバババ::_ギバラるんっ::_ギバラばばば:
0:14,ふぉず,非メンバー,こんえらー
0:14,tukapen,メンバー（6 か月）,きちゃ
0:14,小さいコップ,新規メンバー,こんえら〜
0:15,あるみく,メンバー（1 年）,こんえら～
0:15,PMXユキムラ,メンバー（6 か月）,:_ギバラわれ我:待機:_ギバラぞぞぞ:
0:15,めぐ,メンバー（1 年）,親Ｂどこ…
0:17,えいちえす,メンバー（1 年）,きちゃ！！こんえらー！！！
0:17,あふらとかび,メンバー（6 か月）,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
0:17,damepati,メンバー（6 か月）,こんえら～
0:18,寒冷地仕様雪だるま,非メンバー,ちーっす
0:20,コトコットン,非メンバー,こんえら～
0:20,大きな鹿,非メンバー,きちゃ
0:20,ごりら,メンバー（1 年）,きちゃ～
0:20,kento 。,非メンバー,きちゃぁぁあ
0:20,ぐぴぐぴもぷもぷ,メンバー（6 か月）,ちゃお～
0:20,Lumen Caelestis,メンバー（1 年）,こんばんは〜
0:20,ばっしー,メンバー（2 か月）,きちゃ！
0:20,めぐ,メンバー（1 年）,:_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら::_ギバラこんえら:
0:21,蛇屋,メンバー（1 年）,こんえらー
0:21,ナコト,メンバー（1 年）,こんえら～
0:22,お子様ランチャー,非メンバー,こんえらー
0:24,新月,メンバー（1 年）,こんえら〜
0:24,もー。,メンバー（2 か月）,:_ギバラこんえら:
0:25,me_c 。,非メンバー,こんえらー
0:32,kento 。,非メンバー,続けてて江良い
0:32,Maki,メンバー（1 年）,きちゃ！
0:32,しゅいい,メンバー（6 か月）,なんて健康的なんだ・・・
0:33,ナガ,メンバー（1 年）,:_ギバラこんえら:
0:33,1943 Leforle:,非メンバー,こんえら～
0:35,コトコットン,非メンバー,可愛い
0:35,織部晶,メンバー（1 年）,こんえら
0:36,だーくまたー,非メンバー,こんえら〜
0:36,じゅげむじゅげむ,メンバー（1 年）,:_ギバラこんえら:
0:36,ツバサのウイング,非メンバー,こんえら
0:37,tsukusi,メンバー（1 年）,:_ギバラこんえら::_ギバラこんえら:
0:39,くろぶた,メンバー（6 か月）,こんえらー
0:39,じジじジおすbot,メンバー（6 か月）,こんえら～
0:43,CELES -T,非メンバー,こんえら〜
0:45,情報お届け屋,メンバー（1 年）,リングの時間じゃい！
0:45,とよながよしき,メンバー（6 か月）,こんえらー
