timestamp,author_name,membership,text
-1:51:27,しろべあーアイス,メンバー（1 年）,:_あいぞのカ::_あいぞのツ::_あいぞのん:□:_あいぞのゃ::_あいぞのあい::_あいぞのぞの:
-51:01,ほっぺた,メンバー（1 年）,:_あいぞのお::_あいぞのお::_あいぞのん::_ハート1::_あいぞのお::_あいぞのん::_ハート1::_あいぞのお::_あいぞのお::_あいぞのお::_あいぞのん::_ハート1:
-41:28,にほ,メンバー（1 年）,:_あいぞのあい::_あいぞのカ::_あいぞのツ::_ハート1:
-36:44,ほっぺた,メンバー（1 年）,PCも準備万端
-33:26,MtBookie,メンバー（6 か月）,:_あいぞのカ::_あいぞのツ::_あいぞのっ:
-32:52,秋月【あきつき】,メンバー（1 年）,:_あいぞのあい::_あいぞのぞの::_あいぞのカ::_あいぞのツ:□:_あいぞのゃ::_あいぞのん:
-27:02,因幡の黒兎,メンバー（1 年）,:_あいぞのあい::_あいぞのぞの::_あいぞのカ::_あいぞのツ::_あいぞのカ::_あいぞのツ::_ハート1:
-26:53,因幡の黒兎,メンバー（1 年）,:_あいぞのお::_あいぞのお::_あいぞのお::_あいぞのお::_あいぞのお::_あいぞのお::_あいぞのっ::_あいぞのん::_あいぞのん::_あいぞのん::_あいぞのん::_あいぞのん::_あいぞのん::_あいぞのん::_ハート1:
-24:36,ほっぺた,メンバー（1 年）,:_がんばれ::_ハート1::_がんばれ::_ハート1:
-22:01,Yu-1,メンバー（1 年）,:_まちぞの::_あいぞのぞの::_ハート1:
-12:39,クロエ cLOe,メンバー（1 年）,:_がんばれ::_ハート1::_がんばれ::_ハート1:
-11:50,鉱物スズ,メンバー（1 年）,:_がんばれ::_ハート1::_がんばれ::_ハート1::_あいぞのあい::_あいぞのぞの::_ハート1::_ハート1:
-8:31,甘党ライフ,非メンバー,がんがえー
-8:20,/ meshi,メンバー（1 年）,:_ウィンク::_あいぞのあい::_あいぞのカ::_あいぞのツ:
-8:08,ほっぺた,メンバー（1 年）,:_あいぞのお::_まちぞの::_まちぞの::_あいぞのっ::_あいぞのっ::_まちぞの::_あいぞのっ::_あいぞのっ:
-6:26,俺メガ,メンバー（1 年）,勝ち:_あいぞのぞの::_ハート1:
-5:48,みづき,メンバー（1 年）,□
-4:37,れゔず,メンバー（1 年）,:_がんばれ::_ハート1::_がんばれ::_ハート1:
-4:03,みつをフリーダム,メンバー（6 か月）,:_まちぞの::_あいぞのぞの::_ハート1:
-3:14,一部,メンバー（1 年）,:_まちぞの::_あいぞのぞの::_がんばれ:
-1:33,イチリス,非メンバー,愛園さんがんばえ
-1:20,みかん,非メンバー,頑張ってー！！！！！
-1:15,ひよけむし,メンバー（1 年）,:_がんばれ::_ハート1::_がんばれ::_ハート1:
-0:52,ひよけむし,メンバー（1 年）,:_あいぞのお::_まちぞの::_あいぞのん::_あいぞのっ::_ハート1:
-0:51,はば,メンバー（2 か月）,:_まちぞの::_あいぞのぞの::_ハート1::_がんばれ::_がんばれ::_ハート1:
-0:29,ほっぺた,メンバー（1 年）,:_まちぞの::_あいぞのぞの::_ハート1::_ハート1:
-0:11,甘党ライフ,非メンバー,画面アピールしてこ
0:07,ほっぺた,メンバー（1 年）,チャット欄もピンクにそめていくか
0:11,アイロン,非メンバー,愛園さん頑張って！
0:18,みづき,メンバー（1 年）,:_よるまな::_ハート1::_がんばれ::_ハート1::_がんばれ::_ハート1:
0:21,ほっぺた,メンバー（1 年）,ついえら！！
0:24,太陽晴大「たいようハレタ」,非メンバー,がんばれー！
0:25,まりん,非メンバー,愛園さん頑張れ！
0:30,冨田孝寛「とみだたかひろ」,非メンバー,愛園さん頑張れー
