timestamp,author_name,membership,text
-23:06,成瀬 鳴 / Naruse Naru【にじさんじ】,所有者,機材トラブルがあったみたいで20:30からに変更させて頂きます！すみません！！！M-1見てて大丈夫です！
-22:52,花菖蒲,非メンバー,了解！！
-22:48,舞マイ,非メンバー,了解です！
-22:48,ゆう,メンバー（2 か月）,了解です◎
-22:46,チコ,メンバー（6 か月）,了解しました:_neko::_羽ばたくneko:
-22:44,絵コンテ,非メンバー,りょ！ありがとう！
-22:39,晴 子,非メンバー,！！！
-22:38,cyan,非メンバー,了解です
-22:35,ちゃる,メンバー（6 か月）,了解です
-22:33,ぽよちゃん / Poyo-chan,非メンバー,ご飯食べてきます
-22:32,ゆらちゃん,新規メンバー,了解です！:_羽ばたくneko::_羽ばたくneko:
-22:31,咲,新規メンバー,了解！
-22:30,四葉,メンバー（6 か月）,了解！
-22:27,さかなかな,非メンバー,了解👌
-22:26,ラズベリー,非メンバー,了解です
-22:25,霜降【Soukou】,メンバー（2 か月）,了解:_neko:
-22:24,Doe,メンバー（6 か月）,了解です:_neko::_羽ばたくneko:
-22:22,りっとん,非メンバー,了解です！
-22:20,Pop Virus,非メンバー,oh…M-1見てきます！
-22:13,日和日和,メンバー（6 か月）,了解です〜〜:_neko:
-22:09,はなまる*,メンバー（6 か月）,承知:_羽ばたくneko:
-22:03,緋波_hinami,メンバー（2 か月）,了解:_羽ばたくneko:
-21:58,Kay Irol ケイ,メンバー（2 か月）,了解:_羽ばたくneko:
-21:53,りっか,メンバー（6 か月）,了解です！
-21:31,けいき,メンバー（2 か月）,了解です:_neko::_neko:
-21:10,ももちゃん。,新規メンバー,ついえら了解！
-20:48,晴 子,非メンバー,！？！？！
-20:05,pluto,非メンバー,了解です ☺
-4:40,優壱,新規メンバー,M-1おもろ
-3:55,シリウス,非メンバー,お、もうすぐか！
-1:24,ぽんぽんペ,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-1:19,るぁ。,非メンバー,待機！
-1:13,シリウス,非メンバー,待機〜！
-1:13,さめいか,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
