timestamp,author_name,membership,text
-1:35:05,BuGGreaN,新規メンバー,:_成瀬鳴:
-1:28:12,ダブ,非メンバー,大会終わってもマリカーやってるの、めっちゃ好感持てる。
-1:01:44,咲,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-56:56,まーらいおん,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-47:41,Haruka,新規メンバー,これ好き:_成瀬鳴:
-36:33,かりんとう,非メンバー,待機
-35:08,雪目の子,非メンバー,楽しみ〜
-20:45,まき,メンバー（2 か月）,:_待機スタンプ::_成瀬鳴:
-10:05,Velvet,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-8:09,小樽,メンバー（6 か月）,:_待機スタンプ::_成瀬鳴:
-6:57,えーりゃん,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-6:00,めんじつゆ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-5:58,ゆらちゃん,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-4:58,ばたこっこ,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-3:29,うーうー,メンバー（1 か月）,:_待機スタンプ::_成瀬鳴:
-3:21,とくらとと,メンバー（6 か月）,:_待機スタンプ::_成瀬鳴:
-3:14,持田川辺,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-2:59,目目多賀リーフ,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-2:06,さめいか,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-2:06,sadu〔さづ〕,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-1:36,猫好きのりか,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-1:31,むむ,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-1:30,舞マイ,非メンバー,待機！
-1:09,ぱかたや,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:53,かりんとう,非メンバー,待機
-0:50,ゆう별,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:50,霜降【Soukou】,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:40,なゆ太*,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:24,けいき,メンバー（2 か月）,:_待機スタンプ::_成瀬鳴:
-0:22,るは,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:17,74ナナシ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:14,はいほし,新規メンバー,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:13,はなまる*,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
-0:13,こむぎ,新規メンバー,:_待機スタンプ::_成瀬鳴:
-0:11,ももちゃん。,メンバー（1 か月）,:_待機スタンプ::_肉球スタンプ::_成瀬鳴:
0:07,かりんとう,非メンバー,待機ー
0:14,まーらいおん,新規メンバー,こんにちは～！
0:19,ふうと,非メンバー,こんにちは〜
0:26,74ナナシ,メンバー（6 か月）,こんにちは～
0:32,宮川あわ.あまみや,非メンバー,こんにちは〜！
0:32,ゆう별,新規メンバー,こんにちは〜!
0:33,けいき,メンバー（2 か月）,こんにちは
0:36,咲,新規メンバー,こんにちは！！
0:36,•m ø c h å•,非メンバー,hii
0:38,ゆる,非メンバー,こんにちは!!
0:42,霜降【Soukou】,メンバー（2 か月）,こんにちは
0:45,るは,メンバー（6 か月）,こんにちは
0:47,持田川辺,メンバー（6 か月）,こんにちは！
0:54,椿のの,非メンバー,こんにちは！
0:56,あぼかどあんこくん,非メンバー,なっが
0:58,こむぎ,新規メンバー,こんにちは〜:_成瀬鳴:
0:58,かりんとう,非メンバー,了解〜！
1:04,ころろころ,メンバー（6 か月）,了解！
1:04,うーうー,メンバー（1 か月）,がんばえ
1:05,咲,新規メンバー,了解！
1:07,najla mazaya,非メンバー,hellooo
1:10,ぱかたや,メンバー（2 か月）,了解！
1:10,まーらいおん,新規メンバー,了解！頑張って！
1:11,めんじつゆ,メンバー（6 か月）,了解です！がんばれ
1:21,74ナナシ,メンバー（6 か月）,がんばれ！
1:23,ナノカ,非メンバー,ふぁいと！
1:25,えーりゃん,メンバー（2 か月）,がんばれ:_羽ばたくneko:
1:28,请不要吃小狗软糖,非メンバー,阿鸣，可爱
1:36,*こんぺいとう,非メンバー,こんにちは
1:37,tottsu,メンバー（6 か月）,こんにちは
1:38,九重,新規メンバー,がんばれ〜！
1:41,赤夜Akaya,非メンバー,こんにちは
1:41,りーちゃん,非メンバー,がんばえ〜！
1:53,うーうー,メンバー（1 か月）,草
1:57,ナノカ,非メンバー,草
1:57,лера[レラ],非メンバー,こんにちは＾＾
1:58,小樽,メンバー（6 か月）,草
1:58,ぱかたや,メンバー（2 か月）,草
2:01,めんじつゆ,メンバー（6 か月）,草
2:02,ぱかたや,メンバー（2 か月）,かわいいね
2:03,アグネスdigital,メンバー（2 か月）,So_cute.
2:07,やまかわN,非メンバー,天才じゃん
2:07,宮川あわ.あまみや,非メンバー,かわいい
2:10,かりんとう,非メンバー,かわいいね
2:12,えーりゃん,メンバー（2 か月）,可愛
2:15,lain. xxx,新規メンバー,:_天才だな::_文字な::_文字る::_文字る:
2:27,うーうー,メンバー（1 か月）,成瀬可愛
2:40,九重,新規メンバー,可愛
2:52,アカズ菌,非メンバー,草
3:05,lain. xxx,新規メンバー,TRUE ENDはよ
3:16,春崎エアル,モデレーター,あ、アカウント間違えました
3:22,74ナナシ,メンバー（6 か月）,王子！？
3:24,なふ,非メンバー,王子ww
3:26,ぱかたや,メンバー（2 か月）,王子草
3:30,tottsu,メンバー（6 か月）,草
3:35,沾砚,非メンバー,草
3:35,るは,メンバー（6 か月）,春崎エアルさん………
3:35,こむぎ,新規メンバー,王子おって草
3:39,かりんとう,非メンバー,おうじー！
3:48,さめいか,メンバー（6 か月）,草
3:48,咲,新規メンバー,王子草
3:50,夜夢,非メンバー,王子！
3:50,宮川あわ.あまみや,非メンバー,王子草
3:50,ぬぬね子,メンバー（6 か月）,王子草
3:52,えーりゃん,メンバー（2 か月）,草
3:55,najla mazaya,非メンバー,草
3:58,まーらいおん,新規メンバー,王子草
3:58,霜降【Soukou】,メンバー（2 か月）,王子草
4:03,lain. xxx,新規メンバー,RIP
4:08,emcro,非メンバー,なる虐助かる
4:13,宮川あわ.あまみや,非メンバー,わお
4:16,えーりゃん,メンバー（2 か月）,草
4:18,うーうー,メンバー（1 か月）,あああ
4:18,りーちゃん,非メンバー,草
4:21,緋波_hinami,メンバー（2 か月）,王子……
4:22,•m ø c h å•,非メンバー,;-;
4:22,冬木【ふゆき】,非メンバー,こんにちは〜
4:32,霧雨あおい,非メンバー,王子…
4:39,霜降【Soukou】,メンバー（2 か月）,今年も最後まで鳴虐か.....
4:46,lain. xxx,新規メンバー,まだ舞える
4:51,かりんとう,非メンバー,頑張れ〜！
5:16,かりんとう,非メンバー,えぐっ
5:23,あ′′ ́,非メンバー,頑張れ
5:36,イディナidina,非メンバー,頑張れ
6:37,えーりゃん,メンバー（2 か月）,！？
6:37,まき,メンバー（2 か月）,草
6:41,えだもめ,非メンバー,草
6:41,うーうー,メンバー（1 か月）,草
6:42,lain. xxx,新規メンバー,草
6:44,舞マイ,非メンバー,すご
6:44,かりんとう,非メンバー,草
6:44,0度,メンバー（6 か月）,当たりに来てたな
6:49,ひな,非メンバー,すごw
6:56,ふうと,非メンバー,草
6:57,ライム,非メンバー,意思を持った緑甲羅ｗ
7:00,沾砚,非メンバー,草
7:02,lain. xxx,新規メンバー,アイテム運いいねえ
7:02,アカズ菌,非メンバー,完全に自分のものになってた
7:17,あぼかどあんこくん,非メンバー,おお
7:18,ーアダムー,非メンバー,らっきーぃ
7:43,えーりゃん,メンバー（2 か月）,わぁ…
7:48,うーうー,メンバー（1 か月）,えぐい
7:50,ひな,非メンバー,はい
7:54,霧雨あおい,非メンバー,えぐ・
7:54,舞マイ,非メンバー,えっぐ
7:57,めんじつゆ,メンバー（6 か月）,えぐかった
8:03,かりんとう,非メンバー,グロいなー
8:19,皇ワカコ,メンバー（6 か月）,今来た
9:01,お芋の天ぷら,非メンバー,年越すか？
9:14,椿のの,非メンバー,車間距離を取らないといけないのは、リアルの車と一緒なのか……
9:55,うーうー,メンバー（1 か月）,ほんとか…
10:01,まき,メンバー（2 か月）,ほんとかな
10:04,lain. xxx,新規メンバー,えいえいっ！怒った？？？
