timestamp,author_name,membership,text
-3:07,リヴ,非メンバー,待機
-3:03,Doe,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-3:01,FSP AKE,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:58,ビにゃーキー,非メンバー,待機
-2:57,皇ワカコ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:55,0度,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:53,たかはら,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-2:51,なゆ太*,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:50,とくらとと,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:49,るは,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:49,ディープブリザード,モデレーター,:_待機スタンプ::_肉球スタンプ:
-2:48,くるくるり,非メンバー,待機
-2:43,Mr.ょぅι ゙ょ,非メンバー,待機👋
-2:38,たぬき米子丸,非メンバー,待機
-2:38,スアレム,非メンバー,おめでとうございます!
-2:38,W-ダブル-,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-2:33,舞マイ,非メンバー,待機！
-2:32,さめいか,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:31,ゆう별,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-2:29,りっか,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:10,ぱかたや,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-2:06,樗〔れもん〕,非メンバー,こんばんは
-2:03,さひさび,非メンバー,待機！
-2:01,こまざわちゃん,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-1:58,九重,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-1:54,ねぎ,非メンバー,こんばんは〜！
-1:48,ブロッコリー,非メンバー,待機!
-1:47,もめん,メンバー（1 か月）,:_待機スタンプ::_肉球スタンプ:
-1:40,*こんぺいとう,非メンバー,こんばんは！
-1:33,きあお,非メンバー,こんばんは！
-1:32,アグネスdigital,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ::_肉球スタンプ:
-1:30,ビにゃーキー,非メンバー,ついえら
-1:24,冬木【ふゆき】,非メンバー,待機…！
-1:24,とうり,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-1:21,はいほし,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-1:16,ことぎかなた,非メンバー,待機
-1:02,あざらし次郎,非メンバー,待機
-0:57,青あじさい,非メンバー,待機
-0:56,霜降【Soukou】,メンバー（2 か月）,ついえら
