timestamp,author_name,membership,text
-8:50,はなまる*,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-8:34,Pop Virus,非メンバー,待機
-8:25,ころろころ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-7:56,74ナナシ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-7:24,日和日和,メンバー（6 か月）,:_待機スタンプ:
-6:47,けいき,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-5:50,ゆらちゃん,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-5:46,sadu〔さづ〕,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-5:28,ひみ,メンバー（7 か月）,:_待機スタンプ::_肉球スタンプ:
-4:53,FSP AKE,メンバー（1 年 3 か月）,:_待機スタンプ::_肉球スタンプ:
-4:45,Doe,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-3:56,舞マイ,非メンバー,待機！
-3:49,ハルカ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-3:36,うーうー,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-3:15,霜降【Soukou】,メンバー（3 か月）,:_待機スタンプ::_肉球スタンプ:
-3:13,とくらとと,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-3:05,BuGGreaN,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-2:46,持田川辺,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-2:26,有楽,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-2:07,ザリアル,非メンバー,待機
-2:04,たかはら,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-1:51,ツロムヨシ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
-1:42,るは,メンバー（7 か月）,:_待機スタンプ::_肉球スタンプ:
-1:25,ぱかたや,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-1:24,とつき,メンバー（6 か月）,しごおわ！:_待機スタンプ::_肉球スタンプ:
-1:18,えーりゃん,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
-1:11,咲,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-0:56,霜降【Soukou】,メンバー（3 か月）,ついえら！
-0:55,目目多賀リーフ,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-0:46,めめ,新規メンバー,:_待機スタンプ::_肉球スタンプ:
-0:40,咲,新規メンバー,ついえら
-0:22,緋波_hinami,メンバー（2 か月）,:_待機スタンプ::_肉球スタンプ:
0:02,ならららら,メンバー（4 か月）,:_待機スタンプ::_肉球スタンプ:
0:10,もにゅ,メンバー（6 か月）,:_待機スタンプ::_肉球スタンプ:
0:18,うーうー,新規メンバー,ごきげんよう
0:25,BuGGreaN,新規メンバー,こんばんは
0:26,るは,メンバー（7 か月）,こんばんは！
0:26,咲,新規メンバー,こんばんは
0:28,たかはら,メンバー（2 か月）,こんばんは〜！
0:28,けいき,メンバー（2 か月）,こんばんは
0:29,えーりゃん,メンバー（3 か月）,こんばんは
0:30,霜降【Soukou】,メンバー（2 か月）,こんばんは
0:31,シリウス,非メンバー,こんばんはー
0:38,とつき,メンバー（6 か月）,こんばんは。
0:43,ならららら,メンバー（2 か月）,こんばんは
0:46,kakashi modoki,非メンバー,こんばんは～
0:46,ハルカ,メンバー（6 か月）,こんばんは〜
0:46,はなまる*,メンバー（6 か月）,こんばんは
0:52,Pop Virus,非メンバー,こんばんはー
0:52,霜降【Soukou】,メンバー（2 か月）,怒られたの草
0:58,うーうー,新規メンバー,そっか・・・
0:59,めめ,新規メンバー,こんばんは〜
0:59,はなまる*,メンバー（1 年 4 か月）,草
1:07,緋波_hinami,メンバー（2 か月）,美人さんになったね
1:08,ザリアル,非メンバー,こんばんは
1:14,なゆ太*,メンバー（6 か月）,こんばんは！
1:16,Pop Virus,非メンバー,怒られたのねw
1:34,やみい/朝日奈樒,非メンバー,こんばんは〜
1:47,ハルカ,メンバー（6 か月）,おじさんさようなら…
2:01,日和日和,メンバー（6 か月）,女の子かぁ
2:05,はなまる*,メンバー（6 か月）,女の子か…
2:05,霜降【Soukou】,メンバー（2 か月）,短い命だったおじさん
2:06,うーうー,新規メンバー,やっぱり女の子だったか･･･
2:10,ももちゃん。,新規メンバー,今北です
2:15,Pop Virus,非メンバー,そっかぁ……
2:21,くらげちゃん,非メンバー,はじめまして
2:23,咲,新規メンバー,やっぱり女の子じゃないか(歓喜)
2:31,匿名30番,非メンバー,こんばんは〜
2:34,ももちゃん。,新規メンバー,女の子…？
2:49,るは,メンバー（7 か月）,何故…？
3:07,はなまる*,メンバー（6 か月）,感慨深いねぇ
3:23,くらげちゃん,非メンバー,2年で緊張しなくなるんだ
3:26,cat black,非メンバー,がんばってくれ！
3:29,yamato kakika,非メンバー,おお？
3:29,四季かおる,非メンバー,満員電車の中なるなる見て癒される、、
3:30,Pop Virus,非メンバー,おぉ！
3:37,日和日和,メンバー（6 か月）,了解
3:37,ももちゃん。,新規メンバー,いつでも
3:39,さく,非メンバー,こんばんは〜
3:40,お芋の天ぷら,非メンバー,了解
3:41,たかはら,メンバー（2 か月）,たのしみ！
3:45,ころろころ,メンバー（6 か月）,了解
3:45,FSP AKE,メンバー（6 か月）,無理しなくていいからね
3:45,けいき,メンバー（2 か月）,やったー
3:45,ひみ,メンバー（7 か月）,了解
3:45,うーうー,新規メンバー,なるほど
3:46,咲,新規メンバー,たのしみ
3:47,kakashi modoki,非メンバー,無理ない配信を！
3:51,ツロムヨシ,メンバー（1 年 1 か月）,了解です！
3:58,とつき,メンバー（6 か月）,のんびりでいいですよ～(祝わせてくれさえすれば！)
4:01,お芋の天ぷら,非メンバー,いつでも大丈夫よ
4:06,Pop Virus,非メンバー,無理しないで いつまでも待ってます！
4:21,えんえんた,非メンバー,げせぬー
4:31,シリウス,非メンバー,げせぬー
4:35,I I,非メンバー,初めまして初見です
4:56,I I,非メンバー,成瀬鳴（なるせなる）合ってますか？
5:46,Pop Virus,非メンバー,メイドさん成瀬鳴の声してる
6:09,咲,新規メンバー,なるせなるで合ってます
6:22,紅ころ餅,非メンバー,うんめえ
6:29,うーうー,新規メンバー,めいちゃん
6:32,霜降【Soukou】,メンバー（2 か月）,めいちゃん
6:34,I I,非メンバー,ありがとうございます！
6:39,はなまる*,メンバー（6 か月）,めい…
6:44,りっか,メンバー（6 か月）,めいちゃん
6:47,シリウス,非メンバー,トトロ？
6:50,お芋の天ぷら,非メンバー,めいちゃん
6:52,緋波_hinami,メンバー（4 か月）,かわいいよ
6:52,ツロムヨシ,メンバー（6 か月）,めいちゃんでも良いね
6:53,ももちゃん。,新規メンバー,なるちゃん
6:53,けいき,メンバー（2 か月）,かわいい
6:54,シリウス,非メンバー,かわいいよ
6:56,うーうー,新規メンバー,:_文字か::_文字わ::_文字い::_文字い::_文字な::_文字る::_文字せ::_文字な::_文字る:
6:57,るは,メンバー（7 か月）,:_文字か::_文字わ::_文字い::_文字い:
6:59,咲,新規メンバー,ワンチャン女の子だと思われてる？
7:00,ことぎかなた,非メンバー,かわいい
7:05,74ナナシ,メンバー（6 か月）,:_文字か::_文字わ::_文字い::_文字い:
7:06,AYU_Tokinosenri,非メンバー,それはさつき
7:08,しとる,非メンバー,それはさつき
7:20,浦嶋光輝,非メンバー,微笑ましいね
7:21,えんえんた,非メンバー,草
7:26,くらげちゃん,非メンバー,喋り方可愛いですね
7:34,レイモンド,非メンバー,成瀬上手くね？
7:47,はなまる*,メンバー（6 か月）,謎だ
8:15,えんえんた,非メンバー,上手なる
9:14,霜降【Soukou】,メンバー（2 か月）,手元が狂ったか....
9:34,ころろころ,メンバー（9 か月）,言語化いいねぇ
9:38,うーうー,新規メンバー,ナイスわね
