timestamp,author_name,membership,text
-1:04,くじらねこ,非メンバー,待機
-1:04,しゃけ,非メンバー,待機
-1:02,しゅん,非メンバー,待機
-1:02,愛に飢えた愛紅-めく-,非メンバー,もういっそ鳴くん5万人いってくれ
-1:01,みやぴ,非メンバー,待機
-1:01,みかんの木,非メンバー,待機
-0:59,シメ,非メンバー,待機
-0:59,もちきび,非メンバー,たのしみ！
-0:55,ゆき,非メンバー,待機！
-0:53,五目米,非メンバー,待機
-0:52,しのざき,非メンバー,待機
-0:52,tsuki,非メンバー,待機
-0:51,に ゃり ね,非メンバー,待機
-0:50,源五郎,非メンバー,待機
-0:48,タナカノヤマダ,非メンバー,( ˘ω˘)ｽﾔｧ
-0:48,ガチ恋おじさん,非メンバー,待機
-0:48,しろたろた,非メンバー,たいき！たのしみ
-0:48,深守,非メンバー,待機
-0:47,ゴリラ,非メンバー,次はここやな
-0:47,まつカぜ,非メンバー,待機
-0:44,ｼﾝﾆ,非メンバー,待機
-0:44,ていく34,非メンバー,たいき
-0:42,。ロマナ,非メンバー,待機
-0:41,皆杜奏,非メンバー,これ終わったら、前回のも見てみるか...
-0:41,M T,非メンバー,楽しみ！
-0:39,はゎ,非メンバー,待機
-0:39,つぶれたみかん,非メンバー,待機！
-0:38,十八 / トオヤ,非メンバー,わくわく
-0:38,ʚりるたɞ,非メンバー,待機
-0:36,boro,非メンバー,待機！
-0:36,加賀美推しのキキジキ,非メンバー,楽しみ
-0:34,xxx xxx,非メンバー,前回見てない人はぜひ前回もみてね...何卒何卒
-0:32,ソラウ,非メンバー,待機
-0:30,ももたろ,メンバー（5 か月）,楽しみ
-0:29,ムートン,非メンバー,待機
-0:27,トカにゃん,非メンバー,待機
-0:23,黒船来航,非メンバー,待機
-0:20,紗千-シャチ,非メンバー,待機
-0:16,gyui G,非メンバー,お邪魔しますー
-0:15,もる,非メンバー,前回めちゃ良かったから楽しみ
-0:12,おやき。,非メンバー,待機
-0:12,柿咲ゆた,非メンバー,待機
-0:12,存在が陰,非メンバー,前回も神回だったからぜひ見てアーカイブ
