timestamp,author_name,membership,text
-3:32,パイモンの髪飾り,非メンバー,野良猫相手が優しいと調子乗りそう
-3:29,だっつ,非メンバー,事務所に居たから呼びましたでなんか草
-3:27,巴川youmore,非メンバー,鳴くん、がんばれ、、
-3:26,骨まみれ,非メンバー,突発すぎるｗ
-3:17,カミン,非メンバー,「やまなし」の朗読開いたら第一声が良いから今聞いてる
-3:15,nozawa,非メンバー,やまなしピンポのリンクで草
-3:10,もちもち,非メンバー,何かの間違いで優勝してほしい野良猫
-3:08,文ちゃん,非メンバー,ほんとにやまなしで草
-3:06,ヒ七ナ,非メンバー,あ、ナルザマス忘れてた…
-2:50,さくらあすか,非メンバー,リンク草
-2:49,シナモソ,非メンバー,成瀬のurl飛んだらやまなしで草
-2:42,Y I,非メンバー,昨日のマリカでも一瞬いたからな
-2:41,ショウ,非メンバー,事務所ということは動くな
-2:26,れもんもん,非メンバー,どこまで成長できるだろうか、本戦行って欲しい！
-2:18,クロマル,非メンバー,配信多くて助かる
-2:13,シナモソ,非メンバー,たまなし
-2:11,ナナリヲ.,非メンバー,鳴くん……？！
-2:01,もちもち,非メンバー,落ちるのとぶつかるのなければワンチャンあるある
-1:49,エレエレざえもん,非メンバー,:chillwcat:
-1:47,- A-,非メンバー,草
-1:43,さくらあすか,非メンバー,もしかしてこれ介護配信？
-1:40,ToMas,非メンバー,野良猫が上手くなることはあるのだろうか
-1:39,かるもの,非メンバー,言うてスプラも成長すごかったし、ゲームセンスは高そうなんだよな
-1:23,こうちゃまる,非メンバー,なにげにコミュ強よね
-1:20,あかり,非メンバー,:chillwcat:
-1:17,けさやき,非メンバー,クラムボンは笑ったよ
-1:16,三日月餅,非メンバー,事務所にいるからって気軽に呼ぶフットワークの軽さよ
-1:13,D-KI,非メンバー,行動力は猫だからな
-1:13,ショウ,非メンバー,昨日でやっとドリフトできるようになった
-1:09,いぶきち,非メンバー,事務所にいたから呼びました草
-1:07,どみー,非メンバー,平日昼間から配信を！？？
-1:07,シフォンちょこ,非メンバー,コースを覚えたら意外といけそうな猫
-1:06,ぴーみこ,非メンバー,野良猫が調教するの間違いじゃん
-1:05,mu ma,非メンバー,鳴くんは最後まで生き残れるか
-1:02,ぬぬ,非メンバー,人見知りだけど初対面の人にぶつかっていくのは度胸なのかチャレンジ精神なのかわかんないけどあるよな
-0:58,ぽる,非メンバー,野良猫に捕まったんやね...
-0:55,クロマル,非メンバー,大人数じゃなければつよつよ
-0:48,カミン,非メンバー,クラムボンはしんでしまったよ・・・
-0:35,エレエレざえもん,非メンバー,人生は冒険や
-0:30,斧乃木余接,非メンバー,妹猫早いな……
-0:30,あかさたな,非メンバー,やまなし
-0:17,よしむね,非メンバー,やあ
-0:13,パイモンの髪飾り,非メンバー,運営すら調教できないからなぁ
-0:10,ショウ,非メンバー,妹低評価確認ヨシ!
-0:09,腰痛いバべシコ,非メンバー,遅刻かな？
-0:07,C K,非メンバー,妹猫もよう見とる
-0:04,骨まみれ,非メンバー,楽しみすぎる
-0:00,クロマル,非メンバー,弟猫は果たして低評価なのか高評価なのか
0:04,D-KI,非メンバー,妹はいつもいるなぁ
0:09,シナモソ,非メンバー,弟＝成瀬鳴説
0:12,プリコネダイマママ,非メンバー,どうも
0:17,V遊戯,非メンバー,きた
0:17,ハイフン,非メンバー,おはにゃー
0:19,ヒ七ナ,非メンバー,おはにゃー
0:23,斧乃木余接,非メンバー,おはにゃー！
0:26,V遊戯,非メンバー,動いた！
0:26,みいちゃん,非メンバー,おはにゃー
0:27,つうろ,非メンバー,お
0:29,背脂ニキ,非メンバー,おはにゃー
0:30,まどぶち,非メンバー,おはにゃー
0:31,けさやき,非メンバー,おはにゃー
0:31,とだやま.R,非メンバー,おはにゃー
0:31,れいしす。,非メンバー,きたわね
0:31,とらくしい,非メンバー,おはにゃー
0:33,もちもち,非メンバー,おはにゃー！
0:33,扇マネキ,非メンバー,おはにゃー
0:33,アホなアヒル,非メンバー,おはにゃー
0:34,スミくん,非メンバー,おはにゃー
0:37,ぽーぽー,非メンバー,おはにゃー
0:37,Takuan,非メンバー,おはにゃー
0:37,p p,非メンバー,きちゃー
0:37,こーせー,非メンバー,おはにゃー
0:43,しまじお,非メンバー,おはにゃー
0:43,mu ma,非メンバー,動くけど2.0はまだなのね
0:43,Kazu Cosmo,非メンバー,おはにゃー
0:43,宛名無し,非メンバー,おはにゃー
0:45,都好摩麻弥宇土,非メンバー,うごいてるやんけ！
0:45,カルボン酸,非メンバー,おはにゃー
0:45,Apricot_L,非メンバー,おはにゃー。
0:45,ナナリヲ.,非メンバー,おはにゃー、
0:45,たらりら,非メンバー,おはにゃー
0:46,田中,非メンバー,おはにゃ～
0:47,とうきょうタワー,非メンバー,おはにゃー
0:47,クロマル,非メンバー,おはにゃー
0:50,権兵衛,非メンバー,おはにゃー！
0:50,シナモソ,非メンバー,妹と和解猫
0:50,扇マネキ,非メンバー,動いてるわー
0:50,そらさん,非メンバー,おはにゃー
0:51,C K,非メンバー,動いてる～！
0:51,搾りかす,非メンバー,おはにゃー
0:52,mu ma,非メンバー,おはにゃー
0:53,さばかん,非メンバー,おはにゃー
0:53,んん,非メンバー,おはにゃー
0:55,α gbo,非メンバー,おはにゃー
0:56,D-KI,非メンバー,おはにゃー
0:57,ショウ,非メンバー,おはにゃー
0:58,シマエナガ,非メンバー,おはにゃー
0:58,Kubert,非メンバー,なんだこのコラボ!?
0:59,タク,非メンバー,おはにゃー
0:59,セミファイナル,非メンバー,おはにゃー！
1:00,Freeze,非メンバー,おはにゃー
1:01,オレンジジュース,非メンバー,おはにゃ～
1:04,カール5世,非メンバー,ちゃんと動いてて偉い
1:04,nozawa,非メンバー,野良猫が動いとる
1:05,天使,非メンバー,可愛いよ文野
1:05,もあ,非メンバー,おはにゃー
1:05,えんじぇるくん,非メンバー,おのれなるザマス…！
1:08,トレほ,非メンバー,なるたま？
1:09,ツァーリ,非メンバー,おいっすー！
1:09,ニャンコ先生,非メンバー,これChromeブック？
1:10,あちぇあちぇ,非メンバー,おはにゃー
1:17,Sohun Lee,非メンバー,おはにゃー！!!!!!!!!!!!!!!!!!!!
1:17,ツァーリ,非メンバー,おはにゃー
1:17,おせんべい,非メンバー,最強の師匠を得たわね
1:18,斧乃木余接,非メンバー,声出てないよ
1:18,もあ,非メンバー,今日も動いてて嬉しい
1:19,こーせー,非メンバー,おはにゃー
1:23,Oxen,非メンバー,hi tamaki
1:24,あちぇあちぇ,非メンバー,おはにゃー
1:25,ウーピーゴールドバーグ,非メンバー,明日もスタジオに行くことが確定してて草
1:28,桐ノ屋,非メンバー,おはにゃー
1:28,D-KI,非メンバー,立絵はだしてくだされ
1:28,おいくら,非メンバー,おはにゃー
1:29,八神夕歌,非メンバー,なるたまはSSR
1:31,s桂輔,非メンバー,動く…！
1:31,Jim Siu,非メンバー,鳴くん！？
1:32,あちぇあちぇ,非メンバー,おはにゃー
1:33,斧乃木余接,非メンバー,おはにゃー
1:33,yy,非メンバー,おはにゃー
1:33,シャチ,非メンバー,動いててすごい
1:33,ままゆまゆ,非メンバー,おはにゃー
1:34,みいちゃん,非メンバー,おはにゃー！
1:34,天使,非メンバー,おはにゃー
1:35,ときのみや,非メンバー,おはにゃー
1:36,箱サプラ,非メンバー,おはにゃ～
1:37,けさやき,非メンバー,おはにゃー
1:38,α gbo,非メンバー,成瀬からちゃんと学ぼうな
1:38,園崎しよ,非メンバー,おはにゃー
1:39,とだやま.R,非メンバー,音量調整助かる
1:39,だっつ,非メンバー,今日も動いている喜び
1:39,もちもち,非メンバー,今日もかわいいね
1:42,あちぇあちぇ,非メンバー,今日は動いてるわねｗ
1:42,エア,非メンバー,かわいい
1:42,とだやま.R,非メンバー,聞こえる
1:43,つうろ,非メンバー,きこえるよー
1:43,千歳建太郎,非メンバー,動いてるだと…
1:44,p p,非メンバー,草
1:45,れもんもん,非メンバー,おはにゃー
1:45,白玉あろま,非メンバー,かわいい
1:46,nozawa,非メンバー,は？かわいい
1:46,エレエレざえもん,非メンバー,きこえておるよ
1:46,葉月涼,非メンバー,おはにゃ！
1:47,Emoji x,非メンバー,おはにゃー
1:47,Sohun Lee,非メンバー,なぜうごくな
1:48,あちぇあちぇ,非メンバー,きこえてるー
1:49,mu ma,非メンバー,声は聞こえる
1:49,ツァーリ,非メンバー,う、動いてる...?
1:51,セミファイナル,非メンバー,声劇出る？
1:51,おいくら,非メンバー,草
1:51,もみじ。,非メンバー,おはにゃー
1:51,くりりん,非メンバー,動いてやがる･･･！
1:53,子子子,非メンバー,いいね
1:55,レイズ,非メンバー,ちょうどいい
1:55,ダチュラの助,非メンバー,だれ？
1:55,エア,非メンバー,ちょうどいい
1:55,扇マネキ,非メンバー,いいかんじ
1:56,Jim Siu,非メンバー,誰ぇ？
1:56,しまぬま,非メンバー,はやく鳴くんだして
1:57,白玉あろま,非メンバー,2.0はまだみれないか
1:59,もみじ。,非メンバー,聞こえてるよー
1:59,ぎるばーとぐれいぷ,非メンバー,きこえるよ
1:59,昇天,非メンバー,なんで鳴くんのURL先やまなしなんだよw
2:00,ときのみや,非メンバー,初期猫
2:00,けさやき,非メンバー,猫かぶるな
2:00,Sohun Lee,非メンバー,なぜうごくないの
2:00,おせんべい,非メンバー,にへぇ
2:01,HAO,非メンバー,誰?
2:01,た_Ta,非メンバー,声劇狙ってる？
2:01,寺田どころ,非メンバー,かわいい
2:01,piku pikuto,非メンバー,誰？
2:01,mu ma,非メンバー,デビュー時の声やめてもろて
2:02,カミン,非メンバー,なんだこいつ
2:02,りーちゃん,非メンバー,かわいい
2:02,しまぽけ,非メンバー,かわいこぶるな
2:03,くかたさ,非メンバー,誰だこの可愛い子
2:07,α gbo,非メンバー,だれ？
2:07,えんじぇるくん,非メンバー,なんだおめぇ…♡
2:07,Stereochrome,非メンバー,かわいい
2:07,フィー,非メンバー,面接のときの人かな？
2:08,氷野[ひょーの],非メンバー,今来た。おはにゃーん
2:08,こーせー,非メンバー,だれぇ
2:08,ウーピーゴールドバーグ,非メンバー,返して
2:09,れんう.,非メンバー,おはにゃー
2:11,T S,非メンバー,だれ？
2:12,わあ,非メンバー,雑ちー？
2:12,コモンビル,非メンバー,おはにゃー
2:12,アグネスdigital,非メンバー,ナルザマスさん以来のコラボか
2:12,このもりあむ,非メンバー,酔ってる？
2:13,階段,非メンバー,おはにゃー
2:13,ayumi,非メンバー,これは2.0ですか？
2:13,m o,非メンバー,どなた？
2:14,either 2,非メンバー,動けよ
2:15,扇マネキ,非メンバー,もどったｗ
2:15,ダンボールたかし,非メンバー,誰なの
2:15,ときのみや,非メンバー,猫かぶるな
2:15,ぬーえ,非メンバー,戻るのはや
2:17,リア。,非メンバー,なんだぁ？
2:17,じゃむろく,非メンバー,ヘタクソ
2:18,文ちゃん,非メンバー,萌え声生主もいます
2:18,nozawa,非メンバー,いつものに戻った
2:19,えびtnk,非メンバー,dareya
2:19,佐波瑠炭,非メンバー,どなた‥？
2:19,Kazu Cosmo,非メンバー,誰ぇ……
2:19,piku pikuto,非メンバー,よかった
2:21,Nakahara Koji,非メンバー,うわぁ！急に冷静になるな！
2:21,カレーは甘口,非メンバー,なんだよ可愛いかよ
2:22,氷野[ひょーの],非メンバー,伸びしろですねぇ!
2:25,C K,非メンバー,おこだね
2:25,つぐながももち,非メンバー,みんな最初は下手くそ
2:26,either 2,非メンバー,野良猫ほんとに2.0になったの？
2:26,memeali,非メンバー,かわいい
2:26,ぬぬ,非メンバー,唐突に力抜くなｗ
2:27,ユウキ,非メンバー,かわいい
2:27,もちもち,非メンバー,伸びしろがあるってことよ
2:27,ドールズ,非メンバー,こんばんは
2:27,ゾクティキチャンネル,非メンバー,センスあるよ
2:28,もみじ。,非メンバー,うわあ！急に冷静になるな！
2:30,子系小吾空,非メンバー,もどして
2:31,Defaultie boi,非メンバー,Hello.
2:31,しゆん,非メンバー,さっきの誰？
2:31,eggplants,非メンバー,今日も動いてていい
2:32,mu ma,非メンバー,視聴者への誹謗中傷？
2:37,レイズ,非メンバー,今年もう終わるけど？ほんとに1番か？
2:37,piku pikuto,非メンバー,この声･･･馴染む･･･
2:38,AssGuardian,非メンバー,声戻って安心した
2:38,ヤスヒロ,非メンバー,おはにゃー
2:39,nozawa,非メンバー,かわいかったりかわいくなかったりしろ
2:39,エレエレざえもん,非メンバー,スォントァク
2:40,Alexander,非メンバー,:chillwcat:
2:40,eggplants,非メンバー,そうだよね
2:41,おせんべい,非メンバー,それはある
2:42,HYPER Oniku,非メンバー,さっきまでアーカイブ見てたけど凄かった
2:42,氷野[ひょーの],非メンバー,謙虚、謙虚やで
2:53,495,非メンバー,うおおおおおおおお
2:53,もみじ。,非メンバー,へたっぴ^ ^
2:55,葉月涼,非メンバー,上手くなれよ！
