timestamp,author_name,membership,text
-25:39,スフィアマスター,非メンバー,待機
-10:18,新米あらこ,非メンバー,アーカイブぎり間に合った
-9:43,ゆっさ,メンバー（8 か月）,シレン買っちゃった
-4:21,36 CKV,メンバー（8 か月）,位置についた！
-4:01,ぬくい,新規メンバー,位置についた！
-3:32,ibjor,非メンバー,位置についた！
-3:01,中秋名月,非メンバー,Get ready!
-1:46,fuchan,メンバー（8 か月）,位置についた！
-1:07,有栖川アリス#凛fam,メンバー（8 か月）,位置についた
-0:13,石の上に3秒,非メンバー,位置についた！
-0:11,Not.B,メンバー（7 か月）,位置に着いた！
0:25,ibjor,非メンバー,きちゃ！
0:25,俄祭直樹,非メンバー,と
0:28,fuchan,メンバー（8 か月）,きちゃ！
0:33,有栖川アリス#凛fam,メンバー（8 か月）,きちゃ！
0:51,atまつ,非メンバー,きちゃ
0:53,不動アキラ,メンバー（8 か月）,こんはやせ～～
0:54,躁鬱ピエロ,非メンバー,らんねーちゃんすきー！
1:04,atまつ,非メンバー,こんはやせ～
1:05,Mojinova,非メンバー,Hi Sou-san!!!
1:05,ただのゲーム好き,非メンバー,こんにちはー
1:05,ヘキスカ,メンバー（4 か月）,こんはやせー
1:05,eva,非メンバー,おはようございまーす
1:06,ひお,非メンバー,こんはやせー
1:07,fuchan,メンバー（8 か月）,こんはやせー！
1:09,不動アキラ,メンバー（8 か月）,見易い！！！！
1:10,あやなぎ,非メンバー,おはようございまーす
1:10,俄祭直樹,非メンバー,おはようございますー
1:12,だいこん7144,非メンバー,他のかわいいかわいいライバーからきたで
1:12,有栖川アリス#凛fam,メンバー（8 か月）,おおきゅうなった！
1:13,ヘキスカ,メンバー（4 か月）,見やすい
1:14,Mojinova,非メンバー,アメリカからこんばんは！
1:15,家系ランミョ,非メンバー,みやすい！！
1:20,ダルマ牛乳,非メンバー,どやさどやさ
1:20,みや,非メンバー,見やすいですね。
1:21,ゆっさ,メンバー（8 か月）,完璧
1:22,結城奈々,非メンバー,見やすい
1:24,ひお,非メンバー,見やすい
1:35,有栖川アリス#凛fam,メンバー（8 か月）,せやねｗ
1:37,俄祭直樹,非メンバー,私のシレンはGBのシレン2からでした
1:40,Longe,非メンバー,おはよー
1:42,七志野五平,非メンバー,むしろ常時アイテム表示は甘え
1:44,Not.B,メンバー（7 か月）,おはやせー！いい感じ！
1:45,革靴,非メンバー,こんはやせーー画面デカくていいね
1:45,だいこん7144,非メンバー,ライブ探索ないと持ち物わからんから
1:48,ガナ,非メンバー,おはよー
1:51,有栖川アリス#凛fam,メンバー（8 か月）,奇跡で眠い！
1:58,Longe,非メンバー,プレイしてて邪魔やなってなるんよねライブ表示
2:04,Francisco Ramirez,非メンバー,こんにちは
2:05,不動アキラ,メンバー（8 か月）,寝落ちしたから分かりません！！！！！
2:06,カピバラライダー,メンバー（6 か月）,こんはやせ〜
2:12,だいこん7144,非メンバー,アーカイブのコメントでもめっちゃ言われてたよｗ
2:14,dash 96,非メンバー,ガチ攻略とかＲＴＡじゃなければライブ探索はいらないかな
2:21,まゆっち,非メンバー,おはやせ！
2:41,家系ランミョ,非メンバー,アーカイブ途中までしか追えてない
2:43,ゆっさ,メンバー（8 か月）,何時間もできるな
2:44,魔魅_MAMI,非メンバー,こんはやせ！
2:55,no on,非メンバー,ヨロシクゥ！
2:58,みのむし,非メンバー,声ふにゃふにゃやね
3:03,flame nessie,非メンバー,人による感じはあるな
3:06,だいこん7144,非メンバー,いや９９とかのダンジョンだといるってことでしょｗ
3:12,不動アキラ,メンバー（8 か月）,耐久配信かな？？
3:22,ゆーの,非メンバー,最強の盾きちゃ
3:39,るりひたき,非メンバー,頑張れシレンジャー
3:42,ガナ,非メンバー,にぎり親方とかそういうのか
3:44,七志野五平,非メンバー,今日も元気だ泥棒プレイ
3:44,中秋名月,非メンバー,リスクヘッジ大事よね
3:45,よこけん_サメ「K」,非メンバー,昨日ねーちゃんの声聞きながら寝落ちしたったw
3:47,蕪流路士庵,非メンバー,2時3時の盾
3:49,moby,非メンバー,保存壷にぎられるのあるある
4:03,イマム,非メンバー,保存のツボに名前つけられるからカテゴリ別に名前つけても良いかも
4:08,fuchan,メンバー（8 か月）,夜勤中だったので昨日見れなかった
4:15,躁鬱ピエロ,非メンバー,らんねーちゃんガチ恋勢になっちった…
4:15,よこけん_サメ「K」,非メンバー,無理はなさらず
4:21,Not.B,メンバー（7 か月）,…同じく寝落ち組w
