timestamp,author_name,membership,text
-13:20,キツネどんぶり定食,非メンバー,どんだけシレンやりたいねん
-11:06,boushiya hatter,非メンバー,りりむ3Dにて早瀬プロの本領が発揮されていた模様
-7:48,ホソミチ,メンバー（8 か月）,位置についた！
-7:12,ibjor,非メンバー,位置についた！
-4:51,べりある_,メンバー（8 か月）,位置についた！
-1:27,ホソミチ,メンバー（8 か月）,:_ざわざわ::_ざわざわ:
-0:55,KFC,非メンバー,位置についた！
0:13,ibjor,非メンバー,きちゃ！
0:17,ホソミチ,メンバー（8 か月）,きちゃ！
0:25,はる,非メンバー,きちゃ
0:27,ちゃんしょう,メンバー（3 か月）,位置についた！
0:39,ただのゲーム好き,非メンバー,きちゃ
0:51,当店自慢のナポリタン,メンバー（1 か月）,位置に着いた！
0:53,ibjor,非メンバー,こんはやせ〜
0:58,てすと,非メンバー,シレンのおねーちゃんになる気か
1:04,あかりakari,メンバー（5 か月）,こんはやせ〜！
1:07,ホソミチ,メンバー（8 か月）,こんはやせ～
1:12,ちゃんしょう,メンバー（3 か月）,こんはやせー
1:13,もつ煮込み,非メンバー,きちゃ！
1:14,しお.,非メンバー,こんはやせ～
1:16,マッカランR,非メンバー,こんはやせー
1:19,木村夏樹,非メンバー,ありがてぇ
1:21,べりある_,メンバー（8 か月）,こんはやせ〜
1:21,harry,非メンバー,シレンジャー！！
1:23,当店自慢のナポリタン,メンバー（1 か月）,こんはやせ〜
1:24,しお.,非メンバー,お風呂上りらんねーちゃん
1:26,そふとへるにん,非メンバー,シレン！
1:31,36 CKV,メンバー（8 か月）,こんはやせ～
1:35,当店自慢のナポリタン,メンバー（1 か月）,ゆっくり準備してもろて
1:36,ちゃんしょう,メンバー（3 か月）,さっきぶりなのよね
1:39,Takkun,非メンバー,こんばんは
1:40,ホソミチ,メンバー（8 か月）,むっちゃやりたいやんw
1:42,36 CKV,メンバー（8 か月）,いや乾かしてｗ
1:45,べりある_,メンバー（8 か月）,髪の毛は乾かしてw
1:45,しお.,非メンバー,シレンモチベ高い
1:45,jun,非メンバー,こんばんはー
1:49,しばしょー,非メンバー,シレンやめらんないんだけど！
1:50,音悟存在音【いるね】,非メンバー,こんばんわー、我慢できなかったのねｗうれしけど
1:53,ただのゲーム好き,非メンバー,こんばんはー
1:53,てるよ,非メンバー,乾かしてｗ
1:53,木村夏樹,非メンバー,お風呂で配信でもよかったよ
1:58,ホソミチ,メンバー（8 か月）,ドライヤー配信？
2:02,わーるはいと,非メンバー,早瀬よ りりむのポーズ最高だったぞ・・・！
2:04,boushiya hatter,非メンバー,こんはやせ〜 りりむ3Dの件、おみそれいたしやした。
2:04,Corrupt Pixel,非メンバー,Good evening!
2:06,harry,非メンバー,シレンは本当にやめられないんだよなぁ
2:07,木村夏樹,非メンバー,髪の毛痛むが
2:11,てすと,非メンバー,あれ？昨日発売したのにもう15時間…？妙だな…🤔
2:22,しゅいい,非メンバー,原始初回は50階だっけ
2:24,新米あらこ,非メンバー,髪が死ぬが
2:24,匿名希望,非メンバー,シレンジャー早瀬好き
2:30,Yukihira Sayako,非メンバー,Good eve!
2:34,zawa zawa,メンバー（7 か月）,えぐいプレイ時間
2:42,しばしょー,非メンバー,また髪のはなししてる
2:44,当店自慢のナポリタン,メンバー（1 か月）,髪の毛大事にして
2:47,キツネどんぶり定食,非メンバー,髪の毛乾かさずにゲームに熱中、こどもか！？
3:10,ぬーぶ,メンバー（1 か月）,わこつ
3:15,zawa zawa,メンバー（7 か月）,走ねーちゃん幼女説
3:42,ホソミチ,メンバー（8 か月）,助かる
3:55,ぬーぶ,メンバー（1 か月）,賠償金
4:03,木村夏樹,非メンバー,奇遇だ私も幼女です
4:31,a a,非メンバー,こわい
4:32,せいろ御飯,非メンバー,あ
4:32,m Goto,非メンバー,こわ
4:40,ホソミチ,メンバー（8 か月）,くしゃみ助かる
4:40,いろみず,非メンバー,ひえ
4:42,7SE,非メンバー,さっきダウンロード版購入しましたよー
4:43,木村夏樹,非メンバー,くしゃみかわいすぎ草
4:43,ゆーの,非メンバー,たすかる
4:44,メガネオーク,非メンバー,草
4:46,ぬーぶ,メンバー（1 か月）,きゃわ
4:46,てるよ,非メンバー,かわいい
4:47,しお.,非メンバー,たすかる
4:48,マッカランR,非メンバー,くしゃみ助かります
4:48,ヤス,非メンバー,たすか
4:49,ibjor,非メンバー,助かる
4:50,べりある_,メンバー（8 か月）,連続くしゃみ助かる
4:54,zawa zawa,メンバー（7 か月）,幼児退行ｗ
4:54,キツネどんぶり定食,非メンバー,髪の毛乾かさないから身体冷えるんだぞ？
4:57,ゆーの,非メンバー,あっ
4:58,冬遙,メンバー（8 か月）,お大事に
5:14,Longe,非メンバー,こんばんわー めっちゃシレンやる気あるね
5:19,絵コンテ,非メンバー,こんばんはー、初めて見るフロアだ
5:40,boushiya hatter,非メンバー,らんねーちゃんに追いつけ追い越せと並行してすすめて現在奇跡の塔まできたわ。ドラゴンに今怯えながら進んでる
6:12,Longe,非メンバー,デビル勝てるかなー？
6:13,るりひたき,非メンバー,私もストーリークリアしたよ！これから本番だ！
6:27,雪原の王者,非メンバー,まったりしてて最高ですね
6:32,しゅいい,非メンバー,５のデビル強いからあまり狩ったことないなあ
6:43,ゆーの,非メンバー,きちゃ
6:44,しお.,非メンバー,きたあああ
6:50,絵コンテ,非メンバー,うおおおおお
6:55,木村夏樹,非メンバー,きた
6:55,るりひたき,非メンバー,怖いよなーコイツ
7:00,a a,非メンバー,いてえ
7:07,朝霧,非メンバー,こええ
7:08,Aho Le,非メンバー,耐久なん？
7:13,カイム,非メンバー,身代わりで行ける
7:14,Longe,非メンバー,デビルは基本かまいたち狩りやしなぁ
7:21,桜佐倉,非メンバー,あんたまだゲームやってんお！？
7:38,しお.,非メンバー,きちゃ
7:38,朝霧,非メンバー,おおー
7:38,せいろ御飯,非メンバー,おおおお
7:39,いろみず,非メンバー,うまあじ
7:39,zawa zawa,メンバー（7 か月）,おおー
7:40,ホソミチ,メンバー（8 か月）,ないすぅ！
7:40,絵コンテ,非メンバー,身代わりはかなり使い道多いからね
7:42,猫八,非メンバー,しれんきたぁ
7:45,木村夏樹,非メンバー,しぇーい
7:46,まいまい,非メンバー,身代わり最強！
7:49,NyuaChan,非メンバー,かしこ
7:56,ゆーの,非メンバー,おお
8:04,Not.B,メンバー（7 か月）,今北、こんはやせー！
8:07,桜佐倉,非メンバー,ずっとゲームしてるね。。。。。しぬよ？
8:25,Longe,非メンバー,階段の左壁なら金縛りで両方封鎖できるね
8:28,しゅいい,非メンバー,桃食べとけば事故は防げるね
8:33,るりひたき,非メンバー,踏ん張りあるとちょっと気が楽ね
8:42,a a,非メンバー,装備強化がメインだっけ
8:43,ゆーの,非メンバー,草
8:43,tom,非メンバー,なんでｗ
8:45,しお.,非メンバー,ああああああ
8:45,boushiya hatter,非メンバー,あ
8:48,ホソミチ,メンバー（8 か月）,草
8:52,まるお,非メンバー,ああああ
8:55,朝霧,非メンバー,草
9:01,ibjor,非メンバー,あw
9:02,zawa zawa,メンバー（7 か月）,え？先進んだらアカンかったの？
9:34,しゅいい,非メンバー,深層で飲んだら即死するやつ
9:47,zawa zawa,メンバー（7 か月）,なんでセルフ人体実験しとるん？
9:48,木村夏樹,非メンバー,あかりは神
10:08,ゆーの,非メンバー,漢識別ｗ
10:10,絵コンテ,非メンバー,もしかしてアイテム未判別のフロアか、ここ
10:28,家系ランミョ,非メンバー,勇気出して草食べる
10:31,木村夏樹,非メンバー,らんにーちゃんだったか
10:35,しお.,非メンバー,非合法ハーブ
10:38,朝霧,非メンバー,緑色じゃない草食べるだけで十分ヤバイ
10:38,zawa zawa,メンバー（7 か月）,白い粉てきなアトモスフィア
10:41,るりひたき,非メンバー,あと識別必要な草ある？
