timestamp,author_name,membership,text
-1:20,ひなもん,メンバー（1 か月）,星座待機
-1:20,星川サラ / Sara Hoshikawa,確認済み,きんちょおおおおおおおおおおおおおおおお
-1:20,月舟〔つきふね〕のあ,非メンバー,正座待機
-1:15,諭吉くん,メンバー（6 か月）,おおおおおおおおおおおお
-1:12,よず,メンバー（6 か月）,落ち着け
-1:09,おーみ,メンバー（6 か月）,がんばって！
-1:06,Ro Lo,メンバー（6 か月）,落ち着いて
-1:05,あらし,メンバー（6 か月）,ギューしてもらいな
-1:04,諭吉くん,メンバー（6 か月）,もちつけ
-1:03,ガムシロ,非メンバー,いける！がんばれ！
-1:02,とある対応部のお得意様,メンバー（6 か月）,ほぐしていけ
-1:02,GBAァ!_グバ,メンバー（6 か月）,緊張吹き飛ばしてけぇ！
-1:02,MIE MIE,非メンバー,がんばれええええ
-1:02,ルゥ,メンバー（2 か月）,頑張って
-1:01,広島山登り,非メンバー,がんばってー！
-1:00,よず,メンバー（6 か月）,がんばれ
-0:57,コタヤ9696,メンバー（6 か月）,ぶちかませ
-0:55,のーつ,メンバー（6 か月）,がんばああああああああああ
-0:55,月舟〔つきふね〕のあ,非メンバー,深呼吸してもろて
-0:55,ケータ,非メンバー,落ち着け…
-0:54,Appy,非メンバー,大丈夫や！！
-0:54,エス,非メンバー,絶対勝つぞ星川ー！
-0:52,K-すたいる,メンバー（6 か月）,がんばれええええええ！
-0:51,けいけい,非メンバー,ああああああああぁぁぁ
-0:51,Ryu,非メンバー,がんばれ
-0:46,もこちん,メンバー（6 か月）,がんばああああああああ！
-0:45,もん,新規メンバー,応援してる！！
-0:43,K T,メンバー（6 か月）,がんばれ！！
-0:43,ディエスX,メンバー（6 か月）,落ち着いて深呼吸だ
-0:37,しゅう,新規メンバー,張り切っていこう！
-0:37,アーク,メンバー（6 か月）,ファイトおおお！！
-0:36,K-すたいる,メンバー（6 か月）,鼻歌うたいながらでいいぞ！
-0:34,ちゅんちゅん丸,非メンバー,がんば
-0:30,Ro Lo,メンバー（6 か月）,がんばって！
-0:24,めです,メンバー（6 か月）,がんばれ！！！
-0:22,くろいるか,新規メンバー,がんばれ！応援してる！！！
-0:19,ふださん,メンバー（6 か月）,がんばれ！！
-0:17,オキ,メンバー（6 か月）,がんばれ！
-0:17,ちゅんちゅん丸,非メンバー,おおおおお
-0:16,るちゃん,非メンバー,頑張ってーー！
-0:16,ちょちゃわ,メンバー（6 か月）,がんばれー！！
-0:13,あらし,メンバー（6 か月）,イキらないイキらないイキらない
-0:11,エス,非メンバー,自分の力を信じてもろて！
-0:09,おとは,非メンバー,頑張れー！！
-0:08,Naka,メンバー（2 か月）,ここまで頑張ったんだから大丈夫！勝て、星川！
-0:05,れんぼう,メンバー（1 か月）,がんばれ〜
-0:03,K-すたいる,メンバー（6 か月）,お水用意してな
-0:03,sho ma,非メンバー,星川なら大丈夫！いつも通り！
-0:02,吹雪れいるんっ!!,メンバー（6 か月）,ふぁいとおお
0:09,よず,メンバー（6 か月）,ついえら
0:09,ふださん,メンバー（6 か月）,ついえら！
0:10,あらし,メンバー（6 か月）,ついえら！
0:10,けいけい,非メンバー,ついえら
0:10,Ro Lo,メンバー（6 か月）,きちゃ
0:11,弱酸性アルカリ,メンバー（6 か月）,ついえら
0:12,アーク,メンバー（6 か月）,ついえら！
0:12,Ryu,非メンバー,ついえら
0:18,ともっち,メンバー（6 か月）,ついえら！
0:19,オキ,メンバー（6 か月）,ついえら！
0:19,ケータ,非メンバー,ついえら〜
0:21,人,非メンバー,ついえら
0:21,しる,メンバー（2 か月）,がんばれ！
0:22,Appy,非メンバー,負ける時は負けるんや。そんときは諦めろん！
0:23,めめ,新規メンバー,がんばれ〜〜〜！！！
0:23,汐[うしお]*MOW*,メンバー（6 か月）,きちゃ！
0:26,しゅんしゅん,メンバー（6 か月）,ついえら！
0:26,じゃがバタ,新規メンバー,ついえら！
0:29,Ro Lo,メンバー（6 か月）,ついえら
0:31,もこちん,メンバー（6 か月）,うおおおおおおお！
0:31,Sheep cloud d d d d,非メンバー,ついえら
0:31,エデン / eden,メンバー（6 か月）,ついえら！
0:33,十波ユーリ,メンバー（6 か月）,ついえら
0:35,ドラゴン,非メンバー,ついえら！
0:36,むきむきプリン,非メンバー,ついえら
0:38,GBAァ!_グバ,メンバー（6 か月）,きちゃ
0:38,前ショー,新規メンバー,ついえら！
0:39,だいばろり,メンバー（2 か月）,がんばれー！
0:39,広島山登り,非メンバー,ついえら！
0:41,ミブリさんガチ恋勢,非メンバー,ふぁいと！
0:41,Gokuri,メンバー（6 か月）,きちゃ！
0:45,みゃお,メンバー（2 か月）,応援しにきた
0:47,TOWA,メンバー（2 か月）,きちゃ！
0:49,しんのすけ,非メンバー,こんちわ
0:49,かずみ,メンバー（1 か月）,きちゃ
0:49,六等星,メンバー（6 か月）,がんばれ！
0:51,しゅんしゅん,メンバー（6 か月）,星川ならやれる！ファイト！
0:51,ゆぅ,非メンバー,がんばれー！！！！
0:51,汐[うしお]*MOW*,メンバー（6 か月）,頑張れ～!
0:52,しゅん星クズ,メンバー（6 か月）,ついえら
