timestamp,author_name,membership,text
-1:41,すき焼き,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:40,つばき,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:38,さんだー,メンバー（1 年）,ござ
-1:37,haruzooou,メンバー（6 か月）,:_goza::_zazago:
-1:37,gy h,非メンバー,ござ…
-1:36,雪布/yukif,メンバー（2 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:34,ろんろん,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:33,すぎ,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:33,ハルヒナ,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:29,unyotyan,新規メンバー,:_goza::_zazago::_iiiiii::_iiiiii::_iiiiii:
-1:27,桔梗,非メンバー,:elbowcough::elbowcough::elbowcough:
-1:27,みつき,メンバー（2 か月）,:_goza::_zazago::_iiiiii:
-1:26,あらあらあらら,メンバー（1 年）,ケイスケホンマ…
-1:25,つばき,メンバー（6 か月）,:_goza::_zazago:
-1:24,あまたのぼぶ太郎,非メンバー,ごさ
-1:23,EMC2JAPAN,非メンバー,茣蓙
-1:23,こんじ,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:22,からお,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:22,ジョコビッチ田中,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:21,チト,非メンバー,:elbowcough::elbowcough:
-1:17,こん【一緒に人生を神ゲーにしよう】,非メンバー,ござ…ござ…
-1:15,犬飼[いぬかい]のあ,メンバー（6 か月）,:_goza::_zazago:
-1:12,ほっきょくねこ,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:11,大,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:08,こはむつ,非メンバー,ござ…
-1:08,かとりん,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-1:07,梅シロップ,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:06,20 Shao,メンバー（2 か月）,:_iiiiii::_iiiiii::_iiiiii:
-1:02,Francdoll M,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:59,ペコネン,メンバー（1 年）,:_freehonma::_freehonma::_freehonma:
-0:57,ぞでぃお,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:57,らいむぅ,非メンバー,ござ…
-0:50,ひの,非メンバー,:elbowcough::elbowcough::elbowcough:
-0:47,ほんまれんこん,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-0:45,くるんちゅ,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:42,スノードウム,メンバー（2 か月）,:_goza::_zazago:
-0:42,ジャストミートはち,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-0:40,y梅,メンバー（1 年）,:_otakon::_1yubi:
-0:38,T 2,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:35,スノードウム,メンバー（2 か月）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:30,EMC2JAPAN,非メンバー,ﾐﾅﾄﾌｧー
-0:24,パズー犬,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii::_iiiiii:
-0:19,シグ雄.,メンバー（1 か月）,:_goza::_zazago::_goza::_zazago:
-0:15,むこすムー,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-0:13,月見だんご,メンバー（1 年）,:_iiiiii::_iiiiii::_iiiiii:
-0:11,JD,メンバー（6 か月）,:_iiiiii::_iiiiii::_iiiiii:
-0:10,スクラップ,メンバー（1 年）,:_goza::_goza::_goza:…
-0:06,20 Shao,メンバー（2 か月）,:_iiiiii::_iiiiii::_iiiiii:
