timestamp,author_name,membership,text
-2:45,ねるちか,メンバー（1 年）,:_goza::_zazago:
-2:45,アスノヨゾラハレルヤ,非メンバー,……🤔
-2:43,20 Shao,メンバー（2 か月）,:_goza::_zazago:
-2:36,ほんまれんこん,メンバー（6 か月）,:_goza::_zazago:…
-2:26,なな,メンバー（1 年）,:_goza::_zazago:
-2:24,セラフィーウェア,メンバー（1 年）,:_goza::_zazago:
-2:23,メンタルアイオン,非メンバー,ござ…ござ…
-2:21,ポケモンマスター,メンバー（6 か月）,:_goza::_zazago:…
-2:14,シルナ,メンバー（1 年）,:_goza::_zazago:
-2:07,カミソリダイバー,メンバー（1 年）,:_goza::_zazago:…
-2:07,オモチ,メンバー（6 か月）,:_goza::_zazago:
-2:06,大,メンバー（1 年）,:_tut::_nanana::_maa::_yoyo:
-2:01,20 Shao,メンバー（2 か月）,待機
-2:01,ポケモンマスター,メンバー（6 か月）,:_goza::_zazago::_goza::_goza:
-2:00,てい,メンバー（1 年）,:_susu::_nanana:
-1:48,かとりん,メンバー（1 年）,:_nanana::_maa::_susu::_maa::_goza:
-1:33,新鮮さらだ,メンバー（1 年）,待機
-1:32,レオンハート,メンバー（2 か月）,:_goza::_zazago:
-1:16,ジョナサン,メンバー（6 か月）,:_goza::_zazago:
-1:14,神代静,メンバー（1 年）,:_goza::_maa:
-1:12,こんじ,メンバー（1 年）,:_goza::_zazago:
-1:10,新鮮さらだ,メンバー（1 年）,:_nanana::_dede::_nanana::_dede:
-0:55,かとりん,メンバー（1 年）,:_tut::_よしよし:
-0:54,シルナ,メンバー（1 年）,:_tut::_よしよし:
-0:53,ほんまれんこん,メンバー（6 か月）,:_tut::_よしよし:
-0:53,ぬん,メンバー（1 年）,:_tut::_よしよし:
-0:52,こんじ,メンバー（1 年）,:_tut::_よしよし:
-0:52,まっサンダー,メンバー（6 か月）,:_tut::_よしよし:
-0:51,月見だんご,メンバー（1 年）,:_tut::_よしよし:
-0:51,ひより,メンバー（2 か月）,:_goza::_zazago:
-0:50,おっちゃん,メンバー（1 年）,:_tut::_よしよし:
-0:49,fマナ,メンバー（1 年）,:_tut::_よしよし:
-0:49,ぱーしもん,メンバー（1 年）,:_tut::_よしよし:
-0:48,かんごろー,メンバー（6 か月）,:_tut::_よしよし:
-0:47,こんにゃくコアラ,メンバー（6 か月）,:_tut::_よしよし:
-0:46,ポケモンマスター,メンバー（6 か月）,:_tut::_よしよし:
-0:39,すき焼き,メンバー（1 年）,:_tut::_よしよし:
-0:38,なぎ先輩-Nagi-,非メンバー,ツヨシ！
-0:34,なーとん,メンバー（6 か月）,:_tut::_よしよし:
-0:33,梅シロップ,メンバー（6 か月）,:_tut::_よしよし:
-0:32,MARIMO,メンバー（2 か月）,:_tut::_yoyo::_GOD:
-0:31,メイドイン・ MASK,非メンバー,ツヨシ！
-0:28,ポケモンマスター,メンバー（6 か月）,:_nini::_sese::_hoho::_maa::_aaa::_nini:
-0:25,ろと,メンバー（1 年）,ござ...ぷて...
-0:22,クロ,メンバー（6 か月）,:_tut::_よしよし:
-0:20,メンタルアイオン,非メンバー,ツヨシ！
-0:13,HALF ch.はーふ,非メンバー,ぷて待ちかな？ｗ
-0:04,てい,メンバー（1 年）,:_tut::_よしよし:
-0:02,Martin,非メンバー,(・ワ・🌻)
0:08,甘楽,非メンバー,(・ワ・🌻)
0:08,おっちゃん,メンバー（1 年）,きちゃ
0:10,まな,メンバー（6 か月）,きちゃ！
0:11,ただのゲーム好き,非メンバー,きちゃ
0:14,かふぇおれ,メンバー（6 か月）,きちゃ
0:15,ジョナサン,メンバー（6 か月）,これ好き
0:17,こんじ,メンバー（1 年）,きちゃ！
0:17,月見だんご,メンバー（1 年）,きちゃ！
0:17,すき焼き,メンバー（1 年）,きちゃ！
0:17,ポケモンマスター,メンバー（6 か月）,きちゃ！
0:19,大,メンバー（1 年）,きちゃ
0:20,ぱーしもん,メンバー（1 年）,きちゃ！
0:21,Pchan 0815,非メンバー,きちゃ
0:21,なぎ先輩-Nagi-,非メンバー,きちゃ！
0:21,まいるど,メンバー（6 か月）,きちゃ！
0:23,べーわた,非メンバー,きたー
0:24,JD,メンバー（6 か月）,きちゃ！
0:27,Fish,メンバー（1 年）,きちゃ！
0:27,みみみおみお,メンバー（6 か月）,きちゃ
0:27,20 Shao,メンバー（2 か月）,きちゃ！
0:28,むこすムー,メンバー（1 年）,きちゃー！
0:28,ほんまれんこん,メンバー（6 か月）,てうがきちゃ！
0:30,アネモネ,メンバー（2 か月）,きちゃ！
0:31,シルナ,メンバー（1 年）,きちゃ
0:33,さんだー,メンバー（1 年）,きちゃ〜
0:33,クロ,メンバー（6 か月）,きちゃー
0:34,こんにゃくコアラ,メンバー（6 か月）,きちゃ
0:34,すき焼き,メンバー（1 年）,:washhands::sanitizer::hydrate:
0:35,エグっち,非メンバー,きちゃ！
0:38,メンタルアイオン,非メンバー,きちゃぁぁぁあああ！
0:39,猫シャル,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:39,タナカネコ,メンバー（6 か月）,きちゃ
0:41,459タヌキ,メンバー（6 か月）,久々にライブなきがする
0:41,ろんろん,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:42,おっちゃん,メンバー（1 年）,:_ohagoza:こんぷてー
0:43,カミソリダイバー,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:43,ろと,メンバー（1 年）,:_ohagoza:
0:43,まっサンダー,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:43,こんじ,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:43,中林莉乃,非メンバー,でか笑
0:45,ペコネン,メンバー（1 年）,背丈がｗ
0:45,PIKAKUREN,メンバー（1 年）,ぷぅでっかｗ
0:45,ただのゲーム好き,非メンバー,おはござー
0:46,ふねん,メンバー（1 年）,:_ohagoza:こんぷて
0:46,もぴぴ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:46,シルナ,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:46,まな,メンバー（6 か月）,聞こえてるー
0:46,ぬん,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:46,仙堂ユウスケ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:47,459タヌキ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:47,まいるど,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:47,地中海性気候,非メンバー,おはござ
0:47,タナカネコ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:47,hajime -,非メンバー,でっか
0:47,ToMas,非メンバー,プテでかくね？ｗ
0:47,クロ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:47,HALF ch.はーふ,非メンバー,ぷてでか！
0:48,ほんまれんこん,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:48,Martin,非メンバー,ぷてちでっか
0:48,ぱにゃにゃん琥珀,非メンバー,こんぷてー
0:48,Airi,メンバー（2 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:49,梅シロップ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:49,Shunsuke,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:49,ハルヒナ,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:49,中宮,メンバー（6 か月）,ぷてがでけえｗ
0:49,ぽっか,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:49,あきにい,非メンバー,でっか
0:49,ろんろん,メンバー（1 年）,ぷてちでっか
0:50,田中Y,メンバー（2 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:50,アマヤ,メンバー（6 か月）,:_ohagoza:ぷて
0:51,大,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:52,パッパロン,メンバー（2 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:52,なーとん,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:52,じょるじゅ,非メンバー,おはござ～
0:53,ぱーしもん,メンバー（1 年）,かわいい
0:53,かずのこ,メンバー（1 年）,:_ohagoza:
0:53,Fish,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:53,ジャストミートはち,メンバー（1 年）,プティちゃんでっかw
0:57,ジョナサン,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:57,Airi,メンバー（2 か月）,ぷてでか
0:59,ネコゼケン,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:01,まサン,メンバー（1 か月）,あれ？顔を小さく見せようとしてる？
1:01,なかうぃーんぬ,非メンバー,でかいなｗ
1:01,ことなし,メンバー（2 か月）,でか
1:01,ねるねる,非メンバー,おはござ！
1:03,雪ノ丞,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:04,makoto,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:05,おっちゃん,メンバー（1 年）,ぷてちゃんデカくね…？
1:05,山鳥メルー,メンバー（1 年）,:_ohagoza:
1:06,べーわた,非メンバー,おはござー
1:07,月見だんご,メンバー（1 年）,身長差？
1:09,JD,メンバー（6 か月）,ぷてちでっかｗ
1:09,キモルム,メンバー（6 か月）,ぷてでっか
1:10,ペコネン,メンバー（1 年）,🍄
1:12,なぎ先輩-Nagi-,非メンバー,おはござ〜
1:13,ふぐぅ,非メンバー,でかぷて
1:15,ふねん,メンバー（1 年）,🍄🍲
1:15,しろねこサンダー,非メンバー,成長期か？
1:16,月見だんご,メンバー（1 年）,美味しいね
1:18,ぱーしもん,メンバー（1 年）,あの！？
1:19,ToMas,非メンバー,あの！？
1:19,さんだー,メンバー（1 年）,🍄
1:21,JD,メンバー（6 か月）,あの有名な！？
1:21,大,メンバー（1 年）,あの有名な！？
1:21,Shunsuke,メンバー（1 年）,草
1:24,こんじ,メンバー（1 年）,鍋やんけ！
1:24,ホットケーキ,メンバー（1 年）,シメジ美味しいよねー
1:24,てい,メンバー（1 年）,エリンギまいたけ
1:24,仙人チーズ,メンバー（1 年）,あの！？
1:25,すき焼き,メンバー（1 年）,あの有名な！？
1:25,カミソリダイバー,メンバー（1 年）,やっぱりしめじよ
1:25,Fish,メンバー（1 年）,草
1:25,クロ,メンバー（6 か月）,こんぷて
1:26,ジャストミートはち,メンバー（1 年）,あの！？
1:27,うりぼーうりぼー,非メンバー,しめじ
1:27,まいたけ,メンバー（1 年）,呼ばれた気がした
1:29,木下識也,非メンバー,でかぁい!!説明不要!
1:31,トウマ,メンバー（6 か月）,ぷてちでかいなw
1:33,メイドイン・ MASK,非メンバー,おはござ〜
1:33,20 Shao,メンバー（2 か月）,草
1:36,Shunsuke,メンバー（1 年）,のっけから息ピッタリw
1:36,契約者GXT,非メンバー,姫路？
1:36,あきにい,非メンバー,しめじかぁ…
1:37,アネモネ,メンバー（2 か月）,ぷてちでかいw
1:37,hajime -,非メンバー,そういうわけ？
1:37,ろと,メンバー（1 年）,🍄
1:37,ドクターH,非メンバー,おはござ
1:38,こんじ,メンバー（1 年）,でっかくなった
1:39,月見だんご,メンバー（1 年）,草
1:41,クロ,メンバー（6 か月）,草
1:41,こんじ,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:43,山鳥メルー,メンバー（1 年）,でかくなったw
1:45,カミソリダイバー,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:45,PIKAKUREN,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:45,わんぱく,メンバー（1 年）,きちゃー
1:46,ジャストミートはち,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:47,ぱーしもん,メンバー（1 年）,でかくなったｗ
1:49,こんじ,メンバー（1 年）,いえええええい！
1:49,SAKUME,メンバー（1 年）,おはごじゃ〜
1:49,はるいろブックレット,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:50,さわゆう,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:51,すき焼き,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:51,片目コンタクト,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:52,ネコゼケン,メンバー（1 年）,直った？
1:53,月見だんご,メンバー（1 年）,大きさ揃った
1:53,山鳥メルー,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:54,Tomoo888,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:54,なーとん,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:54,クロ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:55,こんじ,メンバー（1 年）,みじかっ
1:55,まっサンダー,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:55,てい,メンバー（1 年）,リッチやなぁ
1:55,トウマ,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:55,ミケ猫(Hz),非メンバー,ほんぷててぇてぇ
1:55,JD,メンバー（6 か月）,おはござ～！
1:55,守護天使降臨貓兒醬。,非メンバー,hello喵 🎄🎁🎁🎁
1:57,かたなし。,非メンバー,おはござー
1:57,さんだー,メンバー（1 年）,成長期かな
1:58,あるー,メンバー（1 年）,おねがいしま～す～
1:58,もっぴー,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
1:58,Shunsuke,メンバー（1 年）,あ、スタジオなんか
1:59,ホットケーキ,メンバー（1 年）,おはござ！
1:59,豆乳ドーナッツ,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
1:59,ぱーしもん,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
2:01,ジャストミートはち,メンバー（1 年）,ニートｗ
2:01,かおでかいからや,非メンバー,みじけｗ
2:05,Martin,非メンバー,草
2:08,山鳥メルー,メンバー（1 年）,草
2:08,JK太郎。,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
2:08,こんじ,メンバー（1 年）,冒険しろぉ！は草
2:08,梅シロップ,メンバー（6 か月）,ニート草
2:08,なーとん,メンバー（6 か月）,こんぷてー
2:09,越智屋,非メンバー,なし！
2:09,すき焼き,メンバー（1 年）,草
2:10,run ta,新規メンバー,:_ohagoza:
2:11,まっサンダー,メンバー（6 か月）,草
2:11,あきにい,非メンバー,草
2:11,アカリーヌ,メンバー（1 年）,草
2:11,Meg 38,非メンバー,おお
2:11,メイドイン・ MASK,非メンバー,でかなった
2:11,Pchan 0815,非メンバー,草
2:15,ぱーしもん,メンバー（1 年）,事務所来れてえらい
2:15,こんじ,メンバー（1 年）,事務所かぁ～
2:15,ポケモンマスター,メンバー（6 か月）,人生は冒険や！
2:16,大,メンバー（1 年）,大冒険じゃん
2:16,ねこねこニャース,非メンバー,冒険はどうしたw
2:17,Uロイ,非メンバー,冒険者(ニート)
2:20,月見だんご,メンバー（1 年）,服装大丈夫？
2:20,hajime -,非メンバー,事務所プレイ
2:20,みっく,メンバー（1 年）,草
2:21,だまされたクマ,非メンバー,ひまちゃんはあんまりでかくないようにみえる
2:21,ほたて,非メンバー,お外出れてえらい
2:23,あきらさん,非メンバー,ええｗ
2:23,猫シャル,メンバー（1 年）,事務所なんだ
2:25,makoto,メンバー（6 か月）,ほう
2:26,さんだー,メンバー（1 年）,草
2:29,中宮,メンバー（6 か月）,事務所で二人プレイ！？
2:29,ジャストミートはち,メンバー（1 年）,事務所なんだ
2:37,こんじ,メンバー（1 年）,せやせや
2:37,大,メンバー（1 年）,草
2:38,大神ちゃちゃ丸,非メンバー,使ってる
2:39,キモルム,メンバー（6 か月）,家近いのに事務所来てコラボするの草
2:39,もぴぴ,メンバー（6 か月）,🍄
2:40,こんじ,メンバー（1 年）,JKわよ
2:43,べーわた,非メンバー,ほうほう
2:44,クロ,メンバー（6 か月）,事務所なんだ
2:45,ランディ,メンバー（6 か月）,あんたでかなったなあ
2:46,あきにい,非メンバー,おっそうだな
2:48,ホットケーキ,メンバー（1 年）,そうわよ
2:49,ぬん,メンバー（1 年）,ほうほう
2:51,春生音,非メンバー,今北おはござー
2:53,匠君,非メンバー,Simeji使ってるけど着せ替え真っ白だから楽しみ
2:53,ポケモンマスター,メンバー（6 か月）,あのSimeji！？
2:53,かふぇおれ,メンバー（6 か月）,そうわよ
2:55,トウマ,メンバー（6 か月）,なるほどね
3:03,ToMas,非メンバー,使ってる
3:03,あるー,メンバー（1 年）,ノ
3:05,フィエリス,非メンバー,使ってるよー
3:06,谷澤昌彦,非メンバー,こんばんは
3:06,かたなし。,非メンバー,使ってる
3:06,ふじつー,非メンバー,使ってる〜
3:06,ほしと,非メンバー,きたよ、！
3:07,まサン,メンバー（1 か月）,知ってるわｙｐ
3:07,SAKUME,メンバー（1 年）,ピンと……きた！
3:07,ろんろん,メンバー（1 年）,しってるよ
3:07,down quark,非メンバー,みんな使ってる
3:09,ツナ缶サラダ,非メンバー,使ってるー
3:09,ぽぽのぽいくら,メンバー（1 か月）,つかってる
3:09,たけやまちゃん,非メンバー,使ってるよ〜
3:09,猫シャル,メンバー（1 年）,Simeji使ってます
3:10,Meg 38,非メンバー,普通に使ってる
3:10,corocoma,非メンバー,スーパーの野菜コーナーで見た
3:10,アルメリア,メンバー（1 か月）,知ってる
3:10,新鮮さらだ,メンバー（1 年）,知ってるよ
3:10,みっく,メンバー（1 年）,使ってる
3:11,例外,メンバー（6 か月）,使ってるわよ
3:11,サンドパン,メンバー（1 年）,お鍋に入れると美味しい
3:11,もりもり,非メンバー,つかってる
3:11,吉木リーパー,非メンバー,Simeji使ってますよ！
3:11,こんじ,メンバー（1 年）,知ってるわよ
3:11,カミソリダイバー,メンバー（1 年）,使ってるよ~ん
3:12,中宮,メンバー（6 か月）,昔使ってた～
3:12,こんにゃくコアラ,メンバー（6 か月）,使ってるよ〜
3:14,まっサンダー,メンバー（6 か月）,使ってる！
3:14,ほんまれんこん,メンバー（6 か月）,もちろん！
3:14,タナカネコ,メンバー（6 か月）,使ってるー
3:15,ずぶずぶお,メンバー（1 年）,使ってるわよ
3:15,なかうぃーんぬ,非メンバー,使ってるー！
3:15,月見だんご,メンバー（1 年）,携帯で使ってる
3:15,ぱーしもん,メンバー（1 年）,ひまちゃんから知ったなぁ
3:15,ぶち,メンバー（1 年）,変な文字使えるやつ？
3:16,まな,メンバー（6 か月）,知ってるー
3:16,かふぇおれ,メンバー（6 か月）,たまに使う
3:16,ふぐぅ,非メンバー,高校生の時流行ったな
3:16,ランディ,メンバー（6 か月）,ぷてさんと同じぐらいの知識
3:16,kuromaru 33,非メンバー,使ってるよ
3:17,すき焼き,メンバー（1 年）,知ってるけど使ってないかな
3:18,うたこ,新規メンバー,つかってるよ！
3:18,べーわた,非メンバー,使ってまっす
3:18,かずのこ,メンバー（1 年）,初耳
3:21,雪ノ丞,メンバー（1 年）,つかってるー
3:23,かふぇおれ,メンバー（6 か月）,そうわよ
3:23,春生音,非メンバー,ノ
3:28,美夜,非メンバー,予測変換が優秀すぎるね
3:29,もぴぴ,メンバー（6 か月）,認知はしてるよ～ん
3:32,まサン,メンバー（1 か月）,JKわぞ
3:33,神代静,メンバー（1 年）,あれだろ、てんぷらにするとおいしいやつ
3:34,わんぱく,メンバー（1 年）,ワイJKやったんか
3:34,ホットケーキ,メンバー（1 年）,JKわよ
3:38,ききおじ,非メンバー,使ってるわよ
3:38,谷澤昌彦,非メンバー,二人とも配信頑張ってください
3:38,なぎ先輩-Nagi-,非メンバー,知ってる！
3:40,くちのら,非メンバー,6年ぐらい使ってる～！
3:43,Rei Channel,非メンバー,男子ですが
3:43,KokOzen,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
3:44,山鳥メルー,メンバー（1 年）,#Simeji最強
3:45,tusk,非メンバー,ぷてぃの耳、ぺたーってなるのかわいいね
3:45,ToMas,非メンバー,＃しめじ最強
3:46,泣く子も黙る上腕二頭筋,非メンバー,案件？
3:46,匠君,非メンバー,໒꒱
3:48,こんじ,メンバー（1 年）,#Simeji最強
3:52,ほたて,非メンバー,結構昔からある
3:52,吉木リーパー,非メンバー,椎茸は食べられませんがしめじは大丈夫です！！！！！！
3:52,spina[スピナ],非メンバー,スマホもiPadも鍋にも入ってる
3:55,あるー,メンバー（1 年）,は～い
4:01,こんじ,メンバー（1 年）,説明たすかる
4:01,20 Shao,メンバー（2 か月）,案件！
4:03,大,メンバー（1 年）,お願いします
4:05,こんじ,メンバー（1 年）,！？
4:08,あるー,メンバー（1 年）,なんか草
4:08,PIKAKUREN,メンバー（1 年）,え？
4:08,fマナ,メンバー（1 年）,！？
4:08,マジシャン使いの口癖はPマン,非メンバー,たすかる
4:09,かたなし。,非メンバー,え？
4:11,ふねん,メンバー（1 年）,#Simeji最強╭(･ㅂ･)و
