timestamp,author_name,membership,text
-1:31,ほんまれんこん,メンバー（6 か月）,りょ！
-1:31,もづ,メンバー（11 か月）,りょ
-1:30,PIKAKUREN,メンバー（2 年、1 か月）,:_maa::_tut:
-1:29,ジョナサン,メンバー（6 か月）,りょ
-1:29,月見だんご,メンバー（2 年、3 か月）,りょ！
-1:29,ナムリス,メンバー（6 か月）,りょ～
-1:29,スクラップ,メンバー（1 年）,りょ！
-1:28,大,メンバー（1 年 11 か月）,りょ
-1:27,はく洋,メンバー（1 年 10 か月）,り
-1:27,まっサンダー,メンバー（10 か月）,りょ
-1:26,九咫つくね,メンバー（6 か月）,:_maa::_tut:
-1:26,べーわた,非メンバー,了解ですっ (￣^￣ゞ
-1:25,アカリーヌ,メンバー（1 年）,マツ
-1:25,クロ,メンバー（6 か月）,りょ！
-1:24,ズミ,非メンバー,りょ！
-1:24,すぎ,メンバー（9 か月）,:_maa::_tut:
-1:24,このは,非メンバー,りょ！
-1:23,ホットケーキ,メンバー（1 年 2 か月）,りょ！
-1:21,ろと,メンバー（1 年 10 か月）,:_maa::_tut:
-1:21,猫シャル,メンバー（2 年、3 か月）,:_1yubi::_maa::_tut:
-1:20,まるまるん,メンバー（2 か月）,りょ！
-1:19,なぎ先輩-Nagi-,非メンバー,りょ！
-1:18,Rio Rio,非メンバー,りょ！
-1:18,ひま畑のーと,メンバー（1 年）,:_maa::_tut::_goza::_zazago:
-1:18,さんだー,メンバー（1 年 1 か月）,ちょまつ
-1:17,ABABABA BABA,非メンバー,御意
-1:14,chii,非メンバー,りょ！
-1:13,スタウト,非メンバー,りょ！
-1:11,雪原風花,非メンバー,りょ！
-1:09,はく洋,メンバー（1 年 10 か月）,:_maa::_tut::_よしよし:
-1:08,まきまき,メンバー（2 か月）,:_maa::_tut::_yoyo:
-1:07,かとりん,メンバー（1 年 1 か月）,:_maa::_tut::_goza::_zazago:
-1:01,オモチ,メンバー（8 か月）,りょ！
-1:00,wyvern R,非メンバー,茣蓙
-1:00,烏丸四畳半・ω・,メンバー（3 か月）,:_maa::_tut::_goza::_zazago:
-0:58,20 Shao,メンバー（2 か月）,了解
-0:51,cat cat,メンバー（5 か月）,:_maa::_tut::_mmmm:
-0:49,ホットケーキ,メンバー（1 年 2 か月）,:_maa::_tut::_yoyo:
-0:49,すき焼き,メンバー（1 年 2 か月）,りょ！
-0:44,JD,メンバー（6 か月）,りょ！
-0:34,気まま人,メンバー（1 年 5 か月）,:_maa::_tut:
-0:27,360度,非メンバー,りょ
-0:27,kingfrozenghost,非メンバー,5 minuets late?
-0:25,kazu,メンバー（5 か月）,:_maa::_tut:
-0:16,ぬん,メンバー（1 年 7 か月）,りょ！
-0:12,からお,メンバー（1 年 10 か月）,りょ！
-0:10,にゃんたろう,非メンバー,りょ
-0:06,まサン,メンバー（1 か月）,:_maa::_tut::_yoyo:
-0:02,すきやき,メンバー（5 か月）,りょ！
0:06,ぱーしもん,メンバー（1 年 10 か月）,:_maa::_tut:
0:09,いひょ,非メンバー,りょ
0:13,ジャストミートはち,メンバー（1 年）,きちゃ！
0:13,もぴぴ,メンバー（8 か月）,きちゃ
0:16,Shunsuke,メンバー（1 年）,:_ohagoza::_ohagoza::_ohagoza:
0:18,月見だんご,メンバー（2 年、3 か月）,きちゃ！
0:19,もっさりメインクーン,メンバー（10 か月）,きた！
0:19,雪原風花,非メンバー,きちゃ！
0:19,九咫つくね,メンバー（6 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:20,おっちゃん,メンバー（1 年 7 か月）,きちゃ
0:20,仙堂ユウスケ,メンバー（11 か月）,きちゃ
0:20,大,メンバー（1 年 11 か月）,きちゃ
0:20,アカリーヌ,メンバー（1 年 11 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:20,犬飼[いぬかい]のあ,メンバー（9 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:20,ふねん,メンバー（1 年 10 か月）,:_ohagoza:🏎🍄🐢🍌
0:21,すぎ,メンバー（9 か月）,きちゃあああ
0:21,るそう,メンバー（1 年 3 か月）,きちゃ～
0:21,旧ナメック星,非メンバー,きちゃ！
0:21,JD,メンバー（6 か月）,きちゃ！
0:22,Rio Rio,非メンバー,きちゃ！
0:22,山鳥メルー,メンバー（1 年 11 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:23,カイ,非メンバー,きちゃ
0:23,ホットケーキ,メンバー（1 年 2 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:24,ナムリス,メンバー（7 か月）,きちゃ！
0:24,まっサンダー,メンバー（10 か月）,きちゃ！
0:24,むぐぅ*,非メンバー,きちゃ！
0:24,プロモ,メンバー（11 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:24,いーじー,非メンバー,きた！
0:25,おっちゃん,メンバー（1 年 7 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:26,みみみおみお,メンバー（6 か月）,きちゃ
0:26,新たまねぎ,メンバー（3 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:27,KokOzen,メンバー（8 か月）,:_ohagoza::_ohagoza::_ohagoza:
0:27,私だ,非メンバー,きちゃ
0:27,ジャストミートはち,メンバー（1 年 2 か月）,:_ohagoza::_ohagoza::_ohagoza:
