timestamp,author_name,membership,text
-21:02,飛鳥暁,非メンバー,来栖を待つっす！
-19:48,板橋タイヤ,新規メンバー,来栖を待つっす！
-18:46,こっしー,非メンバー,来栖を待つっす！
-16:26,Shuichi Kimura,非メンバー,今回はサブタイにダジャレが入ってないの残念
-15:43,えぞも,非メンバー,来栖を待つっす！
-11:31,胡麻せせり,メンバー（6 か月）,来栖を待つっす！
-9:23,えいわず,メンバー（6 か月）,来栖を待つっす！
-8:36,ひお,新規メンバー,来栖を待つっす！
-8:10,すたいあ,メンバー（1 か月）,:_なつめ:
-7:51,すたいあ,メンバー（1 か月）,来栖を待つっす！
-7:50,えいわず,メンバー（6 か月）,:_なつめ:
-7:31,川田タオル,メンバー（6 か月）,:_なつめ:
-7:15,川田タオル,メンバー（6 か月）,来栖を待つっす！
-7:13,闇に堕ちたたかし,メンバー（6 か月）,:_なつめ:
-7:04,来栖 夏芽-kurusu natsume-【にじさんじ】,所有者,:_なつめ:
-6:39,ひお,新規メンバー,:_なつめ:
-6:27,板橋タイヤ,新規メンバー,:_なつめ:
-5:58,シャナイ,メンバー（2 か月）,:_なつめ:
-5:11,第08あんころもち,非メンバー,リスナーに擬態してる人おるな
-5:06,カイト,メンバー（6 か月）,来栖を待つっす！
-5:05,胡麻せせり,メンバー（6 か月）,:_なつめ:
-4:01,ボールサラダ,非メンバー,来るのかな？
-3:37,新人スタッフ,新規メンバー,:_なつめ:
-3:21,霧島茜,新規メンバー,:_なつめ:
-3:18,飛鳥暁,非メンバー,概要欄なちゅめもあったかくしてもろて
-2:49,ぐみ,メンバー（2 か月）,:_なつめ:
-1:08,ボールサラダ,非メンバー,本当にマイクラ上手くなったよね？来栖。
0:08,森の珍獣,非メンバー,来栖を待つっす！
0:22,飛鳥暁,非メンバー,来栖が来るっす！
0:29,えいわず,メンバー（6 か月）,来栖が来るっす！
0:29,胡麻せせり,メンバー（6 か月）,来栖が来るっす！
0:38,鳩ぽくぽ,新規メンバー,来栖が来るっす！
0:48,闇に堕ちたたかし,メンバー（6 か月）,来栖が来るっす！
0:54,蓼目口マ,メンバー（2 か月）,来栖が来るっす!
1:00,板橋タイヤ,新規メンバー,来栖が来るっす！
1:00,楼蘭.,非メンバー,来栖が来るっす！
1:10,黒橋哲也,メンバー（6 か月）,来栖が来るッス！
1:16,ユリ,メンバー（6 か月）,:_なつめ:
1:30,神楽坂あんのん,非メンバー,来栖が来るっす！
1:41,かんかん,新規メンバー,来栖が来るっす！
1:44,hitsuri Q.,非メンバー,来栖が来るっす！
1:59,カイト,メンバー（6 か月）,こーんばーんはー！
2:09,む!,メンバー（1 か月）,こーんばーんはー！
2:11,Fかるてぃ,メンバー（2 か月）,:_なつめ:
2:12,楼蘭.,非メンバー,こーんばーんはー！
2:12,蓼目口マ,メンバー（2 か月）,こーんばーんはー
2:17,叫び,非メンバー,こんばんは～
2:20,あまがっぱ,非メンバー,こーんばーんはー！
2:23,和熊,非メンバー,こんばんはー！
2:25,あぶぶ,非メンバー,こーんばーんはー！
2:28,にみ,非メンバー,こーんばーんはー！
2:28,K S,非メンバー,こーんばーんはー
2:29,Talking Rat,非メンバー,こーんばーんはー！
2:29,ユリ,メンバー（6 か月）,こーんばーんはー
2:34,前田犬子,非メンバー,ほお
2:34,ポン酢,非メンバー,こーんばんわー
2:47,前田犬子,非メンバー,草
2:48,くれないのぼたん,非メンバー,草
2:50,さと,非メンバー,こーんばーんはー♪
2:50,む!,メンバー（1 か月）,草
2:53,霧島茜,新規メンバー,こーんばーんはー！
2:54,川田タオル,メンバー（6 か月）,草
2:56,ぐみ,メンバー（2 か月）,草
2:56,胡麻せせり,メンバー（6 か月）,草
2:56,板橋タイヤ,新規メンバー,草
2:59,ポン酢,非メンバー,草
2:59,のの,メンバー（2 か月）,草
2:59,ddd ss,非メンバー,たのしめー
3:02,弱体化,メンバー（1 か月）,あっ
3:02,1 1,非メンバー,草
3:06,Kikyou,非メンバー,草
3:07,森の珍獣,非メンバー,よく回ってるｗ
3:10,前田犬子,非メンバー,ラマ3位！
3:11,ハーサン,メンバー（2 か月）,草
3:11,きみたり,メンバー（2 か月）,:_感嘆符:
3:11,スタンドアローン,非メンバー,なんか居て草
3:15,あぶぶ,非メンバー,マリカやってら
3:23,弱体化,メンバー（1 か月）,ラマ…
3:29,蓼目口マ,メンバー（2 か月）,ラマさんのロンド草
3:31,foobar,非メンバー,マリカ杯終わってからのお披露目になったの草
3:32,えいわず,メンバー（6 か月）,（ゲーム内音入ってない
3:34,Shuichi Kimura,非メンバー,出荷よー
3:35,くれないのぼたん,非メンバー,ラマ1位になった
3:49,冬慈-とうじ,非メンバー,とまらねえw
3:55,森の珍獣,非メンバー,脱線事故
3:57,ソルマキナ,メンバー（2 か月）,遅れました。こんなつ～
4:00,きちぇない丸,メンバー（6 か月）,じこはおこるさ
4:05,もちやなぎ,メンバー（2 か月）,収穫！
4:10,あかさたな,非メンバー,たすかる
4:11,闇に堕ちたたかし,メンバー（6 か月）,くしゃみたすかる
4:13,叫び,非メンバー,お大事に
4:14,くれないのぼたん,非メンバー,お大事に
4:14,Coumarin,非メンバー,たすかる
4:16,あまがっぱ,非メンバー,かわいい
4:19,たにたに,非メンバー,たすかる
4:20,ddd ss,非メンバー,くしゃみたすかる
4:20,Mateo Monard,非メンバー,Kawaii sneeze
4:20,夜桜シノ,新規メンバー,たすかる
4:29,板橋タイヤ,新規メンバー,かわいい
4:41,蓼目口マ,メンバー（2 か月）,くしゃみ助かるけど声もカスカス気味?
4:52,ボールサラダ,非メンバー,なんだろー今の(・・?
5:03,foobar,非メンバー,線路見てたら思い出したけど、新鯖のほうでの鉄道整備って続きされます？
5:04,きちぇない丸,メンバー（6 か月）,たすかるもトレインしてるな
5:23,ddd ss,非メンバー,ぶれすゆー
5:25,叫び,非メンバー,神のご加護があらんことを
5:56,叫び,非メンバー,つけてもろて
6:04,む!,メンバー（1 か月）,寒いならつけよう
6:11,休肝喫茶クニマーレ,非メンバー,わかるけどつけて
6:13,叫び,非メンバー,暖房つけないと氷点下になるので必須……
6:18,ddd ss,非メンバー,厚着や湯たんぽねー
