video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
awC46kWseVk,ほぼ雑談な振り返り配信【 来栖夏芽/にじさんじ】,2020-12-30,9970,2h 46m 10s,2221,221,0.22276830491474423,114,15,21,25,46,0,0
aBFkmk171lw,【 #まななつ歌リレー 】一周年ありがとう！！！！！！！【 来栖夏芽/にじさんじ】,2020-12-29,2464,0h 41m 4s,2396,390,0.9724025974025974,302,14,20,17,37,0,0
KcfIFb55j8M,【ましゅまろ雑談】もぐもぐ！！！【 来栖夏芽/にじさんじ】,2020-12-24,3357,0h 55m 57s,809,168,0.2409889782543938,99,12,13,17,27,0,0
bX1ufELrMxY,【Minecraft】新鯖のほう探検したい【 来栖夏芽/にじさんじ】,2020-12-22,9480,2h 38m 0s,1609,251,0.16972573839662447,187,19,5,19,21,0,0
PErkj8QanoU,【雑談】つづき！！！【 来栖夏芽/にじさんじ】,2020-12-20,6038,1h 40m 38s,1424,180,0.2358396820139119,101,19,8,19,33,0,0
rj9aqIFfocM,【雑談】最近どう？【 来栖夏芽/にじさんじ】,2020-12-20,2806,0h 46m 46s,787,194,0.2804704205274412,119,16,6,16,37,0,0
5qIsrIXtTu4,【マリオカート8DX】#マリカにじさんじ杯  予選Gブロック【 来栖夏芽/にじさんじ】,2020-12-19,5673,1h 34m 33s,1595,297,0.2811563546624361,206,22,10,22,37,0,0
Ce_-xyH-lfc,【マリオカート8DX】星が欲しい！！！！！！！！！！！！！！！！！【 来栖夏芽/にじさんじ】,2020-12-18,7760,2h 9m 20s,1326,218,0.17087628865979382,149,20,4,17,28,0,0
fcIf9LRK5Yg,【オフコラボ】  #クリスマスパーティー招待状  【にじさんじ】,2020-12-15,7369,2h 2m 49s,8954,690,1.2150902429094856,590,34,6,13,47,0,0
dSy7Lkw4AR8,【Minecraft】なぞのメモを見つけたので冒険してみる【 来栖夏芽/にじさんじ】,2020-12-13,5576,1h 32m 56s,2032,274,0.36441893830703015,192,29,7,6,40,0,0
jGbQ8lPDFoY,【桃太郎電鉄】こんなに楽しいゲームが友情崩壊ゲームなわけがない【 来栖夏芽/にじさんじ】,2020-12-13,7257,2h 0m 57s,6055,606,0.8343668182444536,544,20,4,8,30,0,0
OZjgnZY60m0,【マリオカート8DX】マリカ杯にむけて練習だ！！！【 来栖夏芽/にじさんじ】,2020-12-13,5405,1h 30m 5s,1395,232,0.25809435707678074,160,18,8,10,36,0,0
I_gFVwHpWuM,【Minecraft】住みたい街をつくる【 来栖夏芽/にじさんじ】,2020-12-07,6765,1h 52m 45s,2530,349,0.37398373983739835,273,26,5,8,37,0,0
1UUT7WuFj-I,【マリオカート8DX】星が欲しい！！！！！！！！！！！！！【 来栖夏芽/にじさんじ】,2020-12-07,5176,1h 26m 16s,1330,214,0.25695517774343124,163,12,3,4,32,0,0
QuN0pioQqfU,【Minecraft】そうだ、ネザー行こう【 来栖夏芽/にじさんじ】,2020-12-05,10278,2h 51m 18s,3111,276,0.3026853473438412,181,34,11,8,42,0,0
4qrX65_pAeo,【マリオカート8DX】裏企画あり！？まななつマリカ！【 #まななつ/にじさんじ】,2020-12-03,4836,1h 20m 36s,3432,366,0.7096774193548387,289,20,6,6,45,0,0
1cDmpBzMprA,【マリオカート8DX】視聴者戦！！8位以下で罰ゲーム！？【 来栖夏芽/にじさんじ】,2020-12-02,4539,1h 15m 39s,3558,368,0.7838730998017185,274,29,9,8,48,0,0
ZsM8VuOKWRE,【Minecraft】玄関周辺を整備しよう！【 来栖夏芽/にじさんじ】,2020-12-01,13048,3h 37m 28s,3844,431,0.29460453709380746,348,30,9,3,41,0,0
