timestamp,author_name,membership,text
-30:38,ぽりばけつ,メンバー（1 年 3 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-28:54,清楚枠,メンバー（7 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-25:57,りゅーいち,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-25:39,Yuka,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-25:24,ばーどんどん,メンバー（1 年 2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-23:58,マスピの影,メンバー（5 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-22:16,秋月団子,メンバー（5 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-19:51,おじにぃ,メンバー（1 年 3 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-17:08,hola Todo bien?,非メンバー,hi
-15:22,ぴぷ,メンバー（1 年 6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-13:24,黒橋哲也,メンバー（11 か月）,ンボンボ
-10:18,トキジ,メンバー（11 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:11,びび,メンバー（3 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:56,Nooka,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:14,SAI,メンバー（1 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:00,カジュマー,メンバー（4 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:29,若尾げんじまる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:50,るいゆ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:26,清楚枠,メンバー（7 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:09,抹茶プリン,メンバー（8 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:08,トキジ,メンバー（11 か月）,はじまった！
0:09,ぴぷ,メンバー（1 年 6 か月）,:_ンボあいさつOha::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつきんあ:
0:10,Snow man,メンバー（1 年 6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:25,おじにぃ,メンバー（1 年 3 か月）,:_ンボあいさつOha::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:30,ぽりばけつ,メンバー（1 年 3 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:34,ばーどんどん,メンバー（1 年 2 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:35,Snow man,メンバー（1 年 6 か月）,:_ンボあいさつOha:
0:37,清楚枠,メンバー（7 か月）,:_ンボあいさつOha::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:47,るいゆ,メンバー（6 か月）,:_ンボあいさつOha::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:49,りゅーいち,メンバー（2 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:04,Yuka,メンバー（1 年）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:06,DiceK,メンバー（1 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:16,マスピの影,メンバー（5 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:21,Nooka,メンバー（2 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:23,るふとん,メンバー（1 年 9 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:29,たかひーㅤㅤ,メンバー（1 年 2 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:36,Kelvin K,メンバー（1 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:52,Snow man,メンバー（1 年 6 か月）,久々の:_ンボあいさつおーー::_ンボあいさつＰだよ:や
1:53,いぬ大福,メンバー（1 年 8 か月）,:_ンボあいさつおーー::_ンボあいさつＰだよ:すきー
2:07,森の珍獣,メンバー（5 か月）,おはりつきーん！
2:11,秋月団子,メンバー（5 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:12,おそらの,メンバー（11 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:15,Snow man,メンバー（1 年 6 か月）,りつきんちっちゃくてかわいい
2:15,c,非メンバー,おはりつきーん
2:17,トキジ,メンバー（11 か月）,おはりつきーん！ 大量のライトアモ！
2:18,SAI,メンバー（1 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:20,おじにぃ,メンバー（1 年 3 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:24,森の珍獣,メンバー（5 か月）,りつきん小さいｗ
2:24,清楚枠,メンバー（7 か月）,一瞬固まったわね
2:25,Snow man,メンバー（1 年 6 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:です
2:26,マスピの影,メンバー（5 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:26,本間健太,非メンバー,おはりつきーん
2:31,ヨッツヨツ,非メンバー,斜め上見てる
2:33,びび,メンバー（3 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:38,若尾げんじまる,メンバー（1 年）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつNbo:
2:42,Snow man,メンバー（1 年 6 か月）,口元覆ってない！
2:45,ぴぷ,メンバー（1 年 6 か月）,いえーい！！
2:47,清楚枠,メンバー（7 か月）,いえーい！！
2:48,蓼目口マ,メンバー（1 年 5 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:48,若尾げんじまる,メンバー（1 年）,いええええええい！
2:49,Snow man,メンバー（1 年 6 か月）,かわいい
2:51,トキジ,メンバー（11 か月）,お、G7 練習してるん？
2:57,SAI,メンバー（1 か月）,いえーい！
3:12,Snow man,メンバー（1 年 6 か月）,口元覆っているのもキュートよ
3:13,清楚枠,メンバー（7 か月）,お口かわいい
3:23,トキジ,メンバー（11 か月）,今日からかw
3:23,清楚枠,メンバー（7 か月）,今日からかーい！
3:25,ポリエチレン,メンバー（8 か月）,おはりつきーん
3:26,いぬ大福,メンバー（1 年 8 か月）,マスクなんざいらねーぜ
3:27,若尾げんじまる,メンバー（1 年）,顔見せて！
3:28,抹茶プリン,メンバー（8 か月）,それはそれでありなのよ…
3:30,りょう,メンバー（3 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
3:37,本間健太,非メンバー,どちらも可愛い
3:48,五流兎,非メンバー,当たれば強い！
3:51,Snow man,メンバー（1 年 6 か月）,ウイングマン
4:03,トキジ,メンバー（11 か月）,G7 は弾がめちゃ落ちるから、距離感がちょっとムズい
4:08,がさんく,メンバー（1 年 1 か月）,:_ンボあいさつOha::_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:10,c,非メンバー,G7はいいぞ
4:11,Snow man,メンバー（1 年 6 か月）,せやね
4:22,五流兎,非メンバー,当たれば強いは実質最強
4:28,タケヤリ,メンバー（1 年 2 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:28,清楚枠,メンバー（7 か月）,ヘッショ入れば勝ち卍やね
4:36,Snow man,メンバー（1 年 6 か月）,楽しいよね
4:42,がさんく,メンバー（1 年 1 か月）,元気が一番
4:42,Corrupt Pixel,非メンバー,KonRitsukiiiii
4:49,Snow man,メンバー（1 年 6 か月）,近距離だとしんどいけど
4:50,Corrupt Pixel,非メンバー,Good morning Ritsuki!
4:57,トキジ,メンバー（11 か月）,ヘッショが当たれば、ね……
4:58,おじにぃ,メンバー（1 年 3 か月）,勝ったなガハハ
5:00,豆苗,メンバー（1 か月）,3スコG7でちくちくシールド育てて、R301ばらまくのたのしい
5:01,五流兎,非メンバー,マウスが壊れてしマウス
5:04,Jinsu Park,非メンバー,こんりつきん！
5:10,豆苗,非メンバー,apex爽快感あるよね
5:11,c,非メンバー,2スコ？
5:12,シガラミィ,非メンバー,おはりつきーん！朝活たすかる
5:13,くろしゅな,非メンバー,おはりつきん！
5:24,Snow man,メンバー（1 年 6 か月）,大丈夫そう
5:25,AbdelRahman AbdelMaksoud,非メンバー,RItsuki-San!
5:27,リギニス,メンバー（9 か月）,:_ンボあいさつOha::_ンボあいさつりつあ::_ンボあいさつきんあ:
5:31,ナオチャン,非メンバー,おはりつきーん！！！
5:38,SAI,メンバー（1 か月）,夢は見なかったね・・・
