timestamp,author_name,membership,text
-5:33,Choma Toma,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:31,S Ryu,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:27,撫子,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:24,蓼目口マ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo::_ンボあいさつNbo:
-5:15,そごろう,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:12,Snow man,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:08,いとうめたる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:07,がさんく,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:04,くったん,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:02,若尾げんじまる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:00,Snow man,メンバー（1 年）,きちゃー
-4:57,もちのしらたま,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:53,ーqるしゅ,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:46,たぬたぬ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:40,キノ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:25,るいゆ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:23,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:13,キモルム,メンバー（6 か月）,急！
-4:13,りゅーいち,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:56,あん子,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:53,撫子,メンバー（2 か月）,振り返りっちゃんかわいい
-3:51,ななこ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:51,ぽりばけつ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:41,カラス,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:35,かわらそば,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:20,アマヤ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:18,かわらそば,メンバー（1 年）,後ろ振り返ってるね
-3:02,副隊長シュラパサメ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:00,うつろ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:51,とか,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:37,タケヤリ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:18,クライスクロイツ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:15,でびたろ,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:04,すける,メンバー（1 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-2:00,労働者320,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:49,あき,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:29,ふる,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:28,たかぼー,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:25,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつNbo::_ンボあいさつNbo:してきた
-1:06,ブラックノート,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:01,ネリー・モノ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:50,おにおに,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:42,みやび,メンバー（6 か月）,ありがとう😭
-0:36,月見だんご,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:35,バンダナぼうし,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:35,Snow man,メンバー（1 年）,今年最後の:_ンボあいさつNbo::_ンボあいさつNbo:
-0:33,抹茶プリン,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:22,マスピの影,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:20,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつNbo:納め
-0:11,十面,非メンバー,たすかる
0:04,マスピの影,メンバー（6 か月）,振り返ってる…
0:04,撫子,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:07,ねるみかん,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:09,いとうめたる,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ:
0:23,いとうめたる,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:23,あぶぶ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:23,るふとん,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:23,とか,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:27,るいゆ,メンバー（6 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:29,クライスクロイツ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
