timestamp,author_name,membership,text
-0:32,ふりっつ,メンバー（1 年 2 か月）,こっちか？
-0:30,ケンフー,メンバー（1 年 11 か月）,何が起こった
-0:30,うさみ,メンバー（1 年）,こっち？
-0:29,青亀,メンバー（1 年 11 か月）,ここか
-0:29,ガリレオ,メンバー（1 年 2 か月）,こっちかな
-0:29,da pan,非メンバー,こっちかな
-0:28,KeyKey,メンバー（1 年 2 か月）,立て直しえらい
-0:28,ましょうのだいふく,新規メンバー,おはしいな？
-0:26,ヘィヴンダックス,メンバー（1 年 11 か月）,枠取り直しナイスゥ！
-0:26,Yuuki,メンバー（1 年 11 か月）,今度は大丈夫かな
-0:25,松井、,メンバー（7 か月）,:_ありがとナイス::_ありがとナイス:
-0:24,りそな,メンバー（1 年 7 か月）,ここが新しいハウスね！
-0:24,シャムねこ,メンバー（1 年 11 か月）,こっちか
-0:21,ぺねみ,メンバー（10 か月）,こっちか？
-0:21,カービィ,メンバー（1 年 1 か月）,取り直しか
-0:20,ぎるがめっしゅ,メンバー（1 年 10 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
-0:20,ころぱふ,メンバー（3 か月）,作り直し:_ありがとナイス:
-0:19,ひこわさ,メンバー（10 か月）,こっち？
-0:18,Aioi Yukko,メンバー（1 年 11 か月）,移動
-0:17,HANS-san,非メンバー,Technical Issues:chillwcat:
-0:16,かわ3,メンバー（1 年 6 か月）,つべくん頼む〜
-0:16,維管束と優しさの和え物,メンバー（1 年 8 か月）,移った？
-0:15,しーな,メンバー（3 か月）,取り直しおつです
-0:15,白浜海岸,メンバー（1 年 4 か月）,枠の不調かな？
-0:14,Tobahide,メンバー（1 年 11 か月）,こっちか
-0:14,ピヨ,メンバー（3 か月）,こっちか
-0:14,アキパン,メンバー（1 年 2 か月）,ここかあ！
-0:12,azuri,メンバー（4 か月）,:_ありがとナイス::_ありがとナイス:
-0:11,Rコディーノ,メンバー（5 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
-0:11,ひがしのそら,メンバー（1 年 5 か月）,:_ありがとナイス:
-0:10,Metallic,メンバー（1 年 2 か月）,:_ありがとナイス:
-0:10,もつもつ,新規メンバー,ここか
-0:10,ヘビマヨくんまたはデブの食い物,メンバー（1 年 2 か月）,ここか、祭の会場は
-0:09,村田ネギ,メンバー（1 年 10 か月）,:_ありがとおはよう:枠
-0:09,ねこまた,非メンバー,枠変えかな
-0:08,するとしようか、王の話を,メンバー（1 年 8 か月）,こっちは平気か？
-0:08,かそく,メンバー（1 年 11 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
-0:08,ryu yan,メンバー（2 か月）,こっちか！
-0:08,ぬべ,非メンバー,えらい
-0:08,ちほつん,メンバー（1 年 3 か月）,こっちか
-0:07,Jeremy Lin,メンバー（1 年 8 か月）,:_ありがとしいな夜見作::_ありがとびっくり:
-0:07,くまま,メンバー（1 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
-0:06,フナムシ,非メンバー,対応えらい
-0:06,高撫ばたこ,メンバー（1 か月）,:_ありがとおはよう:枠取り直し
-0:05,ryu yan,メンバー（2 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
-0:05,Iceman,メンバー（1 年 11 か月）,:_ありがとナイス:
-0:05,うにあ,メンバー（8 か月）,枠逝けたかな
-0:04,Daishi,メンバー（4 か月）,きたよぅ
-0:04,青いザリガニ,メンバー（1 年 10 か月）,ここね
-0:02,!とーくん!,メンバー（8 か月）,:_ありがとえらい:
0:03,かいかい,メンバー（1 年 1 か月）,:_ありがとナイス:
0:04,かおう_____ta,メンバー（1 年 7 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:04,ねこさん1号,メンバー（5 か月）,いけるか
0:05,そうめり,メンバー（8 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
0:05,taketo RONA,メンバー（5 か月）,部屋間違えました
0:06,ねこまた,非メンバー,おけおけ
0:07,Ketaけた,メンバー（1 年 11 か月）,:_ありがとおはよう:新枠～
0:08,_くじゅまるさん,メンバー（3 か月）,ここがあの女のハウスね
0:11,くろあた,メンバー（1 年 2 か月）,:_ありがとえらい:
0:11,鶴部織羽,非メンバー,7秒のアーカイブになた
0:11,こまち,非メンバー,おはしいな～
0:12,ににんに兄弟,非メンバー,次はグルりませんように
0:13,パーシング,メンバー（1 か月）,ここかな
0:13,ろろ,非メンバー,素早い対応
0:14,-銘-あき-A ki,メンバー（1 年 11 か月）,きちゃ～
0:14,ゆるみーもん,非メンバー,はしいなー
0:14,凝固,メンバー（1 年 2 か月）,部屋チェンジ
0:14,ジーク,非メンバー,ＯＰだけの動画になってたな
0:15,ぽき丸,メンバー（2 か月）,4回行動えらい
0:15,アキパン,メンバー（1 年 2 か月）,おっいけたか
0:15,笹かまぼこ,メンバー（5 か月）,こっちか
0:15,Rei_ S2,メンバー（2 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
0:17,リリーネ,メンバー（1 か月）,こっちに移動かな
0:17,ゆらは,新規メンバー,:_ありがとナイス:
0:17,ねこまた,非メンバー,きちゃあ
0:17,Tobahide,メンバー（1 年 11 か月）,シュタインズ・ゲートはこっちだったか
0:19,つばさ,メンバー（9 か月）,:_ありがとおはよう::_ありがとしいな:
0:19,Iceman,メンバー（1 年 11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:19,ぷりっつPretz,メンバー（1 年 4 か月）,:_ありがとおはよう::_ありがとしいな夜見作:
0:20,すだえ・にるえ,非メンバー,きちゃ？
0:20,かわ3,メンバー（1 年 6 か月）,:_ありがとおはよう::_ありがとしいな:
0:20,Taku.,メンバー（7 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:20,ふりっつ,メンバー（1 年 2 か月）,はじまったな
0:20,ひこわさ,メンバー（10 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
0:21,pankys,メンバー（1 年 11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:21,するとしようか、王の話を,メンバー（1 年 8 か月）,きちゃ
0:21,最寄駅,新規メンバー,桁数やばかった
0:21,なおみNo.1,メンバー（1 年 11 か月）,:_ありがとゴリラ:
0:21,Qoo,メンバー（1 年 2 か月）,:_ありがとナイス:
0:21,ぐだのすけ,メンバー（1 年 2 か月）,きた～！
0:22,Ketaけた,メンバー（1 年 11 か月）,きちゃ～
0:22,カービィ,メンバー（1 年 1 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:22,kbf kbf,メンバー（1 年 11 か月）,うっさ！
0:23,トラトラトラ,非メンバー,あっぶね
0:23,星野空,メンバー（2 か月）,おはしいなー
0:23,さこう,メンバー（10 か月）,いけとる！
0:23,WRyou_Italy,メンバー（1 年 11 か月）,枠取り直しえらい
0:23,ドンノリ,メンバー（2 か月）,７秒！？
0:24,必死な菱川,メンバー（1 年 11 か月）,:_ありがとナイス::_ありがとナイス::_ありがとナイス:
0:25,ぐだのすけ,メンバー（1 年 2 か月）,:_ありがとおはよう:総会～:_ありがとナイス:
0:25,かそく,メンバー（1 年 11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:25,ミカグラ,メンバー（10 か月）,新枠こっちか
0:25,ねこさん1号,メンバー（5 か月）,おー
0:25,あいす。,メンバー（5 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:25,うにら,非メンバー,きちゃ！
0:25,鶴部織羽,非メンバー,おはしいな～
0:25,yasu fuji,メンバー（1 年 4 か月）,お！
0:25,凝固,メンバー（1 年 2 か月）,:_ありがとおはよう::_ありがとしいな:
0:26,レイゴジラ,メンバー（1 年 7 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:26,ピヨ,メンバー（3 か月）,きちゃ
0:26,龍さん,メンバー（1 年 2 か月）,きちゃあー
0:26,みやぴ,非メンバー,おはしいな〜
0:26,?!,非メンバー,おはしいな〜
0:26,Rコディーノ,メンバー（5 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:27,nep,メンバー（1 年 2 か月）,:_ありがとおはよう::_ありがとしいな:
0:27,もつもつ,新規メンバー,:_ありがとおはよう::_ありがとしいな:
0:28,Ri,非メンバー,きちゃ！
0:28,エルベル,メンバー（6 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:28,はいどれ,メンバー（1 年 11 か月）,おはOP
0:29,_くじゅまるさん,メンバー（3 か月）,きたなあ！
0:29,森りん無双,非メンバー,きたぁ
0:29,わたり,非メンバー,きちゃ〜
0:30,ななかな,メンバー（1 年 8 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:31,ガリレオ,メンバー（1 年 2 か月）,いけてるっぽい
0:31,天天,非メンバー,きちゃ
0:31,うりす,メンバー（11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:31,ひがしのそら,メンバー（1 年 5 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:32,SANA,メンバー（1 年 11 か月）,あ
0:32,かわ3,メンバー（1 年 6 か月）,きたきた！
0:32,ましょうのだいふく,新規メンバー,きちゃあ
0:32,Yuuki,メンバー（1 年 11 か月）,いけそうやね
