timestamp,author_name,membership,text
-0:08,akira,メンバー（1 年）,草
-0:08,桃花,非メンバー,草なんよ
-0:08,n2_ natsu,非メンバー,ガチやん
-0:07,anong,非メンバー,nani
-0:07,まめ,非メンバー,大会！？！？！？
-0:07,ばぶばぶ,非メンバー,草
-0:07,やたろう,非メンバー,草
-0:07,ちょここのすけ,非メンバー,なんで始まらないの？
-0:07,ライズ。,メンバー（6 か月）,これが椎名唯華クオリティ
-0:07,もんさん,メンバー（1 年）,草
-0:07,ぎるがめっしゅ,メンバー（1 年）,草
-0:07,がらなちゃん,メンバー（1 年）,草
-0:07,ダックスフント,メンバー（1 年）,遅延は草
-0:06,しゃけねこ,メンバー（6 か月）,草
-0:06,みやぴ,非メンバー,草
-0:06,つばさ,メンバー（6 か月）,うそだろ
-0:06,もこもこありえす,メンバー（1 年）,気づいたか
-0:06,ネムイ,メンバー（1 年）,草
-0:06,アッシマー,メンバー（6 か月）,草
-0:06,上やんっ!,メンバー（6 か月）,やったな
-0:06,杏仁豆腐,非メンバー,ww
-0:06,さこう,メンバー（6 か月）,ガチ勢かもしれないw
-0:06,ゆーた,新規メンバー,草
-0:06,イノウエシンイチ,非メンバー,ゴースティング対策か
-0:05,シャムねこ,メンバー（1 年）,草
-0:05,いっと,メンバー（2 年）,やってんねぇ！
-0:05,ラクタムβ,メンバー（1 年）,草
-0:04,フナムシ,非メンバー,5分遅延枠だったか～
-0:04,reno,メンバー（2 年）,予想通りすぎて草
-0:04,_ chami,メンバー（1 年）,まさかねー
-0:03,蓬莱来訪,メンバー（1 年）,え？始まってんの！？
-0:03,丸侠,非メンバー,既にメンツが狂人揃いで草
-0:03,ぷりっつPretz,メンバー（1 年）,草
-0:03,T雪村,非メンバー,ガチ勢で草
-0:02,まあライオン,メンバー（1 年）,草
-0:02,かおう_____ta,メンバー（1 年）,草
-0:02,鼻セレブ,メンバー（2 か月）,よみの方はもう始まってんだよなぁw
-0:02,あめんぼさん,非メンバー,草
-0:02,ノネム,メンバー（1 年）,草
-0:01,へーアジ,メンバー（1 年）,草
-0:01,夢たんぽ,メンバー（1 年）,草
-0:01,PEACE YOU,非メンバー,草。
-0:01,ふよふよ,非メンバー,しらない人ばっか
-0:01,あるは/ Alfa uhi,メンバー（2 年）,やっぱり大会設定のままで草草の草
-0:00,直樹カナン,メンバー（2 か月）,ガチ勢:_ありがとしぃしぃ:
0:00,めたるおー,非メンバー,対策できてるww
0:03,中空chukuu,メンバー（1 年）,草
0:03,ぺさま,メンバー（2 か月）,やっぱ草ランキングかぁ
0:03,伊豆半島,メンバー（1 年）,草
0:04,星野空,メンバー（2 か月）,これは配信初心者
0:04,あきとん,メンバー（6 か月）,草
0:07,kaniko,メンバー（1 年）,草
0:08,kbf kbf,メンバー（2 年）,期待を裏切らないアホさ
0:10,K-dolph DJ,非メンバー,遅延は草
0:10,零月夜,非メンバー,あれ？
0:11,青いザリガニ,メンバー（1 年）,草
0:13,寿司ナイト,メンバー（1 年）,ゴースティング対策ばっちり
0:15,kou,メンバー（1 年）,もう自己紹介してて草
0:15,なしき,非メンバー,アマアスcup！？
0:19,うりす,メンバー（1 年）,草
0:19,さゆり〔・`ω・ ́〕,メンバー（1 年）,お
0:20,山田慎之介,メンバー（1 年）,ギリギリ5分いかなくて:_ありがとえらい:
0:20,kana,メンバー（1 年）,やったな
0:22,するとしようか、王の話を,メンバー（1 年）,はやくぅ
0:26,Keys,メンバー（1 年）,きちゃ
0:32,ろろ,メンバー（6 か月）,:_ありがとおはよう::_ありがとしいな:…
0:32,Jeremy Lin,メンバー（1 年）,:_ありがとあやま::_ありがとあやまれ:
0:32,Rey,非メンバー,おはミュート
0:33,まー。,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:かわいい
0:34,どどDodo,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:36,くまま,メンバー（2 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:36,みやぴ,非メンバー,おはしいな
0:36,yama neko,非メンバー,apexの遅延そのままなんでしょうか?
