timestamp,author_name,membership,text
-0:13,タコスミス,メンバー（1 年）,ついえら
-0:13,83ヘチマ,メンバー（6 か月）,ツイートえらい！
-0:13,いっしー,非メンバー,工作かわいい
-0:13,えいの,メンバー（1 年）,ツイ:_ありがとえらい:
-0:12,カービィ,メンバー（1 年）,ついかわ
-0:12,マイコ,非メンバー,かわいいかわゆいか
-0:12,Rain,メンバー（1 年）,かわいい
-0:12,モコモコ,メンバー（6 か月）,背景の見切れマリオ可愛い
-0:12,ぴーわいおー,メンバー（2 か月）,ツイート:_ありがとえらい:
-0:11,machu,メンバー（1 か月）,ついえら
-0:10,みやぴ,非メンバー,ついえら
-0:10,?!,非メンバー,ついえら
-0:10,にわとり道理,非メンバー,かわいい
-0:10,かわ3,メンバー（1 年）,ツイート:_ありがとえらい:
-0:09,たべっちかにっち,メンバー（1 年）,ついえらかわいい
-0:09,DKYM,メンバー（1 年）,:_ありがとナイス:
-0:09,Virra,メンバー（1 年）,まちゅかわいい
-0:08,ぎるがめっしゅ,メンバー（1 年）,ツイート:_ありがとえらい:
-0:08,なんでもわかるニキ,非メンバー,大会かわいい
-0:08,アキパン,メンバー（1 年）,とにかくえらい！
-0:08,あぐり,メンバー（1 か月）,ツイートかわいい
-0:08,唐揚げ定食,メンバー（1 年）,ツイートかわいい
-0:08,うりす,メンバー（6 か月）,ついえら
-0:08,ぼんじゅ,メンバー（2 か月）,チラ見えマリオかわいい
-0:07,かま笹,非メンバー,マリオかわいい
-0:07,ふぉぐ。,メンバー（1 年）,ツイートかわいい
-0:07,ないむん,メンバー（1 年）,:_ありがとえらい:
-0:06,・パラプロピレン,メンバー（2 か月）,ひげおやじかわいい
-0:06,ワタル,メンバー（1 年）,ツイートかわいい
-0:06,ゾラ25,メンバー（6 か月）,:_ありがとしぃしぃ::_ありがとしぃしぃ:
-0:05,ミカグラ,メンバー（6 か月）,ついえら！
-0:05,archer,メンバー（6 か月）,ついえら
-0:05,サカナイト,非メンバー,ついえらかわいい
-0:05,鼻セレブ,メンバー（2 か月）,えらい
-0:05,ににんに兄弟,新規メンバー,:_ありがとえらい:かわいい
-0:05,はるすとん*,メンバー（1 年）,ついえらかわいい
-0:05,NEROymネロやん,非メンバー,えらいかわいい
-0:04,ハロ丸,メンバー（1 年）,:_ありがとえらい:
-0:03,放浪者,メンバー（2 か月）,つかわいい
-0:03,そうめり,メンバー（6 か月）,ツイート:_ありがとえらい:
-0:03,桃花,非メンバー,そろそろか
