timestamp,author_name,membership,text
-0:50,ぴーわいおー,メンバー（2 か月）,ツイート:_ありがとえらい:
-0:49,黎明卿新しきボンドルド,メンバー（1 年 3 か月）,ツイえら
-0:49,はるすとん*,メンバー（1 年 4 か月）,ツイート:_ありがとえらい:
-0:48,うにあ,メンバー（9 か月）,ついえ-
-0:48,洗濯テレビ,メンバー（4 か月）,つい:_ありがとえらい:
-0:47,たすく,メンバー（1 年）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:47,まっぴー,メンバー（1 年 11 か月）,ツイートできてえらい
-0:46,archer,メンバー（11 か月）,ついえら
-0:46,ルキルキ,非メンバー,ついえら
-0:46,川原太一,メンバー（1 年 3 か月）,ツイート:_ありがとえらい:
-0:46,shohei san,メンバー（1 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:45,Rei_ S2,メンバー（2 か月）,ツイートえらい
-0:45,Yuu,メンバー（1 年 9 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:45,chan k11,メンバー（2 か月）,:_ありがとえらい:
-0:43,machu,メンバー（1 か月）,ツイート:_ありがとえらい:
-0:43,うりす,メンバー（11 か月）,ついえら
-0:42,ガリレオ,メンバー（1 年 2 か月）,ついえら
-0:42,Rinka,非メンバー,ついえら
-0:41,ヘビマヨくんまたはデブの食い物,メンバー（1 年 3 か月）,:_ありがとしぃしぃ::_ありがとえらい:
-0:41,うさみ,メンバー（1 年）,ついーとえらい！
-0:41,Suzuya,メンバー（4 か月）,:_ありがとえらい:
-0:41,MiA,非メンバー,ついえら
-0:40,あずしろ,非メンバー,ついえら
-0:39,みやぴ,非メンバー,ついえら
-0:38,B 5,メンバー（1 年 11 か月）,:_ありがとえらい:
-0:37,いのりん,非メンバー,ついえら
-0:37,ダックスフント,メンバー（1 年 8 か月）,ついえら！
-0:36,LEON,メンバー（1 年 2 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:35,くろねこ,メンバー（1 年 2 か月）,:_ありがとえらい:
-0:35,エルベル,メンバー（6 か月）,ツイート:_ありがとえらい:
-0:34,ふぉるす,メンバー（1 年 11 か月）,ツイート:_ありがとえらい:
-0:34,Sun-ho Kim,非メンバー,しぃしぃ！？ えらい
-0:34,ひこわさ,メンバー（11 か月）,ツイート:_ありがとえらい:
-0:31,RelaxPoto,メンバー（1 年 7 か月）,:_ありがとえらい:
-0:31,ri-l,メンバー（4 か月）,:_ありがとえらい:
-0:26,暗黒犬太郎,メンバー（1 か月）,:_ありがとえらい:
-0:26,ASAKA,メンバー（1 年 11 か月）,おはしいな
-0:23,Rei_ S2,メンバー（2 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:23,はいばね,メンバー（8 か月）,:_ありがとえらい:
-0:23,あるは/ Alfa uhi,メンバー（1 年 11 か月）,ツイえら
-0:20,モヤシーズキングダム,メンバー（1 年 9 か月）,:_ありがとえらい:
-0:17,うりょ,メンバー（1 年 2 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:16,アカうぃん,メンバー（1 年 10 か月）,ツイート:_ありがとえらい:
-0:14,ふぉぐ。,メンバー（1 年 5 か月）,:_ありがとえらい:
-0:12,みなと,メンバー（1 年 11 か月）,:_ありがとえらい:
-0:08,うりょ,メンバー（1 年 2 か月）,ついえら
-0:07,Tobahide,メンバー（1 年 11 か月）,:_ありがとしぃしぃ::_ありがとびっくり:
-0:06,だるだる,メンバー（1 年 1 か月）,:_ありがとしぃしぃ::_ありがとしぃしぃ::_ありがとえらい:
-0:02,メインクーン,メンバー（2 か月）,東京から帰ってきてその日に配信はえらすぎる
0:04,ぜろぱか,非メンバー,ついえら
0:07,M O,非メンバー,きちゃ
0:08,pankys,メンバー（1 年 11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:08,ちなまる,メンバー（1 年 11 か月）,:_ありがとおはよう::_ありがとしいな:
0:10,わさび,非メンバー,きちゃあ
0:11,ぺねみ,メンバー（11 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
