timestamp,author_name,membership,text
-0:39,kbf kbf,メンバー（2 年）,おは工作～
-0:38,kaniko,メンバー（1 年 4 か月）,ツイかわいい
-0:36,昼行燈,非メンバー,かわいい
-0:33,はららん!!,メンバー（2 か月）,ついえらかわいい:_ありがとしぃしぃ:
-0:32,chan k11,メンバー（2 か月）,:_ありがとえらい:
-0:32,mei,非メンバー,テストプレイ盛り上がってるらしい、かわいいな
-0:31,ニコフ,メンバー（1 か月）,:_ありがとおはよう:かわいい
-0:31,ライズ。,メンバー（5 か月）,:_ありがとおはよう::_ありがとしいな:
-0:31,三麻空,非メンバー,おはかわ〜
-0:30,高撫ばたこ,メンバー（1 か月）,:_ありがとくずー:かわいい
-0:28,ジンベエザメのリベル,非メンバー,ツイかわいい
-0:28,のま,非メンバー,かわいい
-0:27,さかだち大好き,メンバー（2 か月）,おはかわ
-0:26,オレオ,非メンバー,おはかわいい
-0:25,エイレン,非メンバー,おは工作かわいい
-0:25,イープカ,メンバー（1 年）,かわいいは語尾なのか？
-0:25,supi,非メンバー,おはかわいい
-0:23,ハンカチ日本代表,非メンバー,もう来月1位だろこれかわいい
-0:22,めたるおー,非メンバー,おはにじホロコラボ～
-0:22,れるく,非メンバー,おせーぞかわいい
-0:21,ルキルキ,非メンバー,おはかわいい
-0:21,ちなまる,メンバー（2 年）,ついえら
-0:20,いた,メンバー（2 か月）,はよかわいい
-0:20,Dayviyan Soull,非メンバー,running between Rushia and Shinna is kinda hard tho
-0:20,Suzume Ya,新規メンバー,かわいい
-0:20,らりるれろ,新規メンバー,:_ありがとくずー:かわいい
-0:19,腰椎ヘルニア,非メンバー,きょうもかわいいな、
-0:19,くむくむ,非メンバー,おはかわいい
-0:19,かにかに,非メンバー,かわいい
-0:16,ぼん,非メンバー,たのしみですかわいい
-0:15,直樹カナン,メンバー（2 か月）,:_ありがとゴリラ:<かわいい
-0:15,ドリハメッ君,非メンバー,可愛さの擬人化
-0:13,ゆおた,非メンバー,かわいい
-0:13,エアコンのリモコン,メンバー（2 か月）,今日もかわいいぞ、唯華
-0:12,ユウ,非メンバー,おはかわいいー
-0:12,サイバラ,メンバー（1 年）,これが女子会ですか
-0:09,あまのたいら,メンバー（11 か月）,ちょっと思ったけど新規がいずらそう
-0:09,Sekitoセキト,メンバー（1 年）,:_ありがとおはよう:かわいい
-0:09,Ri,非メンバー,おはかわいい〜
-0:08,腰椎ヘルニア,非メンバー,工作かわいい
-0:07,ゆおた,非メンバー,ぶつ切りかわいい
-0:07,すっぺらぴっちょんアキト,メンバー（9 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
-0:06,パーシング,メンバー（1 か月）,:_ありがとおはよう:かわいい
-0:06,永久機関回転寿司,非メンバー,かわいい
-0:06,れるく,非メンバー,遅刻だぞ可愛い
-0:05,mtm,非メンバー,珍しいメンバーだな
-0:03,洗濯テレビ,メンバー（4 か月）,:_ありがとおはよう:かわいい〜
-0:02,笑顏,メンバー（2 か月）,かわいい
-0:00,chocobo choco,非メンバー,クズかわいい
-0:00,キキ,非メンバー,これは１２月１位間違いなしだな！かわいい
0:03,まるいくらげ,非メンバー,たのしみかわいい
0:03,クロウ,非メンバー,キルムーブ見たいかわいい
0:03,ほしがみ,メンバー（6 か月）,かわいいよ～～
0:06,マルヲ,非メンバー,工作かわいい
0:06,すじ,非メンバー,かわいい
0:07,ぼろ,メンバー（1 年 9 か月）,唯華かわいい
0:07,リャタフー,非メンバー,遅刻かわいい
0:08,Rey,非メンバー,ゴリスナーかわいい
0:09,アリアch,メンバー（1 年 7 か月）,かわいい💕
0:10,もぐ,非メンバー,始まる前に新規いんの？
0:10,つなつな,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:10,白の落書き,メンバー（1 年 5 か月）,お
0:10,うま,非メンバー,あ
0:11,かおう_____ta,メンバー（1 年 7 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:11,ぼたもっちん,非メンバー,おはかわいい
0:11,ほしがみ,メンバー（6 か月）,待機所意味ないかわいい
0:12,pankys,メンバー（2 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:12,ぷりっつPretz,メンバー（1 年 5 か月）,:_ありがとおはよう::_ありがとしいな:
0:12,Hitsuji -eng sub-,非メンバー,かわいい
0:12,Yuuki,メンバー（2 年）,きたー！
0:12,ri-l,メンバー（2 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:12,ふくざわゆきち,メンバー（6 か月）,:_ありがとおはよう:かわいい
0:12,カービィ,メンバー（1 年 2 か月）,:_ありがとおはよう:かわいい
0:12,うま,非メンバー,う
0:12,akira,メンバー（1 年）,おはかわいい
0:13,クレシアン,メンバー（1 年 3 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:13,清風明月,メンバー（1 年 7 か月）,ツイートかわいい
0:14,Iceman,メンバー（2 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス: かわいい
0:15,うま,非メンバー,ま
0:15,Valcke Soan,非メンバー,かわいい
0:16,Rei_ S2,メンバー（2 か月）,キルムーブたのしみ
0:16,かわ3,メンバー（1 年 7 か月）,:_ありがとおはよう::_ありがとしいな:
0:16,うさみ,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:16,フナムシ,非メンバー,工作かわいい
0:17,ろととと,非メンバー,おはし
0:17,ぺんたん,非メンバー,かわいい
0:18,うま,非メンバー,さおそ
0:18,sng ymd,メンバー（5 か月）,みんなかわいい
0:18,kbf kbf,メンバー（2 年）,OPありかｙ
0:18,アンヘル,メンバー（2 か月）,:_ありがとしぃしぃ:かわいい
0:19,raraodk,非メンバー,きちゃ
0:20,大睦,非メンバー,遅刻かわいい
0:20,陽介,メンバー（1 年）,かわいいかわいい
0:20,ひがしのそら,メンバー（1 年 6 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:20,狐影,非メンバー,こんばんしいな～ かわいい
0:20,ターニングポイント,メンバー（2 年）,:_ありがとおはよう:かわいい工作
0:20,のぞみGO,非メンバー,いっぱいかわいい
0:20,れるく,非メンバー,きちゃーかわいい
0:20,ゆかゆか,非メンバー,わくわく
0:21,夢たんぽ,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:21,ににんに兄弟,新規メンバー,ぶつ切りかわいい待機
0:22,まんゆー,メンバー（1 年 1 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:22,ぽき丸,メンバー（2 か月）,おはかわいい
0:22,さゆり〔・`ω・ ́〕,メンバー（1 年）,OPかわいい
0:22,直樹カナン,メンバー（3 か月）,きちゃか
0:22,あんのうさぎ,メンバー（1 年）,:_ありがとおはよう:かわいい
0:24,さちくろ,メンバー（1 年 5 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:24,はまなか,非メンバー,かわいい
0:24,Take,非メンバー,おはかわいい
0:24,焼き海苔,メンバー（7 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:24,so,メンバー（2 か月）,しぃしぃいつもかわいいよ
0:25,オクラトラ,非メンバー,おはかわいい
0:25,はいどれ,メンバー（2 年）,:_ありがとおはよう::_ありがとしいな:
