timestamp,author_name,membership,text
-2:51,ねこさん1号,メンバー（6 か月）,ついえら
-2:48,Rei_ S2,メンバー（2 か月）,ツイートえらい
-2:43,ひこわさ,メンバー（6 か月）,ツイート:_ありがとえらい:
-2:43,ミカグラ,メンバー（6 か月）,5分後を予測してコメントしなきゃ...
-2:40,あるは/ Alfa uhi,メンバー（2 年）,ツイえら
-2:38,ルキルキ,新規メンバー,ついえら
-2:35,トマト侍,新規メンバー,がんばれ！！
-2:34,ダックスフント,メンバー（1 年）,ついえら！
-2:26,洛水佑馬,メンバー（1 年）,ツイート:_ありがとえらい:
-2:26,_くじゅまるさん,メンバー（2 か月）,えらすぎる
-2:24,ラクタムβ,メンバー（1 年）,がんばって！
-2:20,ににんに兄弟,新規メンバー,ドキドキしてきた
-2:10,ねこさん1号,メンバー（6 か月）,あと1分で開始だ
-2:04,いのりん,非メンバー,ついえら
-2:03,アズキ8,メンバー（1 年）,頑張って
-2:02,Leah Gamewsk,非メンバー,5分後はしすこさんが香水歌ってる頃かな
-2:02,ryu yan,メンバー（2 か月）,しぃしぃ頑張れ！
-1:55,直樹カナン,メンバー（2 か月）,:_ありがとナイス:
-1:55,くま,メンバー（6 か月）,:_ありがとえらい:
-1:48,Rinka,非メンバー,がんばれー！
-1:44,しげ,メンバー（1 年）,:_ありがとナイス:
-1:38,うさみ,メンバー（1 年）,配信のせいでシスコのPC激重とかだったら笑うしかない
-1:33,桃野パピコ,メンバー（6 か月）,がんばれー:_ありがとナイス:
-1:33,レイゴジラ,メンバー（1 年）,頑張れ！
-1:33,ふりっつ,メンバー（1 年）,シス猫は見られるんですか…？
-1:30,もちピザ,メンバー（2 年）,５分後にちゃんぽん取ってるの予測しとくか
-1:24,ぺん,メンバー（2 か月）,がんばれーーー！！！
-1:19,はくさん,メンバー（6 か月）,頑張って💪
-1:12,中空chukuu,メンバー（1 年）,ファイト！
-1:03,_くじゅまるさん,メンバー（2 か月）,勝ったなガハハ
-1:00,かそく,メンバー（2 年）,がんばれー！5分前から応援してる！
-0:51,みなみ,メンバー（1 年）,5分後のしぃしぃ頑張れ！
-0:51,toy2,メンバー（2 年）,ついに本番だー！ファイトー！
-0:48,ねこさん1号,メンバー（6 か月）,開始だ！
-0:44,うにあ,メンバー（6 か月）,五分後にがんばれー
-0:43,ゆーか,非メンバー,めっちゃ頑張れ！応援してる！
-0:36,稲羽,メンバー（6 か月）,頑張れ〜！！！
-0:31,天天,非メンバー,頑張れ〜！
-0:26,へもへも,新規メンバー,:_ありがとナイス:
-0:23,ににんに兄弟,新規メンバー,がんばれー！
-0:22,アルマゲドン,非メンバー,おはしいな
-0:15,凝固,メンバー（1 年）,未来で応援してる…！
-0:15,じひつ,非メンバー,楽しんで！
-0:08,桃園あい,非メンバー,シス猫コント始まったな（予約）
-0:05,うさみ,メンバー（1 年）,5分未来の椎名さんがんばれー！
-0:01,きょうからいちにちめ,非メンバー,おはしーなー！！
0:03,めんとす,メンバー（1 年）,見守るぞい
0:03,アキパン,メンバー（1 年）,しぃしぃ！？
0:07,taketo RONA,メンバー（6 か月）,きちゃ
0:08,かおう_____ta,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:12,ねこさん1号,メンバー（6 か月）,始まった
0:15,くま,メンバー（6 か月）,きちゃあああ
0:17,tk,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:18,あらいひと,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:19,ukurai,メンバー（2 年）,:_ありがとおはよう::_ありがとしいな:
0:21,アズキ8,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな:
0:21,ひがしのそら,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:21,まどぶち,非メンバー,おはしいなー
0:24,Metallic,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな:
0:27,松井、,メンバー（6 か月）,OP助かる
0:27,KaL,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな:
0:28,猫の足,非メンバー,おはしぃな～
0:32,みやぴ,非メンバー,おはしいな〜
0:32,アカナシ,メンバー（2 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:35,ライズ。,メンバー（6 か月）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:35,ネムイ,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな:
0:35,時雨大好き,新規メンバー,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:36,ぎるばーとぐれいぷ,非メンバー,かわいいよしぃしぃ
0:37,うさみ,メンバー（1 年）,OPあるやん
0:37,かそく,メンバー（2 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:40,ににんに兄弟,新規メンバー,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
0:40,てぃれもん,メンバー（1 年）,:_ありがとおはよう::_ありがとしいな::_ありがとナイス:
