timestamp,author_name,membership,text
-3:44,ユネCL,メンバー（1 年）,:_でろ文字::_でろ文字:
-3:40,Kenixケニクス,メンバー（1 か月）,:_でろ文字::_でろ文字:
-3:35,Kaedechan,メンバー（6 か月）,:_でろ文字::_でろ文字:
-3:34,ゴールドオーガー,メンバー（1 年）,:_でろ文字::_でろ文字:
-3:31,梟monzirou,メンバー（2 か月）,:_でろ文字::_でろ文字:
-3:31,はららん!!,メンバー（2 か月）,:_でろ文字::_でろ文字:
-3:28,オムライス大王,メンバー（1 年）,がんばって〜！
-3:26,チェク,メンバー（1 年）,:_でろ文字::_でろ文字:
-3:25,ロッシュ,メンバー（1 年）,:_でろ文字::_でろ文字:
-3:17,10SAI,新規メンバー,:_でろ文字::_でろ文字:
-3:17,はいい,非メンバー,こんばんは でろでろ
-3:12,京,メンバー（1 年）,:_でろ文字::_でろ文字:
-3:04,サカタハルミジャン#楓組,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:57,かげちよ,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:56,くまくら ばん,メンバー（6 か月）,:_でろ文字::_でろ文字:
-2:52,なみか,非メンバー,でろでろ
-2:51,v7,新規メンバー,:_でろ文字::_でろ文字:
-2:51,こみ,メンバー（2 か月）,:_でろ文字::_でろ文字:
-2:47,Hiro-han,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:47,みかん,新規メンバー,:_でろ文字::_でろ文字:
-2:36,浅森,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:34,Lexis,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:28,くるーん,非メンバー,たのしみ！
-2:19,おふとんorグンマー民族,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:08,Nick_O,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:07,みやすいアヒルの子,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:03,八房ゲント,メンバー（1 年）,:_でろ文字::_でろ文字:
-2:02,弱者の板,メンバー（6 か月）,:_でろ文字::_でろ文字:
-2:01,たましいき,メンバー（1 年）,:_でろ文字::_でろ文字:
-1:50,柴犬,メンバー（2 か月）,:_でろ文字::_でろ文字:
-1:42,チェク,メンバー（1 年）,サムネかわいいな・・・
-1:42,きょーしま,メンバー（1 年）,でろ…でろ…
-1:39,あれっくすぱーかー,メンバー（2 か月）,でろでろ
-1:36,水色,メンバー（1 年）,:_でろ文字::_でろ文字:
-1:32,_ haku,メンバー（1 年）,:_でろ文字::_でろ文字:
-1:30,ゴールドオーガー,メンバー（1 年）,:_でろ文字::_でろ文字:
-1:29,ロッシュ,メンバー（1 年）,:_でろ文字::_でろ文字:
-1:21,ライス。,メンバー（2 か月）,:_でろ文字::_でろ文字:
-1:04,京助,メンバー（1 年）,:_でろ文字::_でろ文字:
-0:46,Tokaku,メンバー（6 か月）,:_でろ文字::_でろ文字:
-0:35,ぜふらん,メンバー（6 か月）,:_でろ文字::_でろ文字:
-0:32,はむ,メンバー（6 か月）,:_でろ文字::_でろ文字:
-0:30,きじねこ,メンバー（6 か月）,:_でろ文字::_でろ文字:
-0:26,ShiO,メンバー（1 年）,:_でろ文字::_でろ文字:
-0:23,はまち,メンバー（1 年）,:_でろ文字::_でろ文字:
-0:23,ちんちら,メンバー（1 年）,:_でろ文字::_でろ文字:
-0:22,ときるな,メンバー（1 年）,:_でろ文字::_でろ文字:
-0:09,なみか,非メンバー,でろでろ
0:00,田中一番,非メンバー,まだー？
0:07,REMY,メンバー（1 年）,:_こん文字::_でろ文字:
0:10,たましいき,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:14,サカタハルミジャン#楓組,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:14,はまち,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:19,ロッシュ,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:19,ゴールドオーガー,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:20,カナデッチマン,メンバー（2 か月）,:_こん文字::_でろ文字::_ーん文字:
0:20,みやすいアヒルの子,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:22,浅森,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:22,梟monzirou,メンバー（2 か月）,:_こん文字::_でろ文字:
0:24,Tokaku,メンバー（6 か月）,:_こん文字::_でろ文字::_ーん文字:
0:24,ライス。,メンバー（2 か月）,:_こん文字::_でろ文字::_ーん文字:
0:24,ユネCL,メンバー（1 年）,:_こん文字::_でろ文字::_ーん文字:
0:24,はむ,メンバー（6 か月）,:_こん文字::_でろ文字::_ーん文字:
