timestamp,author_name,membership,text
-5:31,コンセントの深淵,メンバー（4 か月）,:_でろ文字::_でろ文字:
-5:12,極振り脳,メンバー（1 か月）,:_でろ文字::_ーん文字:
-5:08,サカタハルミジャン#楓組,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:54,ゴールドオーガー,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:52,Arqo,メンバー（5 か月）,:_でろ文字::_でろ文字:
-4:52,水色,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:50,みにら,メンバー（7 か月）,:_でろ文字::_でろ文字:
-4:44,ロッシュ,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:31,_ haku,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:25,天翔る迷惑,メンバー（11 か月）,:_でろ文字::_でろ文字:
-4:19,ぱて,非メンバー,でろでろ
-4:03,きょーしま,メンバー（11 か月）,たのしみ
-4:03,Rexal 1,非メンバー,なぜでろーん
-3:56,ユネCL,メンバー（11 か月）,:_でろ文字::_でろ文字:
-3:49,こみ,メンバー（2 か月）,:_でろ文字::_でろ文字:
-3:36,那島タフト,メンバー（6 か月）,:_でろ文字::_でろ文字:
-3:36,たましいき,メンバー（11 か月）,:_でろ文字::_でろ文字:
-3:12,Chu Ct,メンバー（11 か月）,:_カエデちゃん:
-3:12,ソンブレロ,メンバー（11 か月）,:_でろ文字::_でろ文字::_カエデちゃん::_たいまつ:
-2:20,木戸,メンバー（5 か月）,:_でろ文字::_でろ文字:
-2:19,はるるか,メンバー（3 か月）,:_でろ文字::_でろ文字:
-2:16,ザビエヌ,メンバー（2 か月）,:_でろ文字::_でろ文字:
-2:11,ゴールドオーガー,メンバー（11 か月）,:_でろ文字::_でろ文字:
-1:50,きじねこ,メンバー（7 か月）,:_でろ文字::_でろ文字:
-1:31,サカタハルミジャン#楓組,メンバー（11 か月）,:_でろ文字::_でろ文字:
-1:28,ゆずれもん,メンバー（3 か月）,:_でろ文字::_でろ文字:
-1:15,ゴールドオーガー,メンバー（11 か月）,さあ、今日も蹂躙が始まる…!!
-1:10,黒井じゃこぶ,メンバー（10 か月）,:_でろ文字::_でろ文字:
-1:09,Nameco,メンバー（11 か月）,:_でろ文字::_でろ文字:
-1:06,那島タフト,メンバー（6 か月）,:_でろ文字::_でろ文字:
-1:03,トム,メンバー（11 か月）,:_カエデちゃん::_オレンジサイリウム::_オレンジサイリウム:
-1:02,みにら,メンバー（7 か月）,:_でろ文字::_でろ文字:
-1:02,チェク,メンバー（11 か月）,:_でろ文字::_でろ文字:
-1:01,藤原.,メンバー（2 か月）,:_でろ文字::_でろ文字:
-1:00,ShiO,メンバー（11 か月）,:_でろ文字::_でろ文字:
-0:59,123 kame,メンバー（11 か月）,こんでろ
