timestamp,author_name,membership,text
-30:37,キースck,メンバー（11 か月）,:_カエデちゃん::_打撃しなさい:
-30:06,青赤,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-28:19,clice jin,非メンバー,Lスター最高～待機
-25:17,alba/アルバ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
-23:55,ロッシュ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:待機
-23:23,那島タフト,メンバー（5 か月）,待機！
-23:22,弱者の板,メンバー（7 か月）,まさかLスターがでろーんの動画を出すとは
-23:09,のぶきち,メンバー（1 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
-22:50,sodeboshi,メンバー（11 か月）,そろそろLスターのスタンプとかできてもいいかもしれない
-22:50,八房ゲント,メンバー（11 か月）,:_打撃しなさい::_カエデちゃん::_打撃しなさい:
-22:23,ゴールドオーガー,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-20:14,ゴールドオーガー,メンバー（11 か月）,リリイベきちゃぁぁぁぁ!!!!!!!!
-18:52,ロッシュ,メンバー（11 か月）,ほんとだ
-17:00,ゴールドオーガー,メンバー（11 か月）,しかもゲマズで買うと配信イベも見れるとか最高か!？
-15:41,clice jin,非メンバー,Ｌスターと言えばでろ～ん！でろ～んと言えばＬスター（絶対使うわけではない）誰よりもＬスターを愛してる数少ない？？希少プレイヤーでろ～ん持ってるな～
-14:53,hur c,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-14:53,きさらぎ,メンバー（1 か月）,:_打撃しなさい::_カエデちゃん::_たいまつ:
-14:28,時雨彼方,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-13:32,弱者の板,メンバー（7 か月）,:_打撃しなさい::_打撃しなさい:
-11:22,hur c,メンバー（11 か月）,Lスター最強！Lスター最強！
-9:47,ふぐぱん,新規メンバー,待機。
-9:21,あれっくすぱーかー,メンバー（1 か月）,Lスターよ伝説なれ
-7:21,ウオマブシ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-5:30,那島タフト,メンバー（5 か月）,:_打撃しなさい::_打撃しなさい:
-4:17,ほわりん,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-4:01,ゴールドオーガー,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-3:55,はむ,メンバー（6 か月）,:_カエデちゃん::_打撃しなさい:
-3:45,アダキ,メンバー（11 か月）,お前が必要Lスター
-3:30,キースck,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-3:29,Hiro-han,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-3:20,ライス。,メンバー（2 か月）,:_打撃しなさい::_打撃しなさい:
-3:20,ロッシュ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-2:25,アッシュ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-2:19,おふとんorグンマー民族,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-2:16,きくらげ,新規メンバー,:_打撃しなさい::_打撃しなさい:
-2:04,ShiO,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-1:59,弱者の板,メンバー（7 か月）,:_打撃しなさい::_打撃しなさい:
-1:40,サカタハルミジャン#楓組,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-1:30,みやすいアヒルの子,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-1:24,正義のダイエットオーク,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:57,かげちよ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:48,ルルミ-ルツ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:45,たましいき,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:44,キノ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:34,こみ,メンバー（2 か月）,:_打撃しなさい::_打撃しなさい:
-0:33,くろつめ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:29,辰井龍,非メンバー,待機コメが物騒で草
-0:24,Tokaku,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:21,けいかま,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
-0:12,んげぴっぴ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
0:01,樋口楓【にじさんじ所属】,確認済み,sorena
0:03,ナッコー.,非メンバー,でろーん大会頑張って
0:03,ナッツビー,非メンバー,たのしみね
0:03,えるめす,メンバー（11 か月）,:_でろ文字::_でろ文字:
0:04,SERA Q,メンバー（11 か月）,:_イーリス楓::_打撃しなさい:
0:04,けいかま,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:05,えるめす,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
0:07,ちむ仔。,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:07,サカタハルミジャン#楓組,メンバー（11 か月）,くるぞ1
0:08,たましいき,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:09,123 kame,メンバー（11 か月）,sorena
0:10,ユネCL,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
0:10,サカタハルミジャン#楓組,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:11,アッシュ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:12,くろつめ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:12,ゴールドオーガー,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
0:15,ちゃん。,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:15,ロッシュ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:15,ユネCL,メンバー（11 か月）,こんでろーん
0:19,弱者の板,メンバー（7 か月）,:_こん文字::_でろ文字::_ーん文字:
0:20,takano32,非メンバー,実況者さん、とは。
0:20,凉,メンバー（11 か月）,:_こん文字::_でろ文字:
0:20,ルルミ-ルツ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:20,那島タフト,メンバー（5 か月）,:_こん文字::_でろ文字::_ーん文字:
0:21,えるめす,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:21,錆雪,メンバー（6 か月）,:_こん文字::_でろ文字::_ーん文字:
0:21,t t,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:21,ジョス,非メンバー,sorena
0:21,きょーしま,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい::_打撃しなさい:
0:23,シャトル,メンバー（11 か月）,こんでろ～
0:23,くまくら ばん,メンバー（11 か月）,こんでろーん
0:23,ゴールドオーガー,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:23,チェク,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:23,豚骨粉骨大回転太郎,非メンバー,こんでろーん!
0:23,Tokaku,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:23,おふとんorグンマー民族,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:23,こみ,メンバー（2 か月）,:_こん文字::_でろ文字::_ーん文字:
0:24,玉藻すわ,メンバー（10 か月）,:_こん文字::_でろ文字::_ーん文字:
0:24,Beeさん,非メンバー,こんでろーん
0:24,ゆぅ。,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:25,ウオマブシ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:26,ミミネネ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:26,かげちよ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:27,けーおーびーつ,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:27,/ yoz,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:27,garry garry,非メンバー,こんでろーん!
0:28,Nameco,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:29,Hiro-han,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:29,ゔ ゙ ゙ ゙ ゙ ゙,メンバー（11 か月）,こんでろーん！
0:29,メガスクイド,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:30,きょーしま,メンバー（11 か月）,こんでろーん！
0:30,takano32,非メンバー,こんでろーん
0:31,Y C,非メンバー,こんでろーん！
0:31,アッシュ,メンバー（11 か月）,:_打撃しなさい::_打撃しなさい:
0:32,きさらぎ,メンバー（1 か月）,こんでろーん
0:32,Wizio,新規メンバー,Kondero
0:32,浅森,メンバー（11 か月）,:_こん文字::_でろ文字::_ーん文字:
0:32,ゆずれもん,メンバー（3 か月）,:_こん文字::_でろ文字::_ーん文字:
0:32,ado all,非メンバー,こんでろ！！！！！
0:34,ぐっさん,非メンバー,こんでろーん
0:34,はむ,メンバー（6 か月）,:_こん文字::_でろ文字::_ーん文字:
