timestamp,author_name,membership,text
-1:15:44,豚骨粉骨大回転太郎,非メンバー,ARKたすかる
-1:07:02,きりん,非メンバー,助かる！！
-1:06:29,きゃわせん,非メンバー,どのマップかな
-1:04:30,森ぱせり,非メンバー,初犯…？初犯……
-1:02:42,あめだま,メンバー（2 か月）,初犯もあるの！？（歓喜）
-1:02:04,おさふねこりどらす,メンバー（1 か月）,初犯ってことは？卵泥棒するのか
-58:02,正午,非メンバー,えっ！今日は卵食っていいのか！？
-56:02,ケイ,非メンバー,ハジキのARKを全人類が待っていた…待ってたぞ…！！！
-55:32,銀一 [giniti],非メンバー,えっ、ARKまだ続編サーバーあったのか
-54:45,団子。,非メンバー,ましろの海賊船どうなってるかみてほしいな
-53:35,銀一 [giniti],非メンバー,あんなにブームだったのに9月あたりから誰もやらないに等しかったのに。これを機に皆もう一度やってほしいな
-48:04,夜底,非メンバー,ていうかエクスまだ来ないのかな
-47:29,村人B,非メンバー,助かりすぎる
-47:29,まは,非メンバー,エクスで年始頃に行けるのか
-45:35,まは,非メンバー,今日ARK2で反応したにじさんじ結構いるし..
-43:46,くすんだ漆黒,非メンバー,やっぱ人多いな
-40:56,銀一 [giniti],非メンバー,最近は「にじさんじはAPEXかマイクラか麻雀」ってイメージ強いからな。ここいらでARKも目立ってほしいところ
-40:12,tarou yamada,非メンバー,arkは去年の2月頃だっけ？エクス待ち遠しいな
-38:55,佐久間有限,非メンバー,エクスって見るとエビオと混合してしまう
-36:35,りんご,非メンバー,ark2が始まる2年後、そん時にじさんじどうなってんだろ
-33:01,まは,非メンバー,なんやかんやエクスが一番面白いだからな にじ鯖PVPなら
-32:31,きりん,非メンバー,にじARK懐かしいな
-31:32,リカルドミロス,非メンバー,いつになったら新しいサーバーできるんや
-31:03,紗霧和泉,非メンバー,久々にじark助かる
-29:58,きとそり,非メンバー,そういえば新しいシリーズやるって話あったね
-28:08,むぎまる,非メンバー,あと30分、楽しみに待ってます
-21:22,【常世の闇】Hecate,非メンバー,初犯って何しでかすんですか...？
-18:17,豚骨粉骨大回転太郎,非メンバー,なんやろなぁ
-18:17,hitorime,メンバー（6 か月）,勝くんがやってたのが最後に見たARKかな
-15:41,hitorime,メンバー（6 か月）,そういやエクステは結局鯖開放するのけ？
-14:35,まは,非メンバー,エクス鯖は大本営発表待ち
-14:06,Noah,非メンバー,Arkの時はまだにじさんじ知らなくてアーカイブしか見れてなかったからめちゃくちゃ楽しみ
-12:38,Kyon Iti,非メンバー,ARKでにじ沼にドはまりしたから超楽しみ。最高のエンタメゲー
-11:17,まは,非メンバー,何なら本番中のトレンド上位はにじARKしかいない
-7:21,レン,非メンバー,ARK2は発売まだ先やろうし、エクスにじ鯖は年明けあたりにはやりそう
-7:11,hitorime,メンバー（6 か月）,エクスじゃなかったアベレーションだ！アレは開放するの？
-5:59,河内,メンバー（3 か月）,毎度、初犯もあるよ！で笑う
-3:08,❾レイヴン dominant,メンバー（2 か月）,待機
-2:49,❾レイヴン dominant,メンバー（2 か月）,間違えた初犯
-2:44,カッサン,メンバー（11 か月）,初犯の概念が壊れる
-1:36,❾レイヴン dominant,メンバー（2 か月）,ついでにもしお初の方いたら概要欄ようチェックでお願いしやす
-1:17,まは,非メンバー,ラグナロクやな
-0:44,桜雛,非メンバー,あ、
0:11,舞葵,非メンバー,ＡＲＫ2とアニメ・・・まだまだ先だけど待ち遠しいね
0:13,❾レイヴン dominant,メンバー（2 か月）,お
0:27,❾レイヴン dominant,メンバー（2 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
0:34,河内,メンバー（3 か月）,きちゃ
0:35,優雅,メンバー（1 年 4 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
0:35,豚骨粉骨大回転太郎,非メンバー,おはじめー
0:39,おさふねこりどらす,メンバー（1 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
0:40,金井冬詩,メンバー（7 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
0:42,渡瀬涼,非メンバー,おはじめ！
0:44,くりにゃ,非メンバー,おはじめー
0:45,茶の木,メンバー（1 年 11 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
0:46,ウタ,非メンバー,おはじめ〜
0:47,駄菓子好き,非メンバー,おはじめ〜
0:50,ya su,非メンバー,おはじめ～！！
0:51,Window Mace,非メンバー,ark2ってことはジェネシス3はないってことかな？
0:51,ケイ,非メンバー,おはじめ
0:51,いかわた,非メンバー,おはじめー
0:54,紫苑赤坂,非メンバー,おはじめー
0:54,s2るな,非メンバー,おはじめ〜
0:54,hatimiya,非メンバー,おはじめ～
0:55,QB先生,非メンバー,おはじめー
0:57,即死くん,非メンバー,おはじめー
0:59,はんどすとーん,非メンバー,おはじめー
0:59,kudaki tama,非メンバー,おはじめ！
0:59,GoRi,新規メンバー,おはじめ！
1:02,きりん,非メンバー,おはじめ
1:05,カッサン,メンバー（11 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
1:06,あめだま,メンバー（2 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
1:13,ろみ,非メンバー,おはじめ！
1:15,ショウ,メンバー（1 年 6 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
1:24,ふくちくん,非メンバー,おはじめー
1:24,紗霧和泉,非メンバー,おはじめ！
1:26,もち,非メンバー,おはじめー！
1:29,たむりん,メンバー（3 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
1:29,ひじきくん,非メンバー,おはじめ〜
1:38,カナリア,非メンバー,おはじめ！
1:38,いぬ,非メンバー,まさか2が出るとは思わなかった
1:41,笑[わら],非メンバー,おはじめ
1:53,たぬポン,非メンバー,おはじめー！
1:55,くすんだ漆黒,非メンバー,おはじめー
1:57,はんどすとーん,非メンバー,全盛期の切り抜きみて気になってたから助かる
1:57,築井.,メンバー（3 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
2:02,みすお,非メンバー,おはじめ
2:03,ya su,非メンバー,おはじめ！！
2:03,Noah,非メンバー,ほわぁ〜！！
2:04,hitorime,メンバー（7 か月）,おはじめ
2:05,ヘキスカ,非メンバー,おはじめｄ－
2:05,09_lake,非メンバー,おはじめ
2:07,トベラ,非メンバー,おはじめー
2:11,ここのえ,非メンバー,久々の拠点だ
2:11,あめだま,メンバー（2 か月）,懐かしすぎてやばいな
2:12,Hideyuki Mishima,非メンバー,おはじめ～
2:13,冷凍室,メンバー（7 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
2:14,一人焼肉,非メンバー,おはじめー
2:14,フルカネルリ,非メンバー,おはじめ
2:15,鬼瓦源十郎,非メンバー,おはじめ〜
2:15,わやなか,非メンバー,おはじめー
2:16,京坂八島,非メンバー,ラグナロク？
2:16,くすんだ漆黒,非メンバー,あんだけ放置して恐竜とか生きとるんか
2:17,おさふねこりどらす,メンバー（1 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
2:17,wasa bi,非メンバー,おはじめー！
2:17,❾レイヴン dominant,メンバー（2 か月）,久しぶりだ〜
2:19,ウタ,非メンバー,久しぶりだ…この画面…
2:19,dayo Ar,非メンバー,おはじめ 画面がもう懐かしい
2:20,ケンたっきー,非メンバー,おはじめー
2:21,Rグリーン,非メンバー,おはじめー
2:21,。えふ,非メンバー,おはじめー
2:22,しもぜん,非メンバー,懐かしいこの風景
2:23,りゅーちん,非メンバー,おはじめ
2:23,おさふねこりどらす,メンバー（1 か月）,懐かしのラグナロク
2:24,ビーフシチュー,非メンバー,おはじめー
2:25,リンリン,非メンバー,お初のおはじめです！
2:26,Ririranーリリラン,非メンバー,おはじめー
2:26,s2るな,非メンバー,懐かし〜
2:27,しもぜん,非メンバー,おはじめ
2:27,ヘキスカ,非メンバー,お久しブリーフ
2:30,Noah,非メンバー,おかえり()
2:32,tera,非メンバー,おはじめ！
2:32,豚骨粉骨大回転太郎,非メンバー,おー生きてる
2:34,GoRi,新規メンバー,懐かしい
2:36,/シオ2号,非メンバー,あーく久しぶりにみた…
2:36,バァーン・トロスト,非メンバー,おはじめー
2:38,エレナブラヴァツキー,非メンバー,ラグナロク久しぶりやねぇ
2:41,あんへる,メンバー（2 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
2:42,紗霧和泉,非メンバー,懐かしい風景だぁ！
2:43,KAKO,メンバー（5 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
2:46,くすんだ漆黒,非メンバー,良かった
2:48,hatimiya,非メンバー,懐かしい…
2:56,ふぁんとむ,非メンバー,意外とちゃんと生きてるんだなぁ
2:58,きょうまる,非メンバー,にじ鯖生きてたのか
2:59,❾レイヴン dominant,メンバー（2 か月）,やはりこのBGMでのARKはええな
3:04,sakura again,非メンバー,にじ鯖残ってたんやなって
3:05,ひじきくん,非メンバー,そうなんや
3:06,ケイ,非メンバー,懐かしいって言ってもまだ一年経ってないんだよな
3:06,大艦,非メンバー,おはじめー
3:07,あめだま,メンバー（2 か月）,そうなんか...;;
3:11,OolongTea髙橋,メンバー（3 か月）,ohajime~
3:14,紗霧和泉,非メンバー,なくなったのかぁ…
3:16,Window Mace,非メンバー,リスナーとやってた鯖はどうなった？
3:19,yasu 1208,メンバー（2 か月）,:_にじさんじおはじめ::_にじさんじじめじめ:
3:20,KAKO,メンバー（5 か月）,まぁ流石にね・・・
3:24,おさふねこりどらす,メンバー（1 か月）,思い出いっぱいのアイランド...
3:26,K.T.,非メンバー,約5ヶ月ぶりやね〜
3:28,しらす,非メンバー,今日のパンツの柄?
3:29,しもぜん,非メンバー,Arkのアニメどうなるんだろね
3:37,きりん,非メンバー,ステゴのアプデってtekにも適応されてるんだっけ
3:47,ウタ,非メンバー,初犯！
3:49,りんねん,非メンバー,ARK助かる
3:52,かにおとこ,非メンバー,おはじめ
4:07,おさふねこりどらす,メンバー（1 か月）,発表されましたね！アニメ化も！
4:08,河内,メンバー（3 か月）,しましたねぇ
4:10,牡羊座の紅茶,非メンバー,楽しみですよね
4:10,dayo Ar,非メンバー,めでたい
4:10,エレナブラヴァツキー,非メンバー,されたね
