timestamp,author_name,membership,text
-4:09,藤は王に平伏した,メンバー（5 か月）,晴れるかな？
-4:04,Aliyana,メンバー（2 か月）,晴れるかな？
-4:00,まふゆ___,新規メンバー,晴れるかな？
-3:59,陽空-よぞら-,新規メンバー,晴れるかな？
-3:58,ちぃ,メンバー（2 か月）,晴れるかな？
-3:58,kuri,メンバー（1 か月）,晴れるかな？
-3:57,柳,メンバー（5 か月）,晴れるかな？
-3:53,ねむいの,メンバー（5 か月）,晴れるかな？
-3:51,晴華[はるか],メンバー（5 か月）,晴れるかな？
-3:49,野菜しかない,メンバー（5 か月）,晴れるかな？
-3:49,ろむはROM専ではない,メンバー（5 か月）,晴れるかな？
-3:44,やわらかささみ,メンバー（4 か月）,晴れるかな？
-3:41,筍権蔵,メンバー（5 か月）,晴れるかな？
-3:39,木原れい_,メンバー（5 か月）,晴れるかな？
-3:35,きいな,メンバー（5 か月）,晴れるかな？
-3:32,はいほし,新規メンバー,晴れるかな？
-3:32,メリノ,メンバー（1 か月）,晴れるかな？
-3:31,相生葵 -aioi aoi-,メンバー（5 か月）,晴れるかな？
-3:22,莉月-りつ-,メンバー（5 か月）,晴れるかな？
-3:21,苺うさぎ,メンバー（5 か月）,晴れるかな？
-3:04,なつこ,メンバー（5 か月）,晴れるかな？
-2:57,まいち.,メンバー（5 か月）,晴れるかな？
-2:56,藍沢翼,メンバー（5 か月）,晴れるかな？
-2:51,きあ,メンバー（5 か月）,晴れるかな？
-2:50,空腹,メンバー（4 か月）,晴れるかな？
-2:43,六五rokugo,メンバー（5 か月）,晴れるかな？
-2:09,佐藤,非メンバー,晴れるかな？
-1:39,曦泉,メンバー（5 か月）,晴れるかな？
-1:39,蕗の薹ふきのとう,メンバー（5 か月）,晴れるかな？
-1:35,蓮茉,非メンバー,晴れるかな？
-1:27,ますかるぽーね,メンバー（5 か月）,晴れるかな？
-1:15,晴くん応援する春ちゃん,メンバー（5 か月）,晴れるかな？
-1:13,ぱゆぷんよ,メンバー（5 か月）,晴れるかな？
-1:12,ミア,非メンバー,晴れるかな？
-1:03,黒糖類。。,メンバー（1 か月）,晴れるかな？
-1:02,Boro,メンバー（4 か月）,晴れるかな？
-1:00,ツナ缶〇,非メンバー,晴れるかな？
-0:51,kouドゥンドゥン,メンバー（4 か月）,晴れるかな？
-0:47,なみか,メンバー（5 か月）,晴れるかな？
-0:41,ミュ,新規メンバー,晴れるかな？
-0:39,Лиса【リサ】,メンバー（4 か月）,晴れるかな？
-0:32,コ ナ カ,メンバー（5 か月）,晴れるかな？
-0:27,Pfeffer Fisch,新規メンバー,晴れるかな？
0:04,紗代-さよ-,メンバー（5 か月）,晴れるかな？
0:05,ろむはROM専ではない,メンバー（5 か月）,ついえら！
