timestamp,author_name,membership,text
-1:20,Lesser Flamingo,非メンバー,LETS GOO
-1:19,school chen,新規メンバー,待ち田
-1:17,愛里咲‐ありさ‐,非メンバー,待ち田
-1:16,Althaf,非メンバー,lets gooooo
-1:14,耳機耳機手Linno,非メンバー,待ち田
-1:11,らむしたらむじ,メンバー（6 か月）,待ち田
-1:11,まとりょしか,非メンバー,待ち田
-1:09,ΔLogikx,新規メンバー,待ち田
-1:07,ただのVオタ,非メンバー,待ち田
-1:04,愛里咲‐ありさ‐,非メンバー,サムネかわいい
-1:02,マグナ・カルタ,非メンバー,待ち田
-1:00,ふぉんふぉん,メンバー（6 か月）,待ち田
-0:59,モンハン大好き,非メンバー,待ち田
-0:44,アルミ缶,非メンバー,待ち田
-0:41,Hitsuji -eng sub-,新規メンバー,:_おこちま:
-0:38,ととまる,非メンバー,待ち田
-0:35,hayashibarazero,メンバー（2 か月）,メンバーいらっしゃい
-0:34,トキ,メンバー（2 か月）,:_おこちま:
-0:28,The Fool,新規メンバー,待ち田
-0:28,黒花咲,メンバー（6 か月）,ついえら:_ビックリマーク:
-0:24,とと,新規メンバー,待ち田
-0:18,よざくら,非メンバー,まちたー
-0:18,東のぶ,非メンバー,ついえら！
-0:16,ブラキエバ,非メンバー,ち待田で噂の？！（？）
-0:15,りんこ,非メンバー,待ち田
-0:14,テア,メンバー（1 か月）,ついえら！！
-0:13,。なぎ,メンバー（6 か月）,ついえら
-0:13,たまどん,非メンバー,ついえら！
-0:12,あおせなる,非メンバー,ついえら
-0:12,島暮らし,メンバー（1 か月）,ついえら！
-0:12,ZIN,メンバー（6 か月）,ついえら～
-0:10,hayashibarazero,メンバー（2 か月）,ついえら
-0:09,肉まんぷにぷに太郎,メンバー（6 か月）,ついえら！
-0:08,かんむり,メンバー（2 か月）,ついえら
-0:08,まとりょしか,非メンバー,ついえら！
-0:08,さすらいのヘタレ,メンバー（2 か月）,ついえら！
-0:07,醤油,メンバー（6 か月）,ついえら
-0:07,加鳥涼,非メンバー,ついえらー
-0:07,とと,新規メンバー,ついえら！
-0:06,Ririssu リリーっす,メンバー（6 か月）,待ち田
-0:06,デリエンdelib63,メンバー（6 か月）,ついえら！
-0:06,ねこうさ,メンバー（2 か月）,ついえら！
-0:05,千葉土人,メンバー（2 か月）,待ち田
-0:04,たけぞう,非メンバー,ついえら
-0:00,アリフ・mbahArip_,メンバー（2 か月）,ついえら！
-0:00,ふぉんふぉん,メンバー（6 か月）,ついえら٩(๑´0`๑)۶
-0:00,- TESHIGAWARA,非メンバー,ついえら
0:07,Hiro Hiro,メンバー（2 か月）,待ち田
0:11,moongate,メンバー（6 か月）,待ち田
0:11,ようかん,非メンバー,ついえら
0:11,そらなん。,メンバー（6 か月）,ついえら
0:13,志方は神様,メンバー（2 か月）,ついえら
0:15,上野かみ,非メンバー,ついえら
0:15,若村ジャクソン,新規メンバー,ついえら:_ビックリ:
0:18,テア,メンバー（1 か月）,きちゃ
0:18,モリヤマダ,メンバー（6 か月）,ついえら
0:18,夏みかん,メンバー（6 か月）,ついえら！
0:19,Last one,非メンバー,ついえら！
0:19,背骨,メンバー（6 か月）,ついえら
