timestamp,author_name,membership,text
-1:23,sakura mituki,非メンバー,待ち田
-1:23,蓮,非メンバー,待ち田
-1:22,Delirare Stake,メンバー（2 か月）,:_サンバサンバ:
-1:21,西脇清春,非メンバー,待ち田
-1:20,HiIs,非メンバー,どんな理屈なんすかね
-1:13,テア,メンバー（1 か月）,サムネめちゃすこ
-1:08,にゃぱちゃん。,非メンバー,待ち田
-1:06,tab senyou,非メンバー,1分オーバー()
-1:05,いう,非メンバー,待ち田
-1:05,sakura mituki,非メンバー,歌でカートが加速する
-1:04,はんぺん,非メンバー,新たな伝説産まれそう
-1:03,島田缶詰,メンバー（2 か月）,待ち田
-1:01,きんミヤ,非メンバー,たのしみ
-0:58,nozawa,新規メンバー,待ち田
-0:49,さすらいのヘタレ,メンバー（2 か月）,待ち田
-0:48,tab senyou,非メンバー,即終わりそうで怖い()
-0:45,たまどん,非メンバー,ついえら
-0:44,ZIN,メンバー（6 か月）,ついえら～
-0:42,雪菜,メンバー（2 か月）,:_ビックリ::_ビックリ::_ビックリ:
-0:40,あすみ,非メンバー,伝説の幕開け
-0:40,たいやき,非メンバー,待ち田
-0:39,テア,メンバー（1 か月）,ついえらー
-0:39,岩傘,メンバー（2 か月）,ついえら！
-0:39,ロリ巨乳主義ヌーマ,メンバー（6 か月）,ついえら
-0:39,さすらいのヘタレ,メンバー（2 か月）,ついえら！
-0:37,Delirare Stake,メンバー（2 か月）,ツイ...
-0:31,- TESHIGAWARA,非メンバー,ついえら
-0:30,ぷー,メンバー（1 か月）,:_ビックリ::_ビックリ:
-0:29,かんむり,メンバー（2 か月）,ついえら
-0:23,フラワ,メンバー（2 か月）,ついえら
-0:22,イーヅー,非メンバー,ついえら
-0:21,man Neo,新規メンバー,ついえら
-0:21,Delirare Stake,メンバー（2 か月）,:_ビックリ:
-0:20,。しいま,メンバー（2 か月）,ついえら
-0:16,いう,非メンバー,ついえら
-0:15,からお,メンバー（6 か月）,ついえら
-0:15,プラネタ,非メンバー,ついえら
-0:15,Mスター,メンバー（2 か月）,ワクワク♪
-0:14,石斑は魚だよ,メンバー（2 か月）,ついえら
-0:14,ZE RO,非メンバー,ついえら
