timestamp,author_name,membership,text
-0:42,terpomo [てるぽーも],非メンバー,まちまちた
-0:42,アルバァァァ,メンバー（2 か月）,スパチャできるよ
-0:38,小路,非メンバー,おりゃあああああああああああああああ
-0:36,ゆーしー,メンバー（10 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:36,ちもちも,メンバー（3 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:33,アルバァァァ,メンバー（3 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:33,上総乃クゥ,メンバー（6 か月）,ちがいました
-0:31,黒花咲,メンバー（6 か月）,ついえらー:_サンバサンバ:
-0:25,ハムのすけ,非メンバー,ちょっと待て
-0:25,NOBITA KUNSAN,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:23,エコたん,新規メンバー,ついえらー！
-0:22,肉まんぷにぷに太郎,メンバー（11 か月）,ついえら
-0:22,新之助Shinnosuke,メンバー（1 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:21,ZIN,メンバー（7 か月）,ついえら～
-0:21,いはさ,メンバー（2 か月）,ついえら！
-0:19,テア,メンバー（1 か月）,ついえらだ:_ゆびつめご:
-0:19,。なぎ,メンバー（6 か月）,ついえら！
-0:18,うぃろ,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:17,言寺子お姉さんのエプロン,メンバー（11 か月）,ついえら
-0:17,ロリ巨乳主義ヌーマ,メンバー（7 か月）,ついえら
-0:17,宮佑,メンバー（11 か月）,ついえら
-0:17,こえだ,新規メンバー,:_サンバサンバ:
-0:15,さすらいのヘタレ,メンバー（2 か月）,ついえら！
-0:15,ふんふん,メンバー（6 か月）,ついえら！
-0:15,とと,新規メンバー,ついえら！:_町田ちま:
-0:15,雪布/yukif,メンバー（6 か月）,ついえら！
-0:14,モリヤマダ,メンバー（7 か月）,ついえら
-0:14,からお,メンバー（6 か月）,ついえら
-0:13,じっちゃん,メンバー（11 か月）,ついえら！
-0:13,Haru Konoe,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:13,たけぞう,非メンバー,ついえらー
-0:13,Wing,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:12,110 GXE,非メンバー,ついえら
-0:08,Mスター,メンバー（1 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:08,島暮らし,メンバー（1 か月）,ついえら
-0:08,ドレ森,メンバー（3 か月）,ついえら
-0:07,hayashibarazero,メンバー（2 か月）,ついえら
-0:07,紅蓮の月,メンバー（2 か月）,:_あほあほ:ついえら
-0:07,ふぉんふぉん,メンバー（11 か月）,ついえら٩(๑´0`๑)۶
-0:07,村雨,非メンバー,ついえら
-0:07,Paka,メンバー（4 か月）,ついえら！
-0:07,鋼野大地,非メンバー,ついえら〜！
-0:05,かんむり,メンバー（2 か月）,ついえら
-0:04,f de,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:04,アルバァァァ,メンバー（3 か月）,ついえら！
-0:03,terpomo [てるぽーも],非メンバー,ぴっぴっぷー
-0:02,OJS,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:01,トキ,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
-0:01,うきる,非メンバー,ついえら！
-0:00,jin nao,非メンバー,ついえらー
0:08,Delirare Stake,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:09,ラウ,非メンバー,ついえら！
0:12,コスモスはGG,非メンバー,ついえら
0:12,エコたん,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:13,アルミ缶,非メンバー,きちゃ
0:13,Dio,メンバー（2 か月）,ついえら
0:14,ZIN,メンバー（7 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:15,マグナ・カルタ,非メンバー,ついえら！
0:15,かんだ,新規メンバー,おやサンバ
0:16,罹无月,メンバー（10 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:16,島暮らし,メンバー（1 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:17,黃柏軒,非メンバー,ついえら
0:18,Dio,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ:
0:19,からむし,メンバー（3 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:19,肉まんぷにぷに太郎,メンバー（11 か月）,サンバの時間だああああああああああああ
0:20,イーヅー,非メンバー,ついえら
0:20,ぞうたん,メンバー（6 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:21,秋月くろ,メンバー（7 か月）,ついえら
0:21,ドレ森,メンバー（3 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:21,nozawa,新規メンバー,サンバだああああ
0:21,Jeremy Lui,非メンバー,YAYYY
0:22,ふっくー,メンバー（3 か月）,ついえら！
0:22,いはさ,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:22,。なぎ,メンバー（6 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:23,まつしたむさし,非メンバー,きた！
0:23,草草,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:23,HiIs,非メンバー,サンバ！
0:23,テア,メンバー（1 か月）,親サンバきちゃ:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:24,ふぉんふぉん,メンバー（11 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:24,エアコンのバカもん,非メンバー,こんべー
0:24,夏みかん,メンバー（6 か月）,ついえら！
0:25,13,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:25,小路,非メンバー,待ちきれなくて壁壊しちゃった
0:25,モリヤマダ,メンバー（7 か月）,サンバの時間だああああああああ
0:25,葵シューゴ,メンバー（6 か月）,サンバきちゃ！
0:25,NOBITA KUNSAN,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:25,Delirare Stake,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:26,ふんふん,メンバー（7 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:26,からむし,メンバー（3 か月）,:_ビックリ::_ビックリ:
0:27,じゅりゅー,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:27,埋メ星,メンバー（6 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:27,さすらいのヘタレ,メンバー（3 か月）,久しぶりの生親サンバ！
0:27,Dio,メンバー（2 か月）,親サンバきちゃああああ
0:27,ふっくー,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:28,Michael Syu,メンバー（2 か月）,ついえらい
0:28,らむしたらむじ,メンバー（11 か月）,サンバ！
0:29,紅蓮の月,メンバー（4 か月）,サンバきちゃ❗️
0:29,aircool-fairytale,メンバー（3 か月）,:_サンバサンバ::_たすかる:
0:29,島暮らし,メンバー（1 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:29,S-,メンバー（11 か月）,:_サンバサンバ:
0:29,アリフ・mbahArip_,メンバー（4 か月）,サンバ！！:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:29,Paka,メンバー（4 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:30,とと,新規メンバー,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:31,蛮族,非メンバー,親サンバ
0:31,セラムス,メンバー（4 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:33,鋼野大地,非メンバー,サンバだああああああ！
0:33,のっか,メンバー（6 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:34,えびマヨネ,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:35,jin nao,非メンバー,きちゃ！
0:35,Dio,メンバー（2 か月）,あれ映像は・・？
0:36,Dio,メンバー（2 か月）,？？？？？
0:36,プルプル,非メンバー,！？
0:36,雪布/yukif,メンバー（7 か月）,！？
0:36,Delirare Stake,メンバー（2 か月）,:_こんちまに::_クエスチョンマーク:
0:37,マグナ・カルタ,非メンバー,！？
0:37,かんむり,メンバー（2 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:38,内藤ホライゾン,メンバー（2 か月）,こんちまー
0:39,13 yume,非メンバー,！？
0:40,肉まんぷにぷに太郎,メンバー（6 か月）,サンバキャンセルたすかる
0:41,ZIN,メンバー（6 か月）,しっとりだったｗ
0:41,あおひろ,非メンバー,サンキャン！？
0:43,風景画,非メンバー,ほぇ？
0:43,じっちゃん,メンバー（6 か月）,サンバキャンセル
0:43,MilepHunter,メンバー（2 か月）,:_あほあほ::_あほあほ::_あほあほ:
0:43,蛮族,非メンバー,！？
0:44,NOBITA KUNSAN,新規メンバー,サンバ…
0:44,モリヤマダ,メンバー（7 か月）,サンバキャンセル…だと…！？
0:44,からお,メンバー（7 か月）,:_サンバサンバ:キャンセルだ！
0:44,秋月くろ,メンバー（7 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:44,takasj0213,非メンバー,あれ？
0:44,たちばなりん,メンバー（2 か月）,親サンバ…？
0:44,Delirare Stake,メンバー（2 か月）,:_ビックリマーク::_クエスチョンマーク:
0:44,藤太郎,非メンバー,！？
0:44,アカリーヌ,メンバー（11 か月）,:_サンバサンバ::_サンバサンバ::_サンバサンバ:
0:44,ぐみ,メンバー（6 か月）,！？
0:44,nozawa,新規メンバー,！？
0:45,かんだ,新規メンバー,流れ変わったな
0:45,のっか,メンバー（6 か月）,サンバキャンセル
0:46,テア,メンバー（1 か月）,サン...バ...？？
0:47,ロリ巨乳主義ヌーマ,メンバー（7 か月）,きちゃ
0:47,新之助Shinnosuke,メンバー（1 か月）,お
0:47,からむし,メンバー（3 か月）,サンバキャンセル…
0:47,junya,非メンバー,蓋絵でサンバだと軽く混乱しちゃう
0:47,アルバァァァ,メンバー（3 か月）,映像ないよー
0:48,けい,新規メンバー,！？
0:48,黒花咲,メンバー（6 か月）,きちゃー
0:48,アルミ缶,非メンバー,ん？
0:48,f de,新規メンバー,:_ビックリマーク::_クエスチョンマーク:
0:49,愈那,メンバー（3 か月）,！？
0:49,雪布/yukif,メンバー（7 か月）,親サンバキャンセル・・・
0:49,うきる,非メンバー,今日はサンバなしかな
0:49,イーヅー,非メンバー,サンバキャンセル！
0:49,れいちゃ,非メンバー,きちゃきちゃ！！！
0:50,プルプル,非メンバー,サンバ！…じゃねぇ！？
0:51,とりみーと,メンバー（11 か月）,サンバ…どこ…？
0:55,うぃろ,メンバー（2 か月）,:_ビックリマーク::_クエスチョンマーク:
0:55,Michael Syu,メンバー（2 か月）,:_サンバサンバ:…:_クエスチョンマーク::_ビックリマーク::_ビックリ:
0:56,鋼野大地,非メンバー,流れが……！？
0:56,アリフ・mbahArip_,メンバー（4 か月）,ん！？
0:57,ぷー,メンバー（1 か月）,:_サンバサンバ::_クエスチョンマーク::_サンバサンバ::_クエスチョンマーク:
0:58,九九式,メンバー（11 か月）,見えないけど見える
0:58,屮艸芔茻,非メンバー,vibin
1:00,Amir Last,非メンバー,🎹🎶🎶🎶🎶
1:00,アルバァァァ,メンバー（3 か月）,ちまっちどこ？
1:01,hayashibarazero,メンバー（2 か月）,:_ビックリマーク::_クエスチョンマーク:
1:03,たけぞう,非メンバー,しっとり
1:04,マダタスカル共和国,非メンバー,サバキャン？！
1:04,エコたん,新規メンバー,:_ビックリ::_ビックリ::_クエスチョンマーク:
1:05,夏みかん,メンバー（6 か月）,:_ビックリ::_ビックリ::_ビックリ:
1:05,モリヤマダ,メンバー（7 か月）,流れ変わったな
1:05,マグナ・カルタ,非メンバー,サンバキャンセルだと！？
1:05,HiIs,非メンバー,キャンセルされた！？
