video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
Mny5V3w2K8o,【作業用BGM】お正月30分耐久【町田ちま/にじさんじ】,2020-12-31,1968,0h 32m 48s,3979,774,2.021849593495935,577,32,27,65,57,16,0
9E-SJq71d3Y,【歌枠】2020年ラスト歌ッ！！！ Singing Stream【町田ちま/にじさんじ】,2020-12-30,5492,1h 31m 32s,6356,979,1.157319737800437,721,44,34,93,87,0,0
CdvQVVXP9YU,【耐久歌枠】年内に25万人を迎えたい！！！！！Singing Stream【町田ちま/にじさんじ】,2020-12-26,4639,1h 17m 19s,4992,1059,1.0760939857727958,819,45,26,107,62,0,0
yB_LdLZP9VM,【Xmas歌枠】サンタ来ない！！！歌う！！！！！🎅🎄Singing Stream【町田ちま/にじさんじ】,2020-12-25,4541,1h 15m 41s,3260,736,0.717903545474565,585,27,12,74,38,0,0
D-k3Yvfn7fs,【睡眠導入歌】ジブリ多め寝落ち歌枠 +.ﾟお知らせあり +.ﾟSinging Stream【町田ちま/にじさんじ】,2020-12-21,5055,1h 24m 15s,4580,784,0.9060336300692384,576,43,21,85,59,0,0
b6IKDHOhpWU,【マリオカート8DX】第3回 #マリカにじさんじ杯 予選Bリーグ！最下位は嫌だ最下位は嫌だ最下位は嫌だ【町田ちま/にじさんじ】,2020-12-19,1878,0h 31m 18s,2374,579,1.2641107561235356,435,33,9,48,54,0,0
YHXbFkICM8U,【マリオカート8DX】5位以上を取るまで歌が止まらないマリオカート【町田ちま/にじさんじ】,2020-12-18,5588,1h 33m 8s,7029,1367,1.2578740157480315,1186,36,14,72,59,0,0
xx-I4sUFWMM,【歌枠】アニメソングしばり！！！Singing Stream【町田ちま/にじさんじ】,2020-12-15,5551,1h 32m 31s,7287,953,1.3127364438839848,724,48,19,65,97,0,0
v3Bynq4a6a8,【うたわく】キッズむけおうた👦👧Singing Stream【町田ちま/にじさんじ】,2020-12-06,2737,0h 45m 37s,7675,1364,2.804165144318597,1142,40,25,48,109,0,0
idpVnvWn0as,【Minecraft】親方！空からクリーパーが！【町田ちま/にじさんじ】,2020-12-05,6773,1h 52m 53s,6249,972,0.922633987893105,795,28,17,35,97,0,0
