timestamp,author_name,membership,text
-1:17,うさぎ,メンバー（6 か月）,メンバーさんいらっしゃい
-1:16,9649推し三日月,メンバー（6 か月）,メンバーさんいらっしゃい！
-1:16,頼[より]73,メンバー（6 か月）,これからもずっと応援しています！
-1:15,Kay_ケイ,メンバー（5 か月）,起きれてえらい！ついえら！
-1:14,通称あっくん,新規メンバー,ついえらー
-1:13,O.K.S.【心〈しん〉】,メンバー（6 か月）,メンバーさんいらっしゃい！
-1:12,ひな,メンバー（3 か月）,メンバーさんいらっしゃいませ
-1:12,99「つくも」サカタ,メンバー（5 か月）,メンバーさんいらっしゃい！
-1:11,朱柳,メンバー（6 か月）,メンバーさんいらっしゃい
-1:10,通称あっくん,新規メンバー,メンバーさんいらっしゃい
-1:10,ケビン,メンバー（6 か月）,ついえら！
-1:09,もっちもっち,メンバー（2 か月）,メンバーさんいらっしゃい
-1:06,ひみつ,メンバー（1 か月）,メンバーさんいらっしゃい
-1:06,もにー,メンバー（6 か月）,メンバーさんいらっしゃい
-1:06,柊ゆえ-hiiragi yue-,メンバー（6 か月）,待機
-1:04,ゴッティーGottexi,メンバー（5 か月）,メンバーさんいらっしゃい！
-1:03,綾瀬花凜,非メンバー,ついえら！
-1:03,百合を見つめる雪だるま,メンバー（3 か月）,メンバーさんいらっしゃい
-1:03,カレー食べたい,メンバー（6 か月）,メンバーさんいらっしゃいませ！
-1:03,ezoRig,メンバー（4 か月）,メンバーさんいらっしゃい！
-1:03,玖二,メンバー（4 か月）,メンバーさんいらっしゃい
-1:00,BIG BOSS,メンバー（1 か月）,メンバーさんいらっしゃい
-0:59,空野奏多,新規メンバー,メンバーさんいらっしゃい
-0:59,サー氏,メンバー（6 か月）,メンバーさんいらっしゃい
-0:58,ゴッティーGottexi,メンバー（5 か月）,起きれてえらい！
-0:58,頼[より]73,メンバー（6 か月）,グレードアップおめでとう
-0:58,アラモード,メンバー（6 か月）,メンバーさんいらっしゃい
-0:57,33ゆきな,メンバー（6 か月）,メンバーさんいらっしゃい
-0:57,サー氏,メンバー（6 か月）,待機
-0:55,庄司拓磨,メンバー（5 か月）,メンバーさんいらっしゃいませ
-0:53,珈琲茶,非メンバー,ついえら
-0:53,モチズキ,非メンバー,ついえら
-0:48,葵隆【きりゅう】,メンバー（5 か月）,メンバーさんいらっしゃい！
-0:46,イチゴケーキ,非メンバー,ついえら！
-0:46,nunu,メンバー（6 か月）,ついえら
-0:44,山桜桃【ユスラ】,メンバー（2 か月）,メンバーさんいらっしゃい～！
-0:41,ハク,メンバー（5 か月）,メンバーさんいらっしゃいませ
-0:40,ファンド,メンバー（6 か月）,メンバーさんいらっしゃい！
-0:39,GNOME【ノーム】,メンバー（5 か月）,ついえら
-0:37,VTuber好きシュウ,非メンバー,ついえら
-0:34,頼[より]73,メンバー（6 か月）,メンバーさんいらっしゃい
-0:34,狼谷【かみたに】,新規メンバー,ついえら
-0:34,薄荷飴,新規メンバー,ついえら！
-0:30,chiichan[ちーちゃん],メンバー（6 か月）,おはよう白雪姫~
-0:27,はるぼう,メンバー（6 か月）,ついえら
-0:25,shizu,メンバー（6 か月）,ついえら
-0:22,ベアちゃん,メンバー（6 か月）,ついえら！
-0:13,ユウギリ,メンバー（6 か月）,ついえら！
-0:06,八重光,メンバー（6 か月）,ついえら
0:03,ふわふぁわ〜〜,非メンバー,#起きた白雪姫
0:07,:re 173,非メンバー,きちゃ！
0:09,Dame meet,メンバー（2 か月）,ついえら！
0:10,百合を見つめる雪だるま,メンバー（3 か月）,こんばんは〜！
0:11,221 shimamura,メンバー（6 か月）,こんばんは
0:11,トルシア,メンバー（6 か月）,きちゃ！
0:11,O.K.S.【心〈しん〉】,メンバー（6 か月）,きちゃ！
0:12,朱朱,メンバー（2 か月）,きちゃ
0:12,こげまりも,メンバー（5 か月）,きちゃ！
0:12,玖二,メンバー（4 か月）,きちゃ！
0:12,ホリショーゴ,メンバー（6 か月）,こんばんは
0:12,ezoRig,メンバー（4 か月）,きちゃ！こんばんはー
0:13,水扇,メンバー（5 か月）,きちゃ
0:13,杜若シズ,メンバー（6 か月）,こんばんは
0:13,小石川,メンバー（5 か月）,おかえりなさいませ
0:14,朱柳,メンバー（6 か月）,きちゃ
0:14,月面,メンバー（5 か月）,きちゃ！
0:15,たんまるてやん,新規メンバー,こんばんわ！
0:15,Haru,メンバー（2 か月）,きちゃー！
0:15,イノ,メンバー（5 か月）,こんばんは～！
0:15,モンモン,メンバー（6 か月）,こんばんはー
0:15,chiichan[ちーちゃん],メンバー（6 か月）,きちゃ
0:15,双星暁希ふたぼしあき,メンバー（3 か月）,きちゃ！
0:16,あすまる,非メンバー,こんばんは～
0:16,담쭈,新規メンバー,きちゃ!
0:16,かさはら,メンバー（6 か月）,こんばんはー
0:16,D-1〈ディーチ〉,メンバー（5 か月）,こんばんは！
0:17,百合命,非メンバー,こんばんは！！
0:18,9649推し三日月,メンバー（6 か月）,こんばんはー！
0:18,綾瀬花凜,非メンバー,きちゃ
0:18,しんたろ,メンバー（5 か月）,きちゃ！
0:18,野菜ユリ,メンバー（6 か月）,きちゃーーー
0:18,ナミキ,非メンバー,こんばんは〜
0:18,龍崎雛菊,メンバー（6 か月）,こんばんは
0:18,ミスト,メンバー（3 か月）,きちゃー！
0:18,カキ,メンバー（6 か月）,きちゃ
0:19,薙堂哿蓮〈Nadou Karen〉,非メンバー,きちゃ
0:19,satoru izayoi,メンバー（6 か月）,こんばんは！
0:19,みにま,メンバー（1 か月）,こんばんは
0:19,れふ,非メンバー,きちゃ！
0:19,のりしろ,メンバー（2 か月）,こんばんはー！
0:19,十九,非メンバー,こんばんは
0:20,カレー食べたい,メンバー（6 か月）,きちゃ
0:20,山桜桃【ユスラ】,メンバー（2 か月）,こんばんは！！
0:20,:re 173,非メンバー,こんばんは〜
0:20,りゅうまる,非メンバー,きちゃ
0:20,空野奏多,新規メンバー,きちゃ！
0:20,トルシア,メンバー（6 か月）,こんばんは！
0:21,ネコペンギン,メンバー（6 か月）,きちゃ！
0:21,頼[より]73,メンバー（6 か月）,きちゃあ
0:21,うみうしゃ,非メンバー,こんばんはー
0:21,唯兎,非メンバー,こんばんはー
0:21,ユウギリ,メンバー（6 か月）,こんばんはー！
0:22,クーヤ,新規メンバー,きちゃ！！
0:22,彩月,メンバー（6 か月）,こんばんは！
0:22,kai kai,メンバー（6 か月）,こんばんは
0:22,朱朱,メンバー（2 か月）,こんばんは
0:22,朱柳,メンバー（6 か月）,こんばんは～
0:23,33ゆきな,メンバー（6 か月）,こんばんは〜
0:23,うさぎ,メンバー（6 か月）,こんばんは！
0:23,小林あずにゃ,メンバー（6 か月）,こんばんは
0:23,薙堂哿蓮〈Nadou Karen〉,非メンバー,こんばんは～
0:23,じゃがりこはんたー,新規メンバー,きちゃ
0:24,クロワッさん,非メンバー,きちゃ!
0:25,Teto,メンバー（6 か月）,ｋおんばんわぁ
0:25,こげまりも,メンバー（5 か月）,こんばんはー！
0:25,玖二,メンバー（4 か月）,こんばんは！おかえりなさいませ！
