timestamp,author_name,membership,text
-1:34,chiichan[ちーちゃん],メンバー（6 か月）,巴様??
-1:34,まいなす,メンバー（5 か月）,草
-1:34,庄司拓磨,メンバー（6 か月）,なるほどねをショートカット(レースの方)とショートカット(髪型)って事ですねw
-1:32,カレー食べたい,メンバー（6 か月）,おじ:_yuki:…いや今晩から寒波が来るせいかなー？
-1:30,陽奈乃,新規メンバー,今日は💧🕶💧だった
-1:29,綾瀬花凜,非メンバー,草
-1:23,りん,メンバー（1 か月）,開始してる？
-1:22,「響」,メンバー（5 か月）,草
-1:20,百合を見つめる雪だるま,メンバー（2 か月）,:_yuki:、置いときますね。
-1:20,m o,非メンバー,同期あったけぇ🔥🕶🔥
-1:18,冬澤空,非メンバー,グウェルさんめちゃとっばちりじゃないですかｗ
-1:18,ななまがるななな,非メンバー,グウェル先生を燃料にすなｗ
-1:18,美味しいばさし,非メンバー,草
-1:18,アラモード,メンバー（6 か月）,グウェルで暖房要らず
-1:13,綾瀬花凜,非メンバー,燃えないで
-1:10,はなまる座敷わらし,非メンバー,まだですね〜？
-1:05,朱朱,メンバー（2 か月）,グウェル水没したり燃えたり大変だな
-1:01,よしまき,メンバー（6 か月）,:_yuki::_yuki::_yuki::_yuki::_yuki:
-0:59,フクベ。,メンバー（6 か月）,とばっちり草
-0:59,りっぷなのだ,非メンバー,本人が来たら壮大にタイトル褒めましょう
-0:57,頼[より]73,メンバー（6 か月）,巴様……コメ欄見ないで……
-0:53,Fu RuYa,非メンバー,待機！
-0:53,はなまる座敷わらし,非メンバー,ポケットグウェル
-0:53,ギーマ,メンバー（6 か月）,まだ時差定期
-0:52,クロワッさん,非メンバー,気軽に燃えるグウェルw
-0:50,O.K.S.【心〈しん〉】,メンバー（6 か月）,燃えてなんぼのグウェルみたいなものやし。まあ、いいか
-0:48,カレー食べたい,メンバー（6 か月）,ベッドの下に入れるだけで暖房器具になるエルフ
-0:44,ゴッティーGottexi,メンバー（5 か月）,上は洪水、下は大火事これなーんだ？
