timestamp,author_name,membership,text
-15:02,ねりけし,メンバー（1 年 1 か月）,待機
-11:17,701,メンバー（8 か月）,待機
-10:02,本間しゃちょー,メンバー（5 か月）,待機
-9:54,フォトン,メンバー（1 年 1 か月）,待機
-9:42,雨雷〈ユイレイ〉,メンバー（2 か月）,待機
-9:38,ねりけし,メンバー（1 年 1 か月）,□□
-8:51,本間しゃちょー,メンバー（5 か月）,□□
-8:44,キョーヘー,メンバー（5 か月）,□□
-8:26,ひっぴ,新規メンバー,□□
-8:07,ミスター,非メンバー,10位以下…？
-7:59,ミスター,非メンバー,待機
-7:53,ユリ,メンバー（1 年 1 か月）,□□
-7:45,髪屋,メンバー（5 か月）,□□
-7:37,まりもん,新規メンバー,□□
-7:35,うせr,メンバー（1 年 1 か月）,□□
-6:40,ねりけし,メンバー（1 年 1 か月）,罰ゲームってなんだろ
-6:38,ゆーき。,メンバー（1 年 1 か月）,□□
-6:30,Nachiチャンネル,メンバー（1 か月）,□□
-6:28,Tomoki Wurz,メンバー（3 か月）,□□
-6:22,ついてるマン,メンバー（8 か月）,□□
-6:16,せんくう,メンバー（1 年 1 か月）,□□
-5:47,なもぎたけ,新規メンバー,□□
-5:18,扇マネキ,メンバー（1 か月）,□□
-5:06,冴華 Sayaka,メンバー（3 か月）,□□
-5:04,alpaca,メンバー（5 か月）,□□
-4:56,雨雷〈ユイレイ〉,メンバー（1 か月）,□□
-4:41,卍しょうべい卍,メンバー（7 か月）,□□
-3:21,赤いイカ,メンバー（1 年 1 か月）,□□
-2:13,ミスター,非メンバー,ういうい
-1:28,スエ,新規メンバー,□□
-0:22,玄武,非メンバー,ういうい すこすこ
0:12,ねりけし,メンバー（1 年 1 か月）,:_ういはろ:
0:13,701,メンバー（8 か月）,:_ういはろ:
0:17,ゆーき。,メンバー（1 年 1 か月）,きちゃ
0:17,かるめら,メンバー（1 年 1 か月）,:_ういはろ:
0:17,ひっぴ,新規メンバー,:_ういはろ:
0:19,Y K,メンバー（1 年 1 か月）,くる…！
0:19,扇マネキ,メンバー（1 か月）,:_ういはろ:
0:20,キョーヘー,メンバー（5 か月）,:_ういはろ:~
0:23,みるだけです,メンバー（5 か月）,はじまた
0:24,本間しゃちょー,メンバー（5 か月）,:_ういはろ:
0:25,ゆーき。,メンバー（1 年 1 か月）,:_ういはろ:
0:25,ヤぎ,メンバー（8 か月）,:_ういはろ:
0:27,ナマちゃ,メンバー（4 か月）,:_ういはろ:
0:27,ありんこ。,メンバー（1 年 1 か月）,:_ういはろ:
0:32,赤いイカ,メンバー（1 年 1 か月）,:_ういはろ:
0:32,メッゾフォルテ,新規メンバー,:_ういはろ:
0:33,ついてるマン,メンバー（8 か月）,:_ういはろ:
0:34,バウム,非メンバー,ういはろ～
0:34,わろたうーまん,メンバー（1 年 1 か月）,:_ういはろ:
0:37,Yggdrasillヲーリア,非メンバー,ういはろ～
0:37,屋代,メンバー（7 か月）,:_ういはろ:
0:37,。良乃,非メンバー,ういはろ～
0:40,雨雷〈ユイレイ〉,メンバー（1 か月）,:_ういはろ:
0:41,ミギジュン,新規メンバー,:_ういはろ:
0:41,はいあぞ,メンバー（3 か月）,:_ういはろ:
0:43,The Third,メンバー（1 か月）,:_ういはろ:
