timestamp,author_name,membership,text
-7:18,そ〜た,非メンバー,頑張って！
-6:10,けいえす,非メンバー,待機
-6:02,腹筋崩壊プリン,メンバー（6 か月）,待機～
-5:41,ヒット,新規メンバー,待機
-5:38,のまのま,非メンバー,ふぁいとー！
-5:36,はいあぞ,メンバー（2 か月）,待機
-5:14,Louis Huang,メンバー（1 か月）,待機
-4:43,けいえす,メンバー（6 か月）,いつの間にかメンバーシップ切れてて焦ったわね
-4:41,コマの伊吹,メンバー（6 か月）,□□
-4:34,701,メンバー（6 か月）,待機！
-2:33,浅間りお,新規メンバー,待機！
-2:23,ユキノ/Yukino811,メンバー（2 か月）,待機！
-2:18,ささわき,メンバー（1 か月）,□□:_すりすり:
-2:10,けいえす,メンバー（6 か月）,たいき
-2:05,本間しゃちょー,メンバー（2 か月）,待機！
-1:44,腹筋崩壊プリン,メンバー（6 か月）,□□
-1:41,伊咲紀優,メンバー（6 か月）,待機。
-1:30,キョーヘー,メンバー（2 か月）,□□
-1:23,伊咲紀優,メンバー（6 か月）,□□
-1:22,浅間りお,新規メンバー,□□
-1:21,茉莉.,非メンバー,待機っ
-1:08,本間しゃちょー,メンバー（2 か月）,□□
-1:01,ユキノ/Yukino811,メンバー（2 か月）,□□
-0:39,ヒット,新規メンバー,□□
-0:29,はいあぞ,メンバー（2 か月）,□□
0:11,本間しゃちょー,メンバー（2 か月）,きちゃ！
0:14,腹筋崩壊プリン,メンバー（6 か月）,□
0:16,キョーヘー,メンバー（2 か月）,きちゃ
0:19,茉莉.,非メンバー,きちゃ
0:22,701,メンバー（6 か月）,□
0:24,ささわき,メンバー（1 か月）,:_ういはろ:
0:27,さくらいむ,メンバー（2 か月）,□□
0:27,ユキノ/Yukino811,メンバー（2 か月）,□
0:33,Louis Huang,メンバー（1 か月）,□
0:37,本間しゃちょー,メンバー（2 か月）,□
0:38,コマの伊吹,メンバー（6 か月）,□□
0:41,ありんこ。,メンバー（6 か月）,□
0:50,あくび,非メンバー,きたで
0:54,腹筋崩壊プリン,メンバー（6 か月）,メンバーさん:_ようこそ::_ぺろぺろ:
0:55,ヒット,新規メンバー,:_ようこそ::_ぺろぺろ:
1:00,けいえす,メンバー（6 か月）,この待機画面ほんと好き
1:02,本間しゃちょー,メンバー（2 か月）,:_ようこそ::_ぺろぺろ:
1:04,バルム・ナナハ,非メンバー,脳がとろけそうな待機画面だ
1:12,伊咲紀優,メンバー（6 か月）,ツイえら！
1:12,茉莉.,非メンバー,ついえらっ
1:15,ciel bibliothek,非メンバー,かわいい
1:18,701,メンバー（6 か月）,ついえら！
1:18,ヒット,新規メンバー,ついえら
1:20,しゅみっと,メンバー（6 か月）,かわいい
1:27,鷹岡丘陵,非メンバー,融ける
1:29,腹筋崩壊プリン,メンバー（6 か月）,ついえら！
1:30,Y U Y U,非メンバー,ついえら
1:36,フォトン,メンバー（6 か月）,ついえら
1:42,はむしく,非メンバー,わぁ！
1:50,ubirr rock,非メンバー,ういはろー
1:50,腹筋崩壊プリン,メンバー（6 か月）,:_ういはろ:
1:52,伊咲紀優,メンバー（6 か月）,:_ういはろ:
1:52,ユキノ/Yukino811,メンバー（2 か月）,:_ういはろ:
1:53,701,メンバー（6 か月）,:_ういはろ:
1:55,シキ,メンバー（6 か月）,:_ういはろ::_ういはろ:
1:55,キョーヘー,メンバー（2 か月）,:_ういはろ:～
1:58,ラーケイドベルセリオン,メンバー（6 か月）,:_ういはろ:
1:58,わろたうーまん,メンバー（6 か月）,:_ういはろ:
2:00,ありんこ。,メンバー（6 か月）,:_ういはろ:なんてところにいるの
2:00,しゅみっと,メンバー（6 か月）,:_ういはろ:
2:02,キョーヘー,メンバー（2 か月）,ういはちゃんが浮いてる！
2:05,けいえす,メンバー（6 か月）,:_ういはろ:
2:05,ビにゃーキー,非メンバー,ういはろー
2:05,メッゾフォルテ,新規メンバー,:_ういはろ:
2:05,こしあん,メンバー（6 か月）,:_ういはろ:
2:08,ナス田ハムマヨ,非メンバー,ういはろー！
2:08,The Third,メンバー（2 か月）,:_ういはろ:
2:09,さくらいむ,メンバー（2 か月）,:_ういはろ:
2:09,虎伯 - kohaku -,メンバー（1 か月）,:_ういはろ:
2:11,ユキノ/Yukino811,メンバー（2 か月）,すごいとこにいるw
2:11,701,メンバー（6 か月）,う、浮いてる・・・
2:12,てこりん,メンバー（6 か月）,:_ういはろ:
2:16,みるだけです,メンバー（2 か月）,:_ういはろ::_ういはろ:
2:17,erno204,非メンバー,hellooooooooooooooooooo 😀
2:20,清明rei,非メンバー,浮いてる
2:23,メッゾフォルテ,新規メンバー,千切れとるやん！
2:25,あくび,非メンバー,こんにちは
2:32,†聖なるダークエクスキュショナー†,メンバー（6 か月）,:_ういはろ:
2:37,みみみ,新規メンバー,:_ういはろ:
2:41,701,メンバー（6 か月）,いつもの場所順位見えないもんねえ
2:47,はむしく,非メンバー,うーちゃんの位置珍しい
2:47,らんらま,メンバー（6 か月）,:_ういはろ:
2:52,あくび,非メンバー,ど真ん中で
2:52,ヘムヘム,非メンバー,死なないで
2:55,キトリ,非メンバー,おはようございます
2:55,本間しゃちょー,メンバー（2 か月）,真ん中とかは？
2:57,らんらま,メンバー（6 か月）,いいね
2:57,Treasure Island,メンバー（2 か月）,そんな器用なことが…！
3:00,ユリ,メンバー（6 か月）,:_ういはろ::_ういはろ:
3:02,とわのは towanoha,メンバー（6 か月）,大体右上にワイプとか右下ちょい左とかだね
3:04,けいえす,メンバー（6 か月）,親方！空からアイドルが
3:04,ユリ,メンバー（6 か月）,わいぷみたい
3:17,リュウグウノツガイ,非メンバー,がんばって・・・！
3:24,せんくう,メンバー（6 か月）,:_ういはろ:
3:39,ヒット,新規メンバー,がんばって！
3:49,キョーヘー,メンバー（2 か月）,:_おはーぶ:
4:02,Y U Y U,非メンバー,頑張って！
4:10,ありんこ。,メンバー（6 か月）,ういはちゃんならいけるよ！
4:13,ラーケイドベルセリオン,メンバー（6 か月）,入りたいねぇ
4:21,清明rei,非メンバー,目安前半分くらいに入れればいい
4:27,キョーヘー,メンバー（2 か月）,すごく上手くなったから予選突破いける！
4:36,701,メンバー（6 か月）,概要欄にうってつけだ
4:44,清明rei,非メンバー,恐らく3位以上2回取ったらいけるかな
4:56,寺島涼子,メンバー（2 か月）,:_ういはろ:
5:16,美玲,非メンバー,今北、ういはろ〜！
5:33,ささわき,メンバー（1 か月）,おけ！
5:36,rin,非メンバー,貪欲にｶﾞﾝﾊﾞﾚｰ
