timestamp,author_name,membership,text
-1:39,スン・ジョミス,非メンバー,やしきずがんばってー
-1:37,理人,メンバー（2 か月）,頑張れ〜！！！！
-1:36,毛塚龍也,非メンバー,ファイト！
-1:34,しろまめ,新規メンバー,がんばれーー！！
-1:28,あかミ,メンバー（2 か月）,頑張ってー！！！！
-1:28,渥三日月,メンバー（2 か月）,６位以内だね
-1:27,鯖の味噌煮,非メンバー,期待してます ファイト！
-1:26,フェイト,非メンバー,大丈夫か
-1:25,みちょこ,非メンバー,応援してますよ！
-1:21,照広アキラ-てるひろあきら,非メンバー,#社起きてた
-1:14,C o 3,非メンバー,がんばれー！！
-1:13,tama negi,非メンバー,がんばれ～
-1:13,雪餅,非メンバー,がんばれー！
-1:10,サワ・コ,非メンバー,応援してます〜！！！！！
-1:09,Saika,メンバー（2 か月）,なるほど、助かる
-1:04,6月,非メンバー,がんばぇやしきず〜！
-1:01,若冲京風,非メンバー,頑張れ！
-1:01,こまだヒロミ,メンバー（2 か月）,がんばぇ
-1:01,ドラピック,非メンバー,油断せずに行こう
-1:00,ザッキー,非メンバー,やしきずぅ
-0:59,氷空音[そらね],非メンバー,ふぁいとです！！
-0:58,・ hematite。,非メンバー,#社起きてた
-0:58,そら,メンバー（2 か月）,行ってくれ〜！！！！！！！！！がんばれ！！！！
-0:56,ラロク,メンバー（2 か月）,がんばれー
-0:56,あまちゃん,非メンバー,#社起きてたは草
-0:55,リュウグウノツガイ,非メンバー,やしきずがんばって！
-0:55,名無しのgamer,メンバー（2 か月）,:_846Kanjou:
-0:54,謎の美少女ガンファイターライダー,非メンバー,練習で厄落とししたし後は実力を出し切るだけだ！頑張れ！
-0:54,あいくら,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-0:49,毛塚龍也,非メンバー,社頑張れ
-0:46,ケブカサイ,非メンバー,がんばれー
-0:40,大きな手,新規メンバー,油断せずいこう！
-0:37,Noumisan,非メンバー,ちょっとまってるぞ
-0:32,えあえあ,メンバー（2 か月）,QPキめてけーw
-0:26,・ hematite。,非メンバー,剣持噛むな
-0:25,渥三日月,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Mojita::_846Mojii::_846Otaku:
-0:21,道海,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-0:16,七海遥,非メンバー,社さん頑張れー！
-0:14,一撃殺虫ホイホイ,非メンバー,社さん起きてるか～？
-0:13,いーさん,非メンバー,やしきず頑張れ！！
-0:09,クンシュウ,非メンバー,起きてた
