timestamp,author_name,membership,text
-0:41,サンコー,メンバー（2 か月）,悪い知らせだ、ダウンした
-0:40,危険なえんがわ,非メンバー,3dsが…え？
-0:40,ミトコンドリア,メンバー（2 か月）,ダウンしたわ
-0:39,hydra 2910,非メンバー,自害はやめるんだ、、、
-0:39,にろく,メンバー（2 か月）,バイクに乗り始めたのが12年前か…
-0:38,橘さん,非メンバー,ふたりはプリキュアは16年前
-0:37,ばーん蝙蝠,非メンバー,ソウルイーターは五年前な
-0:36,漸狐,非メンバー,回復がいる
-0:33,ストリ,メンバー（2 か月）,ハルヒは新刊でてるから実質令和
-0:33,つきたみ,非メンバー,12年前はEMPLESSだったかサンキュー あれ目からsmoooochが
-0:33,オベリスク,メンバー（2 か月）,🦀（12年モノ）
-0:33,レンズは4ミリ,非メンバー,保育園でDS・・・
-0:32,Saika,メンバー（2 か月）,5Dsってそんな前か
-0:32,あたらよ,非メンバー,「nice boat」も13年前なんだよなあ
-0:30,もとこ,メンバー（2 か月）,新テニがミュージカルになるくらいには時が経った
-0:29,KOTOU,非メンバー,なんでXマスに時の流れで二重ダメ食らわせてくるん？？？
-0:29,YOSA,非メンバー,初代そんな前なのか...
-0:29,天神,メンバー（2 か月）,PS2は20年前に発売したゲーム機
-0:28,スン・ジョミス,非メンバー,電王12年前ってマジ？
-0:24,源光政,メンバー（2 か月）,自爆はやめるんだ
-0:23,水棲生物,非メンバー,誰か赤弁当ください
-0:23,榎茸,メンバー（2 か月）,初代プリキュア16年前マ？
-0:22,出汁のきいたネコ,非メンバー,なんで配信始まる前から殺し合わなくちゃならない
-0:21,ねぎゆき,メンバー（2 か月）,衛生兵ー！！！衛生兵ー！！！！！
-0:21,6月,非メンバー,概要欄に平日って書いてあるのシュール
-0:21,そら,メンバー（2 か月）,みんなお互いを刺しあってんの草
-0:20,おシゲ,メンバー（2 か月）,ダメージが加速している
-0:20,しょう,メンバー（2 か月）,ちなみに12年前のライダーはキバだよ！懐かしいね！
-0:20,フルハウスディアベル,非メンバー,マリギャラも13年くらい前
-0:20,みらくる魔法少女かきP,非メンバー,誰も幸せにならんよ
-0:18,みこ.,非メンバー,プリキュアニキﾄﾝｸｽ
-0:17,レンズは4ミリ,非メンバー,保育園でファミコンだった
-0:17,櫻田,メンバー（2 か月）,おーおー好き勝手やりなさる・・・！
-0:16,いつまで,メンバー（2 か月）,みんな自分の血で真っ赤になってる…
-0:16,美顎なぎさ,非メンバー,俺のアカの画像が2人はプリキュアのブラック
-0:15,ラロク,メンバー（2 か月）,傷口に塩を送るな
-0:13,オベリスク,メンバー（2 か月）,マックでＤＳ！！！
-0:12,いっさאַדמִירָל,メンバー（2 か月）,らきすためっちゃ好きなんだが
-0:11,はるすけ_,非メンバー,5D'sで12年前ってことはGXが14年くらい前になる……？？
-0:09,o re,非メンバー,まだDSでマリカしてた時代か…
-0:06,鶏小屋,非メンバー,さっきまで平和に酒の話してたのに...なんで...
-0:05,そら,メンバー（2 か月）,リスナーが死んじゃった。リスナーのせいです、あーあ
-0:04,spanner,非メンバー,インターネット老人会はここですか
-0:03,浜ぐり子,非メンバー,だれか、医療キットを、、
-0:03,くりゃー君,非メンバー,酷い戦場だ…
-0:03,ハヤヤ,非メンバー,懐かしすぎるんだか
-0:01,めるとだうにい,非メンバー,5D’s 12年前なのか…
-0:00,じりお,メンバー（2 か月）,いのぢがもっだいだい！
-0:00,ブロスフゥンダルになりたいチャンネル,非メンバー,アークスターを投げ合うのはよせ！
0:00,サンコー,メンバー（2 か月）,ってことはハートキャッチプリキュアもそのあたりか？
0:00,お蕎麦,メンバー（1 か月）,始まる前に酷いダメージ負ったんだが…
0:03,あかミ,メンバー（2 か月）,何年前がどうこうという話はおれに効く！！！やめろ！！！！
0:05,美味しい海苔,非メンバー,じゃあハルヒは？
0:08,源光政,メンバー（2 か月）,さっきまで飲み友だったものが辺り一面に散らばる
0:09,L96A1,非メンバー,2005年って15年前ってマジ？？
0:11,寿太狼,非メンバー,何かグレ飛び交ってんなぁ…
0:11,ぽんぷ,非メンバー,コメ欄がすでに返り血だらけで草も生えない
0:11,おシゲ,メンバー（2 か月）,きちゃ！
0:12,鮫トレ,非メンバー,こんばんは～
0:13,ろっと,メンバー（2 か月）,サムネのサンタ赤いメリケンサックしてるように見えてきた
