timestamp,author_name,membership,text
-4:14,ぶみせぶみ,非メンバー,ガッツンガッツン！
-4:13,9 6 3 8,非メンバー,ガッテンガッテン！
-4:08,レナ,非メンバー,ガッテンガッテン！
-4:07,にろく,メンバー（2 か月）,ｶﾞｯﾃﾝｶﾞｯﾁｮﾝﾅｲﾌｧｲ!
-4:02,龍炎煌太,非メンバー,ガッテンガッテン！
-3:57,タイラジュン,メンバー（2 か月）,ガッテンガッチョンナイファイ！
-3:57,18緑,非メンバー,ガッテンガッテン
-3:57,高丸,非メンバー,待機！ガッテンガッテン！！
-3:56,峰星凍花,非メンバー,ガッテン！ガッテン！
-3:48,Y T,非メンバー,ガッテンガッテン！！
-3:30,元LoV勢,非メンバー,がってんがってん
-3:26,sho,非メンバー,ガッテンガッテン!
-3:16,もとこ,メンバー（2 か月）,ガッテンガッテン
-3:01,はせなず,非メンバー,ガッテンガッテン
-3:00,大きな手,新規メンバー,ﾄﾞﾝﾏｲﾄﾞﾝﾏﾅｲﾌｧｲﾅｲﾌｧｲ
-2:57,たかしーるど,メンバー（1 か月）,ガッテンガッテン
-2:47,峰星凍花,非メンバー,ガッテン！待機 ガッチョん
-2:42,サンコー,メンバー（2 か月）,ガッチャガッチャ
-2:39,えあえあ,メンバー（2 か月）,嬉しいナイファイ！言わせてー！
-2:20,高丸,非メンバー,ﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾅｲﾌｧｲﾅｲﾌｧｲ
-2:07,佐京庵,メンバー（2 か月）,がってんがっちょん
-2:00,雨粒,非メンバー,待機だガッテン！
-1:58,ミズキ,非メンバー,ガッテンガッテン！ナイファイナイファイ！
-1:52,しゅきりん,メンバー（1 か月）,ﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾅｲﾌｧｲﾅｲﾌｧｲ
-1:38,ノラネ国旗,非メンバー,ガッテン！ガッテン！
-1:32,住吉,非メンバー,誰が生めと頼んだ…？
-1:31,しょう,メンバー（2 か月）,ﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾅｲﾌｧｲﾅｲﾌｧｲ
-1:28,ヒゴ山,メンバー（2 か月）,:_846Mojita::_846Mojii:き:_846Mojita::_846Mojii::_846Mojita::_846Mojii::_846Bikkuri:
-1:01,藍色,非メンバー,待機
-0:59,4_onシオン,非メンバー,ガッテン！ガッチョン！
-0:55,温湯むぼ,非メンバー,がってん！
-0:49,精神崩壊前夜:再生装置起動,メンバー（2 か月）,ﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾄﾞﾝﾏｲﾅｲﾌｧｲﾅｲﾌｧｲﾅｲﾌｧｲﾅｲﾌｧｲ
-0:44,YOSA,非メンバー,ガッテンガッテン！
-0:44,桂花,非メンバー,ガッテンガッテン！
-0:43,ハヤヤ,非メンバー,ガッテンガッテン
-0:36,七海遥,非メンバー,ガッテンガッテン
-0:30,カリウス,非メンバー,ガッテンガッテン
-0:26,ミズキ,非メンバー,ついえら
-0:24,高丸,非メンバー,ついえら
-0:21,ハヤヤ,非メンバー,チャイちゃんの配信見てから来たw
-0:18,藍色,非メンバー,ガッテンガッテン
-0:16,七海遥,非メンバー,ついえら
-0:09,そら,メンバー（2 か月）,ついえら！
-0:08,あたらよ,非メンバー,ガッテンガッテン！
