timestamp,author_name,membership,text
-0:58,#てくの,メンバー（4 か月）,ワタナベってなにぃ…
-0:58,綾鷹,非メンバー,ワタナベから
-0:56,謎の美少女ガンファイターライダー,非メンバー,右の『娘』で草
-0:56,ヒゴ山,メンバー（1 年 11 か月）,ワタナベがここにも！？
-0:56,RAXUS,非メンバー,ワタナベだよな
-0:55,VEIRU,非メンバー,ワタナベ人気すぎて草
-0:54,榎茸,メンバー（1 年 2 か月）,ついえら
-0:50,マラサダ,非メンバー,実際ワタナベは動かしてて楽しい
-0:49,さんじおじ,非メンバー,ワタナベやめろｗ
-0:48,謎の美少女ガンファイターライダー,非メンバー,ついえら
-0:46,古今東西,非メンバー,ナナミ推したい…
-0:46,アキパン,非メンバー,ワタナベから
-0:45,もとこ,メンバー（4 か月）,ついえら
-0:44,いひょ,非メンバー,ついえら
-0:42,ウソウソ,非メンバー,ツイーヨ助かる
-0:41,ハチワレ,メンバー（6 か月）,ついえら
-0:39,甚平,メンバー（6 か月）,ワタナベほしいよほしいよ
-0:38,ジジ猫,非メンバー,Sルシアっていつ出すんだろう
-0:37,R W,非メンバー,ついえら～
-0:37,felis,非メンバー,ワタナベから来ました
-0:36,まどか:,非メンバー,ワタナベって…なんだ？
-0:35,Yuri,非メンバー,渡辺テロ
-0:34,俺ナマコ教,非メンバー,キズク
-0:33,Tsuyoponp,非メンバー,リーフかカレニーナ推し！！！！
-0:33,えあえあ,メンバー（1 年 2 か月）,ツイRTOK！
-0:31,VEIRU,非メンバー,ナナミはいいぞ
-0:31,オーレ・ウェルギウス,非メンバー,ついえら
-0:28,ゆきごおり,非メンバー,カレニーナの口悪いのが好き
-0:25,樹モリーナ,非メンバー,ワタナベの秘密を知れるのか？
-0:25,ユウキユウキ,非メンバー,ワタナベからは逃げられない
-0:24,阿吽,非メンバー,ワタナベ…？
-0:22,餅ショコラ,非メンバー,ガチャでワタナベ出てこい
-0:22,電脳動物アヒル,非メンバー,お前もワタナベか？
-0:20,m m,非メンバー,ついえら
-0:20,生わさび,非メンバー,ワタナベってなにぃ…？
-0:18,VEIRU,非メンバー,ついえら
-0:17,ノラネ国旗,非メンバー,やっぱりここのチャット欄見てて楽しすぎる
-0:15,はづき,非メンバー,ワタナベのバトンをつなげ社築！
-0:14,2sweet Alpha,非メンバー,カレーニナ？
-0:14,しゅばるつあー,非メンバー,カレニーナのピー音すき
-0:14,巳月,非メンバー,ちょい楽しみ
-0:12,たいぽん,非メンバー,ついえら！
-0:09,不明主任,非メンバー,待機
-0:05,ほてぷAS,非メンバー,ワタナベ使ってくれ頼む
-0:05,鴉舟,非メンバー,ヤシロ・築 って書くとパニグレっぽいし・・・
-0:04,Akira Sakamoto,非メンバー,気になってたゲームなので嬉しい。これ見てやるか決めます(下素顔ﾆｯｺﾘ)
-0:03,炭酸,非メンバー,貴方もワタナベになる
-0:01,がぶりえる,非メンバー,ワタナベは夜が暗いことを知ってるからな
-0:00,ゆきごおり,非メンバー,やられるとピー音入るくらい悪口を言うカレニーナが好き
-0:00,夜霧,非メンバー,Sキャラ選択誰にするんかな
0:08,きゅうべえ,非メンバー,待つタイ！
0:10,Beijing,非メンバー,きちゃ
0:11,豆鹿,メンバー（8 か月）,カレーニーな?
0:12,榎茸,メンバー（1 年 2 か月）,きちゃ〜
0:12,きょーとa.k.a skyo,非メンバー,Wの布石
0:12,青のくろ,メンバー（7 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
0:12,とら,非メンバー,待機
0:13,dustin,非メンバー,きちゃ
0:13,yura yura,非メンバー,こんばんは〜
0:15,星野空,非メンバー,きちゃ！
0:15,豆鹿,メンバー（8 か月）,こんばんはー
0:15,ジジ猫,非メンバー,きちゃ
0:15,高槻れいん,非メンバー,きちゃ
0:15,トリプルMt.,非メンバー,きちゃ
0:15,謎の美少女ガンファイターライダー,非メンバー,きちゃ
0:17,不明主任,非メンバー,こんはんは
0:17,R W,非メンバー,おお
0:17,赤猫,メンバー（1 年 2 か月）,きちゃ
0:18,B面,非メンバー,こんばんは
0:18,おシゲ,メンバー（1 年 6 か月）,きちゃー
0:18,えあえあ,メンバー（1 年 2 か月）,こんばんはー
0:18,tsidium,メンバー（6 か月）,きちゃ！
0:19,紅丸。,非メンバー,こんばんはっす！
0:19,ウソウソ,非メンバー,ワタナベってだれぇ…こわいぃ…
0:20,オール,メンバー（9 か月）,こんばんは〜
0:20,おいもり,非メンバー,きちゃ！
0:21,R W,非メンバー,突然始まった
0:21,かご,非メンバー,こんばんはー
0:21,ヒゴ山,メンバー（1 年 11 か月）,きちゃ
0:22,源光政,メンバー（1 年 3 か月）,きちゃ！
0:22,とら,非メンバー,きちゃ
0:23,猫を被った黒い羊,非メンバー,こんばんは〜
0:23,。なごやん,新規メンバー,こんばんは〜
0:24,鴉舟,非メンバー,レイヴンだぞ！！
0:24,jam tyo,非メンバー,きちゃ
0:24,大きな手,非メンバー,きたぜ
0:24,VEIRU,非メンバー,きちゃ
0:24,甚平,メンバー（6 か月）,こんばんは！
0:25,dustin,非メンバー,こんばんはー
0:25,わかメロン,非メンバー,きちゃ
0:25,ハチワレ,メンバー（6 か月）,きちゃ
0:25,漸狐,非メンバー,60レベル！？
0:25,スミオ,メンバー（7 か月）,きちゃ
0:25,秋野Akino,非メンバー,ｷﾀ！
0:25,ラロク,メンバー（7 か月）,こんばんはー
0:26,felis,非メンバー,こんばんは
0:27,伊波.,メンバー（9 か月）,こんばんはー
0:27,神楽さん,非メンバー,きちゃ
0:27,おシゲ,メンバー（1 年 6 か月）,こんばんはー
0:27,ジジ猫,非メンバー,6-12まで行ってるのか
0:28,アキパン,非メンバー,こんばんはー
0:28,稲荷コン,非メンバー,どれだけやりました？
0:29,榎茸,メンバー（1 年 2 か月）,こんばんは〜
0:29,R W,非メンバー,こんばんは～
0:29,きょーとa.k.a skyo,非メンバー,きちゃ？
0:29,レイヴン,非メンバー,きちゃ！
0:29,かずティーブ,非メンバー,きちゃ！
0:29,いのらじ,非メンバー,こんばんは
0:30,ぺぺ丸ハゲ,非メンバー,きちゃぁ！
0:30,ゆっくりれーむ,非メンバー,60！？
0:31,縁狐_enko_,メンバー（4 か月）,きちゃ〜！
0:31,ミコ,非メンバー,きちゃ
